"","ARE","AUS","AUT","BEL","BGD","BMU","CAN","CHE","CIV","CSK","DEU","DNK","EGY","ESP","ETH","FIN","FRA","GBR","GRC","GRL","HKG","IDN","IRL","ISL","ISR","ITA","JOR","JPN","LKA","MAR","MYS","NCL","NLD","NOR","NZL","PAK","PER","PHL","SAU","SGP","SWE","THA","TTO","TUR","USA","YUG","ARG","BRA","GLP","HUN","PRT","CRI","DOM","ECU","NIC","AFG","BDI","BGR","BHR","BHS","BOL","BRB","CHL","CHN","CMR","COL","CUB","CYP","DDR","DZA","FJI","GHA","GTM","GUY","HND","IND","IRN","IRQ","JAM","KEN","KHM","KNA","KOR","KWT","LBN","LBR","LBY","MAC","MEX","MLT","MMR","MOZ","MUS","MWI","NGA","NPL","OMN","PNG","POL","PRK","QAT","ROU","SDN","SEN","SOM","SUN","SYC","SYR","TUN","TZA","UGA","URY","VEN","YMD","ZAF","AGO","ALB","BEN","BLZ","CAF","COD","COG","DJI","GAB","GIB","GIN","GUF","HTI","MRT","NER","PAN","PRY","SLV","SUR","TCD","TGO","VNM","ZMB","ZWE","BFA","FLK","GMB","GNB","KIR","LAO","MDG","MLI","MNG","RWA","SLE","WSM","GNQ","SHN","SPM"
"ARE",0,362673000,439000,151338000,4349000,0,27771000,112052000,12000,0,623076000,63000,0,711217000,389000,3000,1611112000,466724000,48000,0,7493000,0,207000,0,0,469304000,160000,7982865000,1000,19000,75956000,0,335220000,34000,24959000,318233000,1000,181728000,103934000,378649000,69485000,37995000,0,422000,2138020000,0,0,410746000,0,0,217383000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324328000,0,0,0,0,0,0,0,0,0,242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",194437000,37570000,23481000,156593000,49571000,146000,355670000,50181000,8e+05,33087000,617856000,10303000,213445000,128938000,5536000,30052000,568555000,834797000,20177000,6000,372018000,364606000,3792000,15451000,49807000,457299000,6050000,6961159000,41787000,10874000,572761000,66022000,192051000,69024000,1103569000,67263000,9804000,256140000,744597000,656396000,58510000,188347000,28405000,14293000,2492923000,91750000,53900000,20483000,291000,32000,39843000,363000,176000,7151000,322000,43000,43000,2305000,30419000,14191000,20000,4330000,4651000,765564000,101000,1141000,519000,856000,17220000,102000,209397000,69000,760000,102000,23000,362352000,211876000,198235000,3582000,11172000,0,121000,700488000,113296000,260000,163000,30899000,328000,19348000,2861000,7149000,465000,19309000,505000,2272000,1973000,32902000,404105000,68351000,3294000,14539000,15946000,6559000,9000,849000,674587000,1790000,119000,241000,7629000,2477000,7750000,11462000,38429000,99394000,0,2000,47000,30000,0,1849000,38000,54000,2000,182000,25000,50000,6000,0,557000,1098000,8000,652000,20000,0,6000,1246000,14342000,3277000,15000,3000,2000,44000,15802000,59000,11000,28000,4000,11000,52000,5373000,0,0,0
"AUT",77673000,58223000,0,238924000,803000,373000,74462000,1063384000,5740000,268690000,4485293000,187011000,55448000,141152000,5065000,166732000,682842000,699111000,163611000,52000,30692000,78869000,35307000,6556000,38539000,1448533000,40484000,149995000,965000,12791000,12748000,899000,373112000,168992000,11265000,9714000,18824000,10334000,283627000,35950000,367307000,10078000,10784000,117701000,508130000,542462000,29567000,20208000,945000,351000,71471000,1314000,567000,5552000,1055000,857000,515000,122985000,5342000,232000,912000,3959000,13507000,55968000,5199000,11981000,6327000,18617000,210579000,88731000,536000,970000,3280000,66000,1583000,61183000,135673000,262266000,771000,8193000,1000,194000,18148000,29322000,33315000,312000,121197000,1000,14887000,4168000,13560000,3722000,411000,1307000,103540000,288000,16656000,1103000,133519000,6080000,7837000,97852000,10280000,8189000,850000,553484000,1724000,43042000,39395000,9595000,522000,5154000,37323000,1645000,74582000,7350000,6770000,168270000,22000,26000,3824000,1482000,761000,691000,85000,320000,178000,870000,183000,6318000,1744000,1651000,1164000,239000,3000,2688000,163000,2577000,7730000,180000,0,212000,263000,2000,250000,1440000,664000,2780000,117000,3615000,0,9000,0,0
"BEL",134168000,143996000,379992000,0,30309000,1190000,213292000,1157907000,38793000,14326000,10308358000,450202000,131438000,445893000,15486000,237382000,8924438000,4905344000,239893000,57000,246951000,96501000,210810000,25791000,366873000,2774160000,51708000,338635000,23367000,83542000,58272000,7724000,6792286000,359349000,33024000,48751000,27081000,43882000,698610000,110541000,839785000,63727000,17846000,144313000,2491111000,147237000,74956000,154683000,15757000,3000,234226000,4638000,5009000,10224000,2971000,2215000,21495000,45098000,32735000,4419000,2086000,3803000,40389000,208457000,32889000,42973000,15521000,17539000,51181000,334447000,23000,6560000,6147000,793000,6372000,591513000,146482000,335014000,7150000,19334000,69000,2946000,100973000,68073000,96104000,39264000,106108000,17000,88910000,24842000,9672000,8457000,3760000,4682000,298165000,598000,26914000,1793000,74875000,2196000,27139000,48729000,28499000,21266000,5214000,535933000,1085000,64746000,92337000,27110000,7710000,8677000,105395000,6480000,231264000,30025000,2060000,20982000,181000,993000,193162000,14916000,5748000,8476000,11605000,14416000,1635000,3598000,20372000,3935000,5715000,1912000,8887000,5752000,1520000,28858000,2802000,8303000,6748000,5944000,0,3206000,5973000,80000,86000,7923000,9366000,112000,24186000,6161000,47000,879000,10000,40000
"BGD",2559000,16673000,388000,18326000,0,0,3951000,2294000,3279000,4969000,20967000,1356000,6379000,8215000,1933000,276000,19683000,43729000,436000,0,4251000,3826000,557000,54000,0,41408000,479000,56219000,170000,1520000,4690000,152000,15551000,238000,4326000,62547000,12000,58000,1957000,10026000,2455000,6630000,33000,7223000,86552000,8226000,137000,0,2000,3291000,2153000,0,74000,0,0,1109000,135000,17108000,2000,0,7000,12000,196000,25978000,686000,0,0,105000,125000,2090000,25000,72000,0,0,0,17038000,16896000,24435000,6000,3700000,0,1000,5355000,2094000,878000,62000,0,0,544000,15949000,7137000,28255000,0,0,3387000,385000,139000,377000,5307000,1323000,357000,3663000,18636000,0,7000,36629000,0,8403000,784000,2344000,663000,1066000,0,261000,24000,4074000,0,91000,0,0,466000,0,0,0,0,93000,1000,0,11000,2208000,858000,0,0,0,0,571000,23000,1852000,5000,0,0,387000,0,14000,0,537000,0,0,0,0,0,0,0,0
"BMU",63000,0,6000,68000,0,0,654000,3526000,4000,0,3940000,13000,0,10000,0,0,25000,8590000,4000,0,34000,0,418000,122000,295000,1353000,0,235000,27000,0,0,0,2252000,0,190000,236000,16000,0,0,0,5691000,0,17000,3000,12074000,4000,0,2500000,0,0,17000,0,5000,22000,0,0,0,0,0,0,0,0,0,0,0,10109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",38134000,533716000,88746000,407177000,90654000,28199000,0,142455000,4378000,21093000,1296812000,60999000,107719000,188192000,7383000,118511000,801680000,2452576000,45323000,2976000,183868000,138120000,135298000,5385000,112388000,739999000,28072000,4434081000,19880000,98872000,147415000,1986000,473775000,209719000,135474000,75429000,58202000,81974000,271363000,102935000,182201000,120584000,135224000,74246000,46637211000,91184000,55496000,515907000,4966000,347000,59830000,14283000,32466000,39797000,12564000,183000,0,7027000,4525000,23905000,7451000,27439000,55303000,999273000,9660000,190092000,263278000,8879000,17463000,404686000,2446000,8306000,26982000,10325000,12505000,236557000,148508000,156717000,56043000,20370000,7000,26648000,396203000,78685000,30092000,3912000,97147000,0,366843000,1927000,3844000,23296000,558000,1299000,51194000,0,10673000,18447000,291296000,59000,15075000,3708000,11614000,9561000,3078000,1678866000,86000,3249000,60084000,18209000,393000,8955000,555364000,1781000,193537000,798000,106000,740000,1899000,0,18145000,0,0,2097000,311000,718000,277000,19184000,1719000,0,13566000,765000,13451000,3661000,0,1383000,266000,5253000,0,0,149000,125000,1537000,121000,0,1966000,0,0,0,285000,917000,0,0,16638000
"CHE",103443000,217082000,931259000,1100897000,23256000,4850000,289444000,0,14338000,72695000,4826665000,296435000,174877000,381793000,15171000,219009000,2251448000,2764735000,114591000,393000,438270000,108446000,102944000,8709000,436837000,1931850000,40700000,679636000,12597000,31198000,70500000,1752000,667381000,234976000,43469000,64102000,42968000,53465000,682527000,195468000,518362000,78054000,6032000,328951000,2328316000,304721000,132740000,277623000,2768000,30000,203770000,5649000,4350000,43558000,7474000,3096000,3632000,82097000,31214000,19496000,5314000,3085000,39603000,130105000,18214000,82991000,17605000,13439000,109524000,75486000,1451000,5570000,14558000,814000,8291000,170925000,193270000,336231000,4437000,19074000,8000,1889000,66436000,126394000,175708000,113271000,86782000,141000,202612000,9416000,4148000,8055000,2662000,2916000,255585000,760000,15103000,823000,88838000,14936000,37224000,38762000,24171000,6142000,2963000,216039000,116000,56824000,24922000,10597000,8217000,13953000,119633000,998000,265223000,19961000,4354000,16123000,547000,493000,15442000,2306000,697000,4627000,772000,3668000,595000,2855000,1344000,1707000,6250000,5960000,2760000,1187000,235000,1381000,736000,12006000,18034000,759000,0,128000,244000,69000,124000,1322000,1084000,3985000,2423000,3029000,85000,36000,15000,0
"CIV",1589000,5925000,20742000,59611000,7000,141000,9970000,20186000,0,7560000,223880000,14485000,4409000,95034000,3000,2073000,548111000,98134000,28789000,1000,2391000,824000,15010000,36000,7121000,296026000,128000,49029000,14000,22221000,7298000,1763000,160280000,694000,20000,61000,95000,2510000,2044000,16353000,3534000,1778000,73000,147000,325142000,13228000,154000,828000,367000,1547000,51308000,0,3000,172000,0,1000,15000,3893000,2000,0,0,0,0,5100000,6371000,37000,0,1651000,4000,24096000,0,12779000,0,45000,175000,178000,0,1464000,126000,22000,0,0,3969000,0,692000,10037000,18000,0,296000,1094000,1000,0,33000,0,39377000,0,8000,0,236000,250000,1000,2043000,979000,29044000,1000,52652000,0,262000,5845000,69000,0,0,65000,514000,12898000,808000,7000,9290000,0,380000,1262000,5712000,0,5357000,56000,4970000,58000,4000,2452000,31553000,8676000,0,6000,0,78000,23538000,80000,20000,46000,104924000,0,36000,474000,0,51000,30000,81401000,0,12000,426000,0,146000,0,0
"CSK",6338000,29113000,428169000,54939000,12279000,16000,49030000,91784000,7524000,0,1.347e+09,60758000,134271000,29456000,6193000,70044000,172338000,142493000,38212000,0,11888000,7961000,10635000,3570000,0,248414000,12008000,45059000,1231000,10025000,6380000,110000,125717000,35923000,5188000,11903000,3492000,4039000,63923000,11369000,68100000,6714000,1560000,42039000,65296000,629790000,14891000,19047000,359000,2663000,9620000,1104000,58000,6361000,1469000,13454000,0,139953000,0,0,325000,0,0,5045000,1172000,9265000,46941000,11737000,522662000,22810000,405000,0,0,0,0,36024000,17308000,33263000,0,223000,0,0,0,902000,327000,0,344000,0,1524000,1762000,3756000,1106000,0,0,1653000,0,0,0,242667000,4695000,0,183950000,1295000,0,0,2786259000,1000,16280000,798000,0,0,33000,7778000,41000,0,1619000,7489000,0,0,0,0,0,0,0,0,129000,42000,0,0,0,1047000,0,473000,0,0,0,13601000,401000,0,0,0,0,0,1000,294000,0,0,10869000,0,0,0,0,0,0
"DEU",789225000,1406357000,8100587000,11416626000,68071000,3645000,1123523000,8554653000,87315000,727292000,0,3597256000,1002026000,3078336000,91735000,1854562000,19745831000,12976366000,1751862000,1069000,579724000,1186532000,752268000,118344000,883042000,13976749000,302538000,2356736000,76721000,225801000,528607000,30399000,13575218000,2579350000,245236000,300077000,194703000,358624000,4471421000,905071000,5180747000,338870000,55200000,1008215000,12568973000,2399894000,482957000,1048060000,36405000,995000,1151126000,36258000,32958000,150210000,39850000,23596000,16127000,485630000,79645000,13650000,23790000,8283000,195109000,651661000,89983000,341689000,62985000,108988000,0,1291470000,287000,41842000,48517000,8792000,12469000,830074000,1359191000,2707033000,24476000,108371000,355000,3848000,476657000,734955000,244739000,115438000,959905000,496000,993925000,104893000,48835000,28126000,15020000,12842000,1316219000,10205000,219770000,8362000,769997000,32701000,149253000,369061000,91896000,35790000,26182000,3573386000,1541000,363390000,390494000,71898000,34672000,62502000,557199000,17170000,2515081000,58110000,35025000,32728000,596000,2811000,87223000,31016000,5877000,33164000,3013000,10361000,5482000,10753000,18277000,48030000,28342000,26527000,38879000,13748000,3151000,23495000,6406000,61846000,98397000,10558000,213000,9971000,9464000,343000,1943000,15939000,23942000,1210000,12791000,16639000,746000,1666000,50000,51000
"DNK",44793000,77744000,124030000,272634000,22036000,1762000,104596000,251841000,1964000,12222000,2553018000,194831000,54245000,158705000,4444000,312697000,852050000,2335667000,105372000,194201000,54656000,53824000,81257000,90163000,33729000,815654000,24003000,266649000,4636000,14646000,33063000,2672000,606465000,962508000,21945000,17649000,6508000,40372000,193966000,65611000,1593109000,33385000,12343000,23557000,953515000,47326000,27285000,20861000,2006000,42000,50908000,1798000,718000,9965000,1499000,572000,597000,6828000,15489000,19900000,1857000,1320000,21652000,109545000,4076000,28191000,5267000,10828000,29516000,33996000,647000,2270000,2175000,1122000,1135000,29035000,109144000,140569000,1194000,8313000,0,3271000,49528000,70993000,15679000,103210000,33429000,161000,32782000,8273000,14760000,1723000,1198000,3457000,66902000,408000,17370000,599000,44834000,220000,16651000,4240000,10282000,4947000,1881000,76145000,818000,11559000,11030000,15881000,4285000,2584000,42810000,21401000,58179000,13130000,1010000,1301000,1107000,50000,2010000,728000,1812000,141000,2629000,222000,515000,691000,1224000,1182000,4165000,545000,1818000,1790000,23000,2339000,9115000,3345000,2329000,550000,70000,2786000,698000,196000,34000,1902000,682000,159000,1265000,2290000,13000,0,0,148000
"EGY",6347000,181000,89184000,62817000,5003000,0,1775000,40414000,78000,303000,440348000,9702000,0,66102000,1330000,3579000,344750000,718898000,194851000,0,2543000,5940000,2085000,3000,790000,1199264000,13075000,166569000,1187000,1408000,1250000,6000,80607000,2339000,28000,1645000,1000,60000,89364000,10964000,20666000,4618000,68317000,13066000,567734000,50410000,22000,82000,49000,13113000,31544000,0,0,0,0,0,1000,8322000,2299000,17082000,0,0,0,35408000,6000,4000,0,1440000,13402000,895000,73000,0,0,0,0,2000,30000,667000,0,24259000,0,0,15189000,11897000,20902000,0,64000,0,205000,45000,1263000,0,183000,0,2748000,1000,650000,0,59000,14021000,2711000,184323000,66802000,6000,911000,135520000,0,237000,3001000,2000,1e+05,0,0,62000,1000,0,2157000,184000,0,8000,0,19000,224000,0,0,0,2000,0,10347000,0,4000,0,0,0,0,1000,0,275000,0,0,0,0,0,0,0,0,3000,0,32000,33000,0,0,0,0
"ESP",64470000,69680000,86679000,508401000,2162000,636000,154001000,295815000,44970000,20244000,2093860000,138201000,213058000,0,1631000,93828000,3518247000,1702863000,115095000,116000,37426000,93410000,102233000,9515000,42065000,1221582000,57032000,368332000,4301000,307554000,21815000,2104000,738319000,109637000,15423000,26721000,123145000,65902000,585497000,43907000,232436000,22369000,8347000,94695000,1599646000,87216000,181430000,101937000,7052000,23946000,580073000,14452000,46599000,47947000,21944000,618000,408000,29479000,8524000,899000,3826000,604000,139330000,111452000,30262000,141173000,104847000,23679000,58003000,677114000,8000,2251000,79059000,369000,4456000,113324000,332866000,267270000,17069000,4986000,0,1165000,19294000,86570000,76471000,131139000,265112000,45000,498064000,9289000,15000,9268000,2203000,926000,236703000,1616000,22439000,149000,38575000,4112000,7388000,31132000,21604000,41640000,589000,212322000,35000,66829000,144781000,3145000,521000,20353000,334680000,657000,94166000,13342000,1076000,8147000,193000,1152000,9134000,16505000,1026000,8918000,108000,7174000,1070000,990000,36134000,4789000,13225000,15258000,6562000,2208000,537000,10532000,1809000,2508000,2324000,1124000,519000,1490000,8815000,126000,69000,14506000,5770000,0,743000,7760000,0,24983000,535000,124000
"ETH",90000,702000,4481000,2476000,2000,0,1977000,3581000,3000,886000,60250000,3911000,7073000,9465000,0,2987000,27785000,13171000,1461000,0,169000,5000,47000,0,4027000,25400000,44000,31699000,0,0,162000,1000,4523000,99000,43000,477000,0,0,35129000,7988000,617000,5000,0,195000,109650000,8876000,0,0,27000,164000,932000,9000,2000,0,0,0,0,0,0,0,0,0,0,883000,1000,0,337000,6000,7457000,2738000,0,1000,0,0,0,0,180000,0,0,202000,0,0,1315000,1000,53000,76000,0,0,0,0,0,556000,583000,0,7000,0,0,0,0,0,0,2244000,486000,2000,0,2438000,0,801000,0,78000,2000,0,0,23685000,0,0,359000,0,0,0,0,0,37483000,0,0,0,1000,0,0,0,5000,0,0,0,26000,0,0,14000,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0
"FIN",23820000,128838000,102300000,201342000,238000,17000,78159000,157973000,5538000,15039000,1358713000,697321000,109325000,118765000,261000,0,550874000,1604129000,71929000,934000,14481000,25005000,82073000,23467000,50506000,281215000,6126000,169754000,1039000,8747000,16528000,123000,409911000,700248000,10330000,11010000,6660000,6009000,127592000,22185000,1565214000,13340000,1945000,27848000,441067000,21300000,24257000,46247000,216000,40000,30406000,1259000,777000,1565000,47000,478000,2000,45408000,3628000,20000,3e+05,22000,3992000,39783000,2383000,26514000,2819000,8647000,65859000,107720000,165000,77000,2344000,80000,165000,45382000,97324000,151057000,106000,5726000,318000,71000,33230000,21712000,13715000,5339000,48221000,20000,26038000,1275000,416000,912000,112000,2256000,19313000,959000,3701000,401000,17628000,18000,1994000,7433000,1808000,917000,1337000,3490357000,43000,7900000,16222000,30830000,189000,1663000,13280000,297000,70408000,377000,338000,539000,7000,9000,37000,74000,12000,209000,85000,57000,25000,220000,105000,41000,934000,41000,186000,125000,0,876000,3825000,6820000,5006000,0,0,0,122000,86000,0,55000,40000,315000,15000,312000,0,0,0,0
"FRA",561934000,575722000,756698000,8049663000,38125000,4819000,711059000,3281506000,690074000,36230000,17313606000,688053000,681304000,2537580000,25196000,418363000,3293000,6941986000,708436000,68000,319047000,570960000,448987000,24530000,363654000,10776998000,120617000,1215533000,36967000,1066064000,162523000,359822000,3956594000,521581000,68190000,77202000,54377000,106413000,2173951000,525801000,1110787000,126953000,47949000,259576000,5719223000,605026000,196781000,595853000,812619000,102000,835497000,12005000,13907000,28552000,32411000,19047000,27725000,105137000,54063000,77238000,20776000,2717000,108996000,345011000,550324000,145395000,57176000,55245000,256662000,2138033000,3469000,10305000,21171000,3469000,7712000,555791000,328644000,1410282000,22155000,71278000,1588000,11290000,137208000,312975000,334799000,165192000,419771000,9098000,420453000,32714000,32442000,66692000,38422000,9294000,1234281000,3523000,85186000,5052000,432551000,42632000,188463000,155807000,133071000,385279000,21922000,1553956000,5236000,199609000,927453000,49149000,9569000,25416000,460103000,36206000,631295000,118666000,9300000,137734000,342000,42154000,117954000,479516000,65567000,360469000,5581000,88892000,129241000,13971000,120017000,130989000,24478000,24281000,19507000,3748000,22247000,116413000,22470000,25978000,56512000,97970000,23000,5666000,12108000,4415000,4832000,131348000,83317000,623000,23530000,14500000,363000,1737000,9000,4821000
"GBR",1037894000,1696486000,428404000,4057141000,83837000,31681000,1539188000,1567769000,49615000,35031000,10073678000,1694947000,397992000,1525890000,59386000,954832000,7014159000,0,366351000,1541000,1131513000,330030000,4659438000,82132000,602696000,3387114000,149341000,1346126000,116422000,150789000,500789000,11608000,5511459000,1656323000,543186000,348917000,66512000,173306000,2674419000,798725000,3373957000,218104000,301787000,431086000,13467648000,483687000,68502000,270019000,11444000,33000,746915000,12909000,14341000,42107000,4015000,9654000,2490000,79749000,254432000,34663000,8142000,42855000,74868000,178329000,44721000,115932000,112245000,146746000,109697000,335324000,599000,114227000,14060000,20910000,7869000,1170763000,578084000,1515864000,101049000,218018000,681000,65859000,289523000,529002000,115150000,22625000,453813000,4302000,282639000,119528000,76613000,24957000,33578000,32095000,2064638000,7669000,364816000,26232000,221475000,6714000,316320000,189451000,233028000,38457000,21109000,594257000,18380000,139970000,66473000,116461000,53879000,23783000,256801000,59015000,2038065000,44725000,7731000,26136000,17427000,1004000,36069000,16906000,11229000,24733000,45681000,11934000,3141000,6301000,3393000,18523000,18234000,29156000,5057000,15342000,1860000,40887000,815000,103517000,116430000,3778000,6174000,16698000,6662000,642000,1533000,5750000,7651000,113000,3505000,29774000,472000,278000,11733000,223000
"GRC",13775000,20399000,64542000,95634000,2888000,26000,24561000,35172000,1711000,26590000,1127626000,40858000,311138000,81760000,5136000,10124000,445274000,263525000,0,1000,5704000,3176000,10306000,101000,18764000,501825000,58970000,37807000,23000,1904000,1649000,192000,185496000,12249000,2757000,3460000,33000,120000,389918000,4516000,40669000,1018000,628000,14407000,244534000,189913000,386000,282000,66000,17630000,17342000,1000,7000,849000,6000,9000,287000,42908000,5242000,119000,0,38000,25000,2406000,2738000,77000,4115000,80141000,16034000,56033000,1000,3000,0,0,0,3665000,14857000,115105000,314000,912000,0,17000,1013000,48760000,69261000,3781000,112251000,0,256000,7511000,0,14000,32000,29000,29648000,2000,2076000,5000,9963000,3000,4069000,67184000,21370000,12000,327000,141826000,1000,59601000,23734000,322000,81000,384000,2047000,6421000,4942000,243000,12322000,52000,0,3000,6594000,14000,608000,67000,3000,136000,17000,14000,27000,177000,63000,996000,0,20000,0,188000,8521000,4e+06,132000,0,0,0,11000,0,0,0,2000,0,55000,319000,0,5000,0,0
"GRL",0,0,0,820000,0,0,2366000,123000,0,0,19495000,94764000,0,6542000,0,8635000,22065000,1915000,10000,0,0,0,23000,3000,0,114000,8000,1054000,0,0,0,9000,2874000,3953000,0,0,0,0,0,0,9593000,5000,0,0,16997000,0,0,0,0,0,0,7000,9000,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",106619000,534495000,95113000,189851000,6865000,6528000,542166000,315988000,7036000,2899000,1323986000,91620000,29381000,108192000,1413000,52750000,344185000,1515187000,18710000,2000,0,86572000,43193000,5491000,38943000,201491000,16247000,621173000,41454000,4841000,164217000,7209000,268368000,73976000,80065000,20801000,12866000,219171000,338867000,589716000,225843000,88594000,12873000,1817000,5879830000,3813000,17747000,18722000,2550000,5425000,8779000,1292000,2116000,7048000,532000,4934000,722000,1027000,12234000,1046000,202000,2341000,24699000,626415000,5239000,4741000,818000,14287000,2318000,449000,9095000,499000,1770000,140000,1029000,28645000,2727000,56321000,2972000,3981000,138000,1704000,40343000,73086000,28556000,6103000,4812000,70940000,22772000,1669000,6877000,1379000,5146000,1371000,147036000,1590000,15245000,13653000,8034000,1419000,10873000,514000,4723000,1122000,212000,11205000,2181000,3670000,1386000,1846000,388000,2400000,66668000,2541000,120244000,565000,0,6994000,652000,398000,6773000,3170000,4034000,1610000,695000,66000,679000,1866000,0,50000,10721000,11798000,1178000,0,0,2932000,2761000,4006000,1140000,40000,0,494000,20000,2018000,35000,2052000,339000,2000,381000,524000,251000,1000,0,0
"IDN",22870000,745259000,15238000,59649000,12571000,0,29819000,24250000,38000,11376000,234421000,35101000,13895000,59577000,0,2070000,152361000,158703000,79652000,0,105150000,0,4399000,170000,0,235670000,1651000,12008107000,2035000,13597000,69299000,427000,156161000,4974000,228948000,31670000,12000,152803000,38625000,3653000,24692000,26881000,353085000,890000,4363266000,14768000,30000,13619000,71000,1493000,20715000,438000,1000,2044000,4000,5000,0,850000,0,247559000,15000,0,1000,14231000,74000,80000,0,69000,4732000,11196000,67000,0,0,0,0,8167000,892000,4009000,0,2940000,0,0,610775000,9747000,1521000,0,833000,0,13377000,0,3915000,2467000,0,0,1845000,0,4545000,59000,21241000,952000,0,3773000,657000,165000,5014000,22356000,3000,1023000,50000,198000,0,7000,1485000,837000,6000,0,114000,0,0,0,0,0,0,0,0,0,5000,0,0,0,54000,0,0,46000,0,0,0,213000,0,0,0,0,0,3000,0,716000,0,0,0,0,0,0,0,0
"IRL",15671000,92123000,41298000,225063000,1122000,744000,104407000,97632000,6021000,119000,732503000,57020000,110369000,141436000,1133000,42446000,673049000,3442128000,31603000,49000,3933000,4180000,0,2053000,10237000,239747000,4364000,184446000,2574000,7677000,13195000,671000,385799000,41563000,11131000,7228000,3047000,11110000,53300000,12714000,114682000,18680000,3225000,1523000,570263000,19248000,7763000,7504000,417000,3617000,25294000,3286000,201000,2210000,8251000,620000,137000,2754000,4108000,4311000,899000,637000,5286000,4445000,5833000,2444000,25458000,5989000,4805000,43738000,51000,2387000,3022000,465000,910000,9811000,6156000,83567000,3442000,2102000,0,1490000,3310000,16529000,6325000,786000,55824000,0,21404000,5378000,44000,213000,649000,109000,91616000,83000,2245000,158000,2743000,0,3161000,1947000,6208000,871000,79000,42511000,199000,14307000,5789000,687000,87000,1168000,22419000,1852000,34131000,324000,0,744000,383000,0,675000,429000,605000,941000,465000,470000,39000,228000,169000,181000,1325000,24000,737000,228000,86000,451000,3000,3173000,307000,22000,0,247000,1000,4000,0,13000,0,0,26000,804000,0,0,8000,0
"ISL",16471000,436000,1298000,11808000,0,382000,3998000,22452000,207000,1365000,50533000,17968000,62000,28040000,2000,15363000,23217000,106176000,9912000,33000,5000,621000,384000,0,476000,22315000,87000,25439000,2000,16000,1090000,21000,5048000,6133000,37000,509000,27000,21000,823000,373000,12837000,184000,2000,25000,199529000,2114000,0,1164000,289000,401000,103646000,89000,32000,0,3000,0,0,0,0,0,0,0,0,654000,12000,367000,0,213000,208000,0,0,0,0,26000,7000,0,733000,23000,8000,2000,0,0,11000,0,1298000,0,0,0,23000,0,0,0,12000,0,26279000,0,2000,1000,3343000,0,0,250000,0,0,0,51683000,0,0,0,53000,0,0,67000,0,3000,0,0,0,0,0,281000,0,0,0,8000,2000,10000,0,0,0,510000,0,0,0,0,0,77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"ISR",0,63952000,42880000,258165000,0,91000,32231000,149354000,3481000,15000,388946000,23563000,68982000,33691000,5115000,34098000,277271000,463998000,29172000,3000,146429000,17000,25992000,717000,0,184315000,0,186292000,2000,0,4000,229000,168072000,28964000,6364000,20000,807000,5940000,0,40191000,51128000,17444000,306000,26155000,1199774000,33791000,10665000,26404000,154000,4577000,67900000,559000,163000,2624000,1181000,32000,162000,6572000,0,26000,66000,127000,14354000,61000,439000,6498000,0,14970000,172000,0,2965000,556000,3793000,0,1802000,3128000,0,0,1000,14348000,11000,3000,8225000,0,0,95000,0,0,8444000,1119000,10909000,0,2229000,1004000,41523000,1000,0,0,674000,0,0,24837000,0,137000,0,2000,5000,0,0,4288000,67000,1305000,21547000,0,79481000,0,0,0,0,0,3177000,22000,0,791000,60000,192000,12000,108000,23000,0,909000,6934000,70000,109000,0,96000,0,4671000,0,52000,0,0,0,0,0,0,39000,0,58000,9000,0,58000,0,0
