"","AUS","AUT","BEL","BGR","CAN","CHE","CHN","COD","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ISR","ITA","JOR","JPN","LBN","MEX","MYS","NLD","NOR","NZL","PAK","POL","PRY","SAU","SEN","SGP","SUN","SWE","SYR","THA","USA","VEN","YUG","ARG","BRA","CAF","CIV","COG","COL","GRC","MAR","MDG","NGA","PAN","PHL","PRT","BFA","GHA","LBY","AGO","ALB","BDI","BEN","BOL","CHL","CMR","CRI","CUB","CYP","DOM","DZA","ECU","GAB","GLP","GNQ","GTM","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LAO","LBR","LKA","MLT","MMR","MRT","NCL","NIC","OMN","PER","ROU","RWA","SDN","SLV","SOM","TCD","TGO","TTO","TUN","TUR","TZA","UGA","URY","VNM","ZAF","ZMB","ZWE","AFG","BHR","BHS","BMU","BRB","DDR","DJI","ETH","FJI","GIN","GMB","GNB","GUF","GUY","KHM","MNG","MOZ","MUS","MWI","NER","NPL","PNG","PRK","QAT","SLE","SUR","WSM","YMD","MLI","SPM","GIB","BLZ","SYC","KNA","MAC","GRL"
"PHL",3084000,3040000,7333000,0,3313000,3064000,0,0,0,66232000,10101000,5000,6260000,1965000,11006000,10680000,3046000,0,388000,279000,3000,0,6000,10016000,12000,253697000,17000,9000,1933000,23435000,3419000,582000,989000,0,1000,4000,0,3048000,0,13726000,0,1312000,369058000,2993000,195000,448000,2000,0,1000,0,796000,52000,290000,13000,0,710000,0,109000,0,0,2000,2000,0,0,0,0,46000,12000,28000,0,0,2000,0,19000,0,0,0,77000,1000,0,213000,18000,0,0,0,11078000,11000,44000,0,23000,0,2000,0,0,5000,0,1157000,0,0,0,4000,0,0,0,0,0,23000,0,0,43000,209000,1594000,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,9000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0
"PRT",3302000,6628000,16828000,258000,10222000,11124000,1000,2754000,1592000,53068000,12582000,10000,17974000,3626000,28473000,116008000,526000,883000,567000,2470000,519000,1231000,3531000,16527000,964000,5641000,1601000,1819000,411000,13720000,5708000,819000,1489000,1184000,48000,401000,69000,387000,1000,21363000,626000,391000,61252000,2404000,2000,1662000,2553000,192000,43000,239000,101000,3298000,3732000,93000,486000,76000,1164000,0,0,2000,30000,81487000,0,18000,0,173000,106000,2000,216000,1121000,1433000,196000,0,236000,0,55000,181000,415000,32000,18000,1087000,469000,0,61000,0,15000,190000,3000,1000,114000,515000,5000,0,26000,85000,0,623000,1723000,0,1490000,46000,1000,78000,42000,1037000,5000,2117000,0,0,93000,5822000,3810000,569000,0,0,25000,0,0,0,558000,56000,0,0,1000,0,14301000,0,0,1154000,0,47159000,0,0,0,1000,0,1000,0,0,65000,0,191000,15000,0,0,0,0,0,0,0
"BFA",0,0,1000,0,0,1000,0,0,0,28000,147000,0,50000,0,1607000,36000,0,0,0,0,0,0,0,386000,44000,119000,0,0,0,0,0,0,0,0,1000,0,41000,0,0,501000,0,0,2000,0,606000,0,0,24000,225000,0,0,0,0,0,4000,0,0,165000,0,3530000,0,0,0,0,294000,0,42000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,58000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,180000,0,0,0,0,0,0,0
"GHA",4333000,4849000,8654000,1997000,9397000,3534000,5702000,6000,5179000,36141000,2622000,2443000,1646000,665000,2927000,48420000,3000,2423000,585000,3376000,26000,0,875000,15067000,68000,7935000,33000,0,58000,9060000,9227000,2878000,199000,6793000,0,0,1000,0,30791000,4039000,1000,0,58768000,6000,4934000,0,0,15000,18000,0,9000,1379000,12000,0,581000,0,38000,2000,849000,0,8000,0,4000,27000,1000,0,0,0,0,0,3000,0,0,0,4000,0,0,0,0,0,0,10000,0,3000,0,0,0,0,8000,0,5000,0,0,0,0,0,6000,1051000,0,0,0,0,6000,1003000,0,0,45000,8000,0,38000,1000,0,0,17000,0,0,0,0,0,3024000,0,0,0,6000,82000,0,2000,0,0,0,196000,0,0,375000,0,0,0,0,115000,0,0,0,181000,0,0,0,0,0,0,0
"LBY",13000,5000,31735000,0,1000,13798000,0,0,31000,371112000,12181000,474000,35592000,6000,109998000,206683000,0,0,138000,0,234000,0,0,79158000,0,188000,22000,0,0,68927000,7693000,0,11000,0,0,0,0,5000,313000,42000,22000,0,30469000,12000,689000,0,0,0,0,0,0,5000,392000,0,5000,0,0,1000,0,1781000,0,0,0,0,0,0,0,0,0,0,0,0,198000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317000,0,0,0,0,0,0,0,0,11000,24000,0,143000,0,0,4337000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",44000,1669000,5400000,0,1308000,3063000,0,6719000,0,16588000,476000,0,3663000,907000,10340000,3317000,15000,0,0,5000,1000,0,0,2859000,13000,2728000,0,0,0,22942000,878000,20000,0,0,0,0,0,0,0,477000,0,11000,48324000,7000,0,1000,0,33000,33000,556000,0,908000,77000,1000,6000,39000,6000,71659000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,322000,12000,0,0,6000,0,29000,0,89000,3000,215000,25000,0,411000,34000,0,0,0,0,0,0,0,1446000,1000,2000,0,0,0,0,0,0,546000,0,0,0,0,0,0,0,0,0,111000,42000,1736000,0,0,0,0,0,0,209000,0,0,1000,0,0,0,1000,13000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",5000,2000,5386000,0,0,7000,0,153000,0,1147000,0,0,69000,57000,649000,5880000,0,0,0,0,0,0,0,266000,0,129000,48000,0,0,24000,0,0,0,0,0,0,0,0,0,2000,3000,0,17809000,0,0,0,0,0,0,5000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040000,0,0,0,0,0,0,0,0,570000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",7000,114000,380000,0,0,1000,0,0,0,2870000,262000,0,92000,0,8987000,122000,0,0,0,0,0,8000,0,597000,0,176000,0,0,22000,524000,19000,0,0,14000,0,0,90000,0,0,22000,0,0,373000,0,0,0,0,0,261000,7000,0,0,334000,0,106000,0,0,0,4000,44000,0,0,0,0,0,0,0,162000,0,0,0,0,1000,0,62000,0,71000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",16000,36000,2486000,0,355000,7000,0,0,0,7085000,7000,0,57000,36000,699000,45163000,0,0,841000,27000,0,0,8000,56000,5000,6241000,0,113000,0,483000,0,44000,0,0,1000,0,0,0,0,0,0,0,31149000,43000,0,1342000,504000,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737000,0,1000,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",597000,1947000,16829000,0,1586000,3685000,6358000,0,30000,152092000,2028000,16000,11787000,2993000,24006000,87219000,6000,3000,1170000,546000,30000,0,20000,19906000,23000,131607000,218000,3524000,0,8907000,597000,597000,2000,853000,39000,0,3000,1000,115000,40410000,0,0,209446000,2096000,1536000,29140000,27023000,0,0,0,2315000,262000,5000,0,0,474000,20000,13000,1000,0,0,0,0,0,0,1780000,0,0,71000,0,0,5000,5000,1552000,0,0,0,83000,13000,11000,0,6000,99000,0,0,1000,0,0,0,7000,8000,0,0,21000,10000,0,6958000,0,0,0,7000,0,0,0,19000,0,3000,0,0,1873000,73000,11000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",635000,231000,4241000,0,112000,820000,0,25000,54000,17144000,992000,0,3536000,3000,74126000,7327000,0,87000,0,97000,0,0,36000,14625000,0,1544000,146000,0,0,20865000,130000,3000,0,16000,0,1000,26000,0,0,274000,0,0,13239000,0,276000,0,0,493000,72000,476000,0,11000,1449000,1000,98000,0,0,17000,2000,9000,0,0,0,0,1000,12000,0,0,0,0,0,0,848000,0,1896000,102000,59000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,18000,0,0,0,98000,0,0,0,18000,907000,44000,0,32000,0,0,0,0,4000,0,0,0,0,0,0,0,0,23000,9000,0,0,1481000,0,0,2000,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",30000,1453000,1852000,0,6211000,3653000,0,0,191000,16561000,286000,0,1208000,1563000,1334000,1069000,2000,0,0,29000,0,0,3000,3297000,0,1032000,18000,43000,0,3139000,38000,36000,6000,0,0,0,0,0,0,2761000,0,1000,57002000,9000,0,0,0,0,0,0,376000,0,0,0,1000,978000,0,0,0,0,0,0,0,0,0,64000,4000,0,0,0,0,0,0,13000,0,89000,0,3882000,3044000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,7137000,0,514000,0,0,0,5057000,0,0,0,1000,0,0,0,0,0,0,7000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0
"CUB",110000,33000,1233000,0,4907000,1705000,0,0,0,825000,185000,5305000,31134000,4890000,11375000,14662000,11000,0,0,473000,1336000,0,0,6730000,1093000,29203000,0,8000,10000,4445000,524000,1000,0,0,0,0,0,7000,0,4145000,0,0,10000,0,5328000,0,0,168000,1000,0,0,267000,36686000,0,0,0,0,2978000,0,0,16000,0,0,0,0,0,629000,0,1000,0,0,0,0,4000,0,0,0,0,0,0,0,199000,0,0,0,0,0,0,0,815000,0,0,0,0,0,0,0,0,0,665000,0,0,56000,72000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",54000,181000,476000,0,270000,436000,0,1000,0,19038000,953000,220000,7151000,840000,1949000,29432000,71000,0,3000,334000,0,0,2159000,3636000,152000,23000,0,0,319000,2224000,395000,254000,7000,0,0,0,0,135000,0,469000,0,408000,1289000,93000,167000,0,0,0,0,0,0,242000,0,0,33000,0,0,5000,0,3000,684000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,9000,0,0,204000,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,0,0,0,0,0,0,0
"DOM",20000,803000,2245000,0,1898000,1409000,0,0,0,5041000,457000,0,3862000,257000,644000,1546000,0,0,0,191000,101000,0,0,4386000,0,173000,0,2000,1000,1639000,876000,1793000,0,0,0,0,0,2000,0,691000,0,0,110641000,998000,0,0,0,0,0,0,15000,2000,297000,54000,0,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",45000,291000,3767000,0,91000,3175000,0,76000,0,59624000,1060000,2617000,4537000,118000,569463000,50341000,46000,0,6000,1353000,26000,0,0,20962000,133000,52000,0,0,0,11564000,511000,0,22000,0,0,0,4023000,0,0,3784000,0,0,5275000,1000,2771000,146000,0,11000,3730000,230000,0,1092000,6003000,1548000,1783000,0,51000,9000,211000,0,823000,0,0,0,363000,0,0,788000,0,0,0,0,0,0,120000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,4000,5000,0,0,0,7000,0,0,40000,0,0,57000,19000,0,2376000,2000,0,0,0,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,468000,0,0,0,0,0,0,0,0,948000,0,0,0,0,0,0,0
"ECU",102000,4792000,5659000,366000,7904000,4930000,0,0,0,56782000,2021000,0,515000,784000,4921000,691000,25000,0,13000,1000,0,0,47000,7802000,0,6224000,291000,181000,0,1896000,1956000,206000,0,543000,42000,0,0,0,0,3946000,2099000,0,105938000,210000,0,2349000,39000,0,0,0,6488000,34000,77000,0,0,4e+05,325000,0,0,0,2000,0,0,0,1000,126000,3531000,0,68000,0,0,12000,0,424000,0,0,0,59000,7000,1000,0,185000,0,0,0,0,0,0,1178000,0,0,0,0,0,78000,0,4159000,0,0,0,127000,0,0,0,0,0,0,0,0,6277000,0,446000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,247000,0,0,0,0,0
"GAB",13000,735000,974000,0,253000,545000,0,4000,138000,17384000,651000,0,1201000,25000,66183000,3759000,0,211000,0,25000,49000,0,3954000,1091000,0,485000,687000,5000,0,3413000,693000,9000,0,327000,0,7000,1379000,0,0,645000,65000,0,10900000,0,0,0,0,0,967000,0,0,537000,608000,121000,255000,0,0,0,1000,0,0,0,0,16000,65000,0,0,247000,0,0,0,0,209000,0,0,87000,69000,0,0,8000,0,1000,0,0,2000,0,0,0,52000,0,0,0,0,68000,0,0,24000,0,0,0,0,0,0,38000,0,70000,0,3000,0,0,11000,252000,0,0,0,0,0,0,14000,223000,0,0,0,0,0,0,22000,0,0,0,0,0,0,36000,0,0,0,0,130000,0,0,0,1000,3000,0,0,0,0,0,0
"GLP",0,22000,369000,0,511000,125000,0,0,0,455000,19000,0,33000,0,93974000,21000,0,0,0,31000,0,0,0,4856000,0,0,0,25000,0,20000,0,0,0,0,0,0,0,0,0,39000,0,0,7024000,94000,0,0,0,0,5000,0,0,0,215000,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,56000,0,0,4000,1000,0,0,0,322000,11000,0,0,0,118000,246000,0,0,0,0,0,0,0,20000,0,0,0,0,0,1346000,0,0,0,0,0,0,0,0,0,21000,0,0,1000,0,0,0,0,0,0,0,0,3000,0,0,44000,0,0,0,0,0,0,0,0,0,63000,0,0,33000,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",8000,2659000,3121000,0,2664000,6294000,0,0,0,31490000,2442000,0,2851000,2895000,3253000,1930000,1237000,0,0,48000,0,0,6000,3955000,1423000,24054000,5000,225000,0,4700000,1361000,19000,0,0,0,417000,0,0,0,1963000,0,23000,66670000,15000,6000,0,2000,0,0,0,2000,0,0,0,0,111000,91000,138000,0,0,0,0,0,0,0,2000,4000,0,5319000,0,0,2000,0,9000,0,0,0,0,8046000,0,0,1000,0,0,0,66000,0,0,0,0,0,0,0,0,6370000,0,12000,0,0,390000,18503000,0,0,0,0,0,0,0,0,0,0,2429000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",2000,2249000,562000,0,9428000,4162000,0,0,0,17549000,305000,0,439000,590000,419000,766000,0,0,8000,29000,0,0,1000,2213000,0,5546000,0,73000,0,856000,516000,5000,4000,0,0,0,0,0,0,511000,0,0,71567000,79000,6000,0,0,0,0,0,5000,0,0,0,0,437000,5000,0,0,0,0,0,0,0,0,0,1000,0,1415000,0,0,9000,0,6000,0,79000,0,3775000,0,0,0,0,1791000,0,0,308000,0,0,0,0,0,0,0,0,1349000,0,109000,0,0,0,15674000,0,0,0,284000,0,0,0,0,0,0,0,0,0,0,0,0,0,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",44000,44000,3506000,0,992000,2241000,0,1000,0,1328000,657000,0,1384000,56000,5559000,90000,2000,0,0,0,0,0,0,6372000,0,2474000,0,18000,0,208000,437000,1000,3000,0,0,0,0,0,0,1041000,0,0,20489000,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,4000,0,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,35000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0
"IDN",70935000,1221000,16139000,0,3963000,8115000,0,2000,0,73230000,20825000,13000,369000,1026000,16107000,11078000,25488000,0,4937000,636000,847000,0,0,18253000,905000,149399000,0,89000,3715000,110712000,2573000,1283000,110000,0,1000,0,24000,279000,0,9489000,0,17373000,167614000,6983000,3937000,17000,0,0,16000,0,1355000,155000,452000,145000,177000,437000,19469000,1485000,2000,84000,1000,0,0,0,0,9000,134000,0,4000,0,0,0,0,459000,0,0,0,83000,9000,0,0,3000,0,0,0,6000,0,1814000,0,1555000,0,1409000,0,0,2000,0,1149000,0,0,9000,5000,0,0,3000,0,88000,6000,0,0,0,2506000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3478000,0,0,0,0,0,0,0,0,0,0,0,109000,0,0,0,0,0,0,0,0,0
"ISL",35000,177000,2501000,3000,610000,386000,0,2000,2724000,13589000,10626000,57000,3063000,4677000,2211000,27103000,0,41000,0,1203000,4000,0,91000,6768000,1000,15000,16000,19000,3000,2232000,2507000,0,1000,2883000,1000,0,0,0,6787000,9219000,0,6000,19829000,309000,21000,4000,1033000,0,1000,0,8000,976000,0,1000,6124000,94000,6000,1862000,2000,0,0,0,0,0,0,0,0,5000,0,0,23000,0,0,1000,0,0,0,0,2000,1000,0,0,1000,2000,0,0,0,0,0,1000,0,0,0,0,0,0,5000,766000,0,9000,0,0,0,0,0,0,48000,0,0,0,11000,17000,0,0,0,0,0,0,0,1691000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",326000,81000,184000,0,33298000,223000,0,0,0,2516000,274000,0,77000,253000,163000,78834000,41000,0,7000,1570000,3000,0,0,1557000,0,422000,0,20000,1000,432000,13896000,707000,4000,0,0,0,30000,0,0,5383000,0,0,124987000,49000,0,91000,0,0,0,0,83000,0,0,0,0,175000,0,0,0,1000,0,0,0,0,0,5000,77000,0,133000,0,0,0,0,0,0,0,0,166000,685000,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,195000,0,0,2000,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",2208000,1263000,1061000,0,6349000,1185000,0,718000,0,26138000,1675000,166000,1344000,2047000,3706000,45409000,3259000,0,12319000,1257000,410000,0,1710000,3819000,589000,5551000,0,0,1067000,5579000,877000,1091000,633000,0,0,0,151000,1624000,0,5667000,0,505000,13075000,6000,32000,118000,0,0,1000,0,0,1123000,23000,668000,134000,0,0,225000,0,12000,120000,0,0,843000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,1146000,0,0,0,0,0,0,1000,0,0,2047000,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0
"KIR",16093000,130000,210000,0,0,0,0,0,0,1949000,7000,1000,156000,15000,5372000,8089000,23000,0,4000,1000,0,0,0,475000,0,4541000,0,0,2796000,520000,0,9923000,1000,0,0,0,0,632000,0,3000,0,0,7767000,479000,0,0,0,0,0,0,0,5000,0,0,4000,220000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0
"KOR",1518000,1304000,1029000,0,1358000,839000,0,1000,0,4153000,41000,10000,102000,14000,2146000,3943000,8811000,0,128000,24000,884000,203000,2000,1167000,83000,41316000,0,19000,1759000,1719000,88000,5000,34000,0,5000,7000,0,2897000,0,4997000,1000,4762000,53865000,1000,0,50000,57000,4000,167000,0,0,154000,0,0,0,56000,915000,3000,0,1000,0,0,0,0,0,8000,0,48000,0,0,0,0,0,0,0,0,0,0,0,0,222000,0,0,0,0,0,0,155000,5000,214000,0,1181000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1000,0,0,0,18240000,203000,1863000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0
"KWT",32151000,4000,51317000,0,10642000,1216000,0,36000,0,35755000,19034000,5e+05,24508000,0,153546000,253832000,636000,0,206000,0,10977000,0,0,361125000,487000,450379000,0,0,13978000,86716000,0,18805000,1458000,0,0,0,0,43746000,0,1044000,0,0,47149000,3000,0,0,15454000,0,115000,0,0,844000,643000,0,0,0,3843000,836000,31000,0,24000,0,0,0,0,0,0,25000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162000,0,0,0,0,0,0,0,0,0,13000,0,0,1126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0
"LAO",0,0,1000,0,0,5000,0,0,0,74000,0,0,0,0,19000,6000,51000,0,0,0,0,0,0,3000,0,6000,0,0,1303000,0,0,0,0,0,0,0,0,764000,0,0,0,420000,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,12000,14875000,0,191000,48000,0,11000,0,65080000,110000,1000,243000,0,10252000,24385000,0,0,0,2000,0,0,4000,18524000,0,17342000,0,62000,0,9878000,219000,0,0,0,0,0,4000,0,0,1276000,0,0,50662000,5000,0,0,0,0,50000,0,0,1707000,2000,0,93000,0,0,0,0,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0
"LKA",20087000,1600000,1371000,126000,12983000,2778000,36073000,0,710000,19653000,1682000,4161000,2676000,292000,5826000,118598000,1047000,95000,9697000,2871000,8475000,20639000,89000,8778000,726000,10122000,852000,1772000,1314000,4743000,327000,9129000,6716000,5156000,4000,3886000,0,1555000,20412000,4518000,2184000,310000,33398000,33000,1213000,122000,0,8000,0,2000,84000,361000,590000,104000,47000,11000,138000,387000,0,18000,3700000,0,0,0,0,231000,1088000,0,17000,807000,55000,0,5000,188000,0,0,0,184000,69000,0,1000,8000,0,316000,8000,0,2298000,2000,0,0,159000,2472000,2000,0,61000,17000,1165000,4464000,0,187000,27000,0,0,0,0,694000,10000,3000,0,180000,0,19315000,193000,289000,0,399000,0,0,0,4106000,214000,627000,21000,0,0,0,0,0,0,0,154000,39000,0,0,0,0,34000,0,2000,0,12000,3246000,0,0,0,0,0,0,0,0
"MLT",244000,310000,572000,0,359000,575000,0,0,0,681000,66000,0,52000,8000,127000,8894000,2000,0,10000,245000,0,0,52000,1184000,3000,124000,0,0,0,585000,60000,81000,2000,0,0,0,73000,0,0,62000,0,0,952000,188000,19000,0,0,0,0,0,1000,115000,0,0,18000,0,0,287000,0,0,973000,0,0,0,0,0,8000,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104000,0,0,0,0,0,13000,31000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",655000,86000,1762000,0,36000,763000,18727000,3000,1910000,9865000,7317000,30000,1431000,2e+05,2898000,17278000,3207000,389000,23116000,104000,60000,26000,181000,4196000,0,25819000,4000,1000,5631000,3611000,1162000,8000,7896000,598000,0,718000,0,9439000,13504000,4121000,0,198000,1253000,0,1677000,0,0,0,0,0,0,4000,2000,5000,44000,0,32406000,2000,0,18000,0,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,8865000,52000,0,0,0,0,513000,0,0,15485000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,1123000,0,0,0,894000,0,0,0,0,836000,0,0,0,1000,0,0,4257000,0,0,0,0,10000,0,1359000,0,6000,4000,0,0,0,0,255000,0,0,0
