"","ARE","ARG","AUT","BGD","BGR","BHS","BIH","BLR","BRA","BRB","CAN","CHE","CHL","CHN","COG","COL","CRI","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FJI","FRA","GBR","GRC","GTM","GUY","HKG","HND","HRV","HUN","IND","IRL","ISR","ITA","JAM","KHM","KOR","LBN","LKA","LTU","LVA","MEX","MNG","MWI","MYS","NGA","NIC","NLD","NOR","NZL","PAK","PAN","PER","PHL","POL","PRT","PRY","QAT","ROU","RWA","SAU","SDN","SLV","SRB","SVK","SVN","SWE","THA","TTO","TUR","TZA","UGA","URY","USA","VEN","ZAF","ZMB","ZWE","ALB","ARM","AUS","AZE","BEN","BFA","BHR","CIV","CYP","DZA","ETH","GAB","GEO","GIN","JOR","JPN","KAZ","KEN","KGZ","KWT","MDG","MKD","MNE","MOZ","MUS","NER","RUS","SEN","SGP","SYR","TUN","CMR","GHA","ISL","MAR","MDA","MLI","MLT","OMN","PSE","TGO","VNM","AFG","BDI","BOL","CAF","CUB","EGY","FLK","GIB","IDN","IRN","IRQ","LBR","LBY","MAC","NCL","PRK","SHN","SLE","SMR","SUR","SYC","TKM","UKR","ABW","AGO","BLZ","COD","DJI","ERI","GMB","GNQ","GRL","HTI","KIR","LAO","MMR","MRT","NPL","PNG","SOM","TCD","TJK","TLS","UZB","WSM","ASM","KNA","MHL","MNP","ATA","BMU","FSM","GNB","GUM","PLW","SPM","ATF","TKL","VAT","HMD","SGS"
"PSE",3742818.88,0,367063.58,0,35339,0,0,0,2310,0,176120,294520.19,0,226673.7,0,15264,0,1302,449844.18,2380,0,0,130587.51,0,0,0,5260741.01,2400921.32,79914.46,0,0,0,0,3471,0,0,33492.29,453449630,3799456.93,0,3299.44,3464162.87,5019,13763.61,0,0,12630,0,0,4166,0,0,4957428.55,21660,37000,0,0,0,0,3486,171250,0,292604.47,0,0,2750291.23,0,0,0,0,0,240839.06,0,0,1188284.19,0,0,0,5861966.82,0,0,0,0,0,0,94160,0,0,0,27578,64833,52956.19,2952928,0,0,0,0,40699905.86,95955.7,34518,0,0,934158.35,0,0,0,0,0,0,23939.95,0,0,24100,0,0,211000,0,1708.83,0,0,0,26779.19,0,0,0,0,0,0,0,0,736680,0,0,0,0,0,0,0,0,0,52490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGO",14669495.9,0,168904.69,4085577.66,2266,0,0,0,9309084.93,14593.57,2226162.5,2997023.25,0,22694036.43,4537346.89,0,0,3630,78145503.16,166847.66,0,0,9147340.2,0,415332.11,0,12229296.59,1210387.38,219206.84,0,0,5021606.08,0,135255.77,96892.27,67740156.63,1199779.6,36332.6,8915365.24,0,0,2167659.99,42276.35,0,0,0,44232,0,0,8973725.66,385703116.48,0,28948595.31,2746,1819782.25,1019890.49,0,0,1800176.72,8362882.38,3333108.7,0,0,0,270431,425060,102125.17,0,84235.43,0,2139.31,0,8413756.83,0,801938.39,61601.73,19500,4227347.96,6767360.85,0,6257690.44,0,0,0,1751.37,49976.24,0,129287805.04,54720181.17,0,8690418.79,22977,1926609.6,0,10814637.84,0,2926345.42,4340,108171,0,10434,0,0,1565,0,0,46718,0,37125824.66,0,8300773.71,95685,0,3689095.42,535991.97,103623386.94,0,6955724.99,0,83205379.33,0,0,0,0,8683453.98,0,2567,0,292350.14,0,0,0,0,1854104,0,0,3738,3372.06,0,3587,0,0,0,0,0,0,0,60523,0,3091,0,67809,29632,0,88374,314277,0,0,3756,0,0,377350,0,0,29075,1440205,0,0,0,0,0,0,0,0,0,0,0,32188,0,0,0,0,0,0,0,0
"VNM",216627353.75,58655346.61,275263870.32,34911869.85,63444475.45,1388420,10310398.32,20126049.69,103776704.7,645460.72,715585574.42,232054695.53,67548136.43,3229692595.17,19085802.61,45954882.71,10222923.33,197920189.28,2802158129.62,184218901.3,6339859.22,10660401.34,1109670488.69,20051355.14,111954363.21,1882134.62,1673074491.42,1775538899.32,118946108.25,4791856.76,5161479.25,826599027.01,2174840.07,47913547.66,73654465.38,202300078.18,121522317.09,70135878.03,985493486.450001,1982022.43,873921509.970001,1427923852.09,26398136.21,28512538.41,18068328.04,7597900.7,439074991.04,7592728.71,1028584,1787667508.26,41069558.15,4028053.03,951433721.360001,141740655.02,104515832.88,62769230.87,141670692.96,26177861.84,977111489.92,375172132.63,56699813.7,4172876.88,54982128.35,43464689.92,8343853.32,97074024.43,13121539.56,2158071.5,50222019.92,86263986.06,34544390.09,232734504.78,914038924.870001,3148702.79,331291107.23,19039510.75,7258451.62,6641015.43,11365010106.48,15368726.64,146120183.26,2312154.48,2384592.17,2081963.69,10796050.66,3732535546.8,1094359.77,19521952.77,2756133.59,3647475.73,45841151.63,10198039.56,57064728.75,31204257.22,9450334.51,6439863.03,7713422.8,26047984.88,6530906725.2,11953751.63,10516403.57,425265.14,42185866.14,23297162.99,4058501.17,4766128.6,9968733.4,5051281.59,4478057.29,561563213.24,16561941.86,2215316481.46,20721241.76,14464043.55,20106862.03,61793926.35,10173937.91,41458447.55,9699246.47,15864553.89,2005737.95,11141376.61,206867.83,8295501.09,0,0,864993,3010386.86,1832592,279738053,97780062,0,0,1152961618,30248578,14829051,1848087,2387022.26,10462372.07,6280731.36,6306131,0,8439287,0,1571359,0,2626502,116259994,0,49330143,777376.22,0,554760,1592768,4299068,0,316804.27,419632,0,104206729,21796344,0,1414901,14728012,553937,0,336299,15562932,940870,1075665,0,0,0,0,0,258240,0,0,2751192,0,0,0,0,0,0,0
"AFG",4399176.26,256774.01,235784.28,12993747.26,4262.03,0,3309,1267662.54,577147,0,631053.07,328221.89,39504,2373117.94,0,83457.37,120309.98,570495.04,6264050.05,310438,635853.63,0,366728.92,16212,11124127.27,105884,2502657.16,1724200.18,14637,31190,0,79275,3817066.68,225928.62,17000,75722101.15,328303.83,3902000,680327.6,0,60802,124458.96,66793,0,0,0,515129.57,2569,0,0,2913899.05,0,153728,1288331.5,186368,83975205.08,0,13327,15167,344517.24,2124,0,34387.02,11506,0,109671.26,57738469.27,9655,36436,4028,17757.67,22704,834434.32,0,12313082.64,0,4483.15,0,10099292.44,236397.24,476864,0,0,0,0,86810.47,3877.8,2002,14347.31,226716.39,2280.04,33571.85,74836,39970.53,9736,3798,198239,1004086.9,212975.33,3767648.5,200902.02,206484.53,132877.37,0,0,0,163967.39,42148.84,23923.99,6993467.29,0,6052445.95,579224.12,734961.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",19751156.74,0,418281.51,1061021.4,0,0,0,3919.8,0,0,64070.43,2015044.3,0,748994,0,18934.88,20222.24,43299,30766899.75,712396.52,318482.7,0,436798.71,0,1228232.59,0,6849187.9,530058.02,0,0,0,114912.03,1235437,1897.66,78443.12,1655281.91,44463,40455,2079013.98,0,0,109363,41420,0,0,0,27623.94,0,8539,3635,3343,0,3185618.06,1001.62,0,4214760.02,0,0,111143.07,453932.33,0,0,0,481144.72,4684749.98,248633,3628053,71504,0,4356,44535.45,4315768.17,1901375,0,52752.97,925113.57,4399514.86,0,1586408.22,0,7199515.47,180923,0,3099283,5691.26,53734,0,0,0,0,1113295,0,0,528673,0,2055,1840,0,3889845.68,0,12253282.18,2380,0,0,6493,0,0,1114.04,11245,1731051.76,23985,532665,69736.11,112581.68,27366,0,0,2534,13104,0,0,458081.38,10845.93,0,0,0,0,0,31314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275091,0,0,0,0,14652557,0,0,0,0,0,0,0,0,0,0,84017,0,17296,28458,0,0,0,0,0,0,0,0,0,2038,0,0,0,0,0,0,0,0,0,0
"BOL",303564.99,377076074.13,7943700.15,0,38207.54,92972,25894,67100,1750354034.68,644629.18,154713181.01,159414883.72,58281864.68,66201096.87,4585,153256611.92,2555615.32,529751.68,27883057.54,1745197.51,5156407.33,17414419.55,30401228.87,154688,144571.56,0,22740687.64,105856059.87,292329.61,584200.84,5398,4923906.8,924224.51,94861.2,72911.47,3246500.45,108848.79,2151694.96,40734939.65,10860,0,201867960.04,66547.97,0,197398.58,262644.56,37053427.22,0,0,19047469.99,0,160629.59,63192996.77,1035846.26,731885.94,197144.09,65989741.02,225789632.51,0,1544270.83,1179192.03,28945472.65,62026,326677.38,1564,91686.37,94018.23,106304.63,197161.82,181776.12,388227.42,1412563.96,1249741.77,66884,2023181.2,1287,0,2658705.84,420338001.64,235986381,17890623.49,0,0,0,0,3977207.77,0,0,0,15695,0,20327.54,76135.64,25252,1575,0,0,0,404317016.21,74874.98,23217.02,0,121362.42,0,0,26596.63,49930,97908,0,2393147,5511.34,18024,6479,245782,0,0,15661.13,194428.81,0,0,0,3605,1203664.16,10953,917936,0,0,0,0,106133,330645,0,0,99911,0,0,0,148476.1,103289,0,0,0,13000,0,0,0,0,129115,0,0,11300,0,0,0,0,0,0,490848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8866,0,0,0,0,0,0,0
"CAF",0,0,505579.81,20814,4919.89,0,59383.61,0,49665.68,95498,219727.7,10429353.78,0,6648855.94,799041.11,183692.31,150047.83,1125132.26,7371310.39,1060151.29,0,0,8910842.91,0,0,0,12692927.77,113075,0,0,0,468180,383568.69,28231.71,0,1015185.57,776542.37,18232992,9944586.64,1049,0,271879.41,52019.87,0,11303,126266.12,581616.17,0,31841,26812.68,18520,4653,443350.82,83986.05,111787.26,0,0,0,0,256737.89,4324217.81,0,0,138180.55,0,782807.31,254652,0,133917.18,87185.71,179624.72,10090,63176.75,0,5904770,0,4536,0,3095687.12,166514,1389753,0,0,1113.57,0,38369.71,0,25812,0,0,279283.23,0,386410,31755,2786,0,13852,0,2197485.85,8739.39,0,0,45596.08,0,0,6273,0,0,0,20706.02,0,0,0,198367.31,1676924,0,968666,13235585.77,0,17560,0,0,0,8897.06,621201.12,0,0,0,0,0,0,0,0,0,0,0,0,33475,0,11351.89,0,0,0,0,0,0,0,0,0,0,0,518213,0,0,0,0,0,0,0,0,0,0,0,0,0,10514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",2866049.09,3013121.96,3567872.6,13599.02,6713529.74,3662168.01,0,641784.7,86815137,69131,28432709.93,23308377.65,3690584.37,1102185880.63,0,8494385.95,5856990.17,4103507.95,57445931.64,24734046.53,25282536.09,2344081.13,193798175.92,6860684.11,8755659.11,9370,67539587.64,11101059.07,6781054.99,2784418.24,67565.54,19000511.63,12025104.6,659890,95687.79,905048.72,439066.76,654650.5,25461355.13,15921040.22,0,2908715.38,2126326.01,0,72396,193541.04,15291329.31,19633.49,0,681976.82,919629,6262833.84,25783155.81,16693759.9,1170654.39,996212,24530713.86,761424.15,677411.06,4995269.43,28263049.77,434428.57,798393.88,902569,0,677841.46,0,335756.39,357667.78,1043073.02,824599.09,853099.35,2071127.97,6538136.94,1439943.47,0,4596,731498.11,202701,37883035.36,2354345,0,0,77987.71,66415,7187754.52,0,0,1398.6,584935,372963.98,33985185.65,5165305,30880,8826.33,4025,0,8763,15830869.06,4039622.51,1548,5505,274317,74463.23,58899,173322.48,31474,155146,0,63647715.74,527987.63,3800810.06,0,143036,1687,185243,117238.67,2587855.47,61682,1236527,145049,0,74900,0,2788827.16,0,16340,6018870.47,168018.96,0,0,0,0,0,0,0,0,34925,5651236.03,94661,0,0,0,0,0,0,0,0,0,0,73199926.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",383101001.38,35055573.31,37403329.81,20500894.32,29711098.86,704212.27,8104311.65,13247596.63,48962655.12,170786.58,139833335.03,22427617.44,4400188.44,220512176.65,1453490.5,4723479.7,697930.18,29161551.01,1003122743.75,25950195.36,316674.79,16570734.24,1857344157.94,3764150.4,24537070.67,56549.71,1030262664.41,1022737078.13,390972003.38,1374469.52,0,125197922.97,114428.73,13061544.88,9441813.06,1731624850.85,52910066.16,90307142.15,2347052909.77,100631.72,29692.35,560776372.63,497753002.14,10604782.34,5049861.25,7180234.59,307540978.98,47137.5,14834613.45,78716266.43,93905507.52,56393.44,442194814.49,52539797.38,4386171.42,132989559.61,3642549.64,1175025.57,15987324.25,45716437.75,89266448.87,368994.43,105391630.9,113216737.52,14849964.93,1074131200.45,338975447.12,538038.63,12860082.49,15741924.92,8449373.37,26940816.89,6652352.7,1700410.31,614259273.79,38131611.27,25624343.46,5155254.35,2374537623.61,1897832.15,29479692.93,9113291.53,1805138.62,22086146.85,4483004.18,14635658.91,2194347.79,966279.03,2873965.8,25246137.03,14010396.52,96672420.44,254698985,124315095.24,4599432.83,9791515,1266468.95,555678848.02,754616328.42,9705458.43,157015529.38,168219.72,190789803.29,10778461.11,5120677.72,1140102.7,1702418.12,26250849.49,2385159.59,161175930.53,33835517.55,61239658.26,603985348.02,193900626.41,15316095.79,53831620.66,2520233.01,324637685.73,8393641.71,1254282.87,5695083.45,48107651.4,26853434.4,513508.6,4611478.64,0,4944509.84,8295296.67,175523.52,0,0,0,0,0,0,0,0,444772765.62,148541.37,275968.07,0,0,0,0,0,0,0,0,0,0,24008,0,0,0,0,0,4723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,0,29731.51,0,80302.24,0,423635.92,0,0,0,40692.46,0,0,0,0,0,0,2123564.52,2022681.29,0,0,0,136135276.62,3703,0,0,13719.87,1362864.06,0,0,0,0,0,8451475.02,0,2246,734160.44,0,206325.66,0,0,0,0,0,641576.83,38808.26,0,0,0,0,0,0,1373,297074,2513,433983.63,294624,0,0,211040,0,0,0,0,0,0,62693,0,1775620.67,0,844596.83,3710,51747,0,0,0,0,25414.78,4717820.24,0,3966462,0,0,498200.93,4760,45747.37,0,0,0,0,0,0,0,0,0,0,0,0,769934.32,0,0,0,0,0,16712.75,404150.54,0,1340.04,0,974196.98,0,0,0,0,0,0,0,0,0,5735.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,101073,45302,229625.66,0,3582,0,0,0,39448,75065162,46896.83,0,0,403545.67,0,15532,28642144.09,103126,198036.02,2873,17622717.82,0,1326,0,13490692.54,9166595.28,17520742,0,28802,1242805,0,314787.87,184967.79,48035,140433.59,970780.82,8004722,0,0,0,19605215.7,98867.31,43417,0,28692,197414,53722,0,1006323.72,0,16957602.01,45951,0,18417,0,0,5284,17210701.31,1916700.4,1793,0,50568.47,0,27880.67,14667084.16,0,40175,33769,16445,4132287,11959,0,4385247.43,507959,0,21381,3122986.7,0,128982,99696,66289,9418,242349,8866,222447.1,176681.63,0,0,296940.18,0,0,1094,0,464736,437410.27,0,30246,1306518.5,0,0,0,0,8027.72,21948.82,111042,0,0,525918.87,0,0,0,0,0,1180,0,0,32994,0,671217,0,0,31044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",1488202160.82,210541272.91,221153867.76,838164016.069999,41862294.07,0,7185309.89,35763394.65,840388355.82,3164662.4,913994772.3,140907754.65,203359619.06,11772453437.46,25239065.68,127588269.93,13827647.35,244961683.91,4177489621.64,200880224.54,21670157.59,27715522.74,2550139951.97,22310912.24,130180730.66,18071374.94,1728794010.63,2047407601.99,208179088.02,11423446.01,932795.83,2013647084.62,4464383.12,67088657.63,89240152.7,4448133557.01,174488189.96,85440455.91,1853641922.59,8615076.4,88291013.47,8411580404.33999,51866613.59,232486749.31,25997731.03,8510143.39,774075907.18,3334245.24,8715349.46,5928654207.17,160781570.05,6427694.33,2249139034.04,123849658.54,503006006.03,817709491.34,59074490.51,57510838.21,1292240993.97,403266083.6,86991465.62,8536246.28,218933871.41,76289341.68,2130016.96,913049353.91,194561531.4,7532697.06,40095152.99,128763417.16,104652155.38,134846398.19,3816742291.42,6699474.73,1322124998.19,120813312.93,13930976.79,7299282.06,14872239237.37,64484925.83,618332100.1,10258945.37,2048117.88,4219500.61,16868734.12,3655394585.96,5709831.02,3801726.93,2967099.32,41664677.26,20903810.5,15814037.74,169882742,64274665.17,5122935.4,3881603,11267628.48,114227877.28,24915171836.21,32950128.8,260010619.05,625089.07,161205248.71,26358023.16,128250534.75,3556714.46,32342567.51,83829837.26,872082.06,646637721.69,14249807.79,11969730956.6,50608378.29,59154249.99,19353636.45,131614193.12,7559781.13,84712286.23,4744185.2,2678744.8,5606434.82,142137805.52,1170383.23,18482429.53,1312406219.13,0,132168.08,6088956.61,858732.37,0,0,0,0,0,0,0,0,13688301.51,24794135.12,13648547.6,0,0,0,0,0,0,0,0,0,0,238461.98,0,0,0,0,0,34767,0,671633.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",688457530.79,1595964.38,260756755.76,41975076.26,16529661.68,4890,2616962.78,9298850.39,10797013.51,167141.21,41007529.29,32171517.26,917671.73,12095783832.88,1851750.18,3041507.05,26398.33,18808682.91,752954595.7,13623435.63,28687.94,19929.4,1924762207.83,1781597.66,3171100.53,2112143.88,3075573773.07,102908554.43,2487848156.91,24934832.32,11331.5,188846799.67,398525.83,3010045.56,4661069.8,8391187530.87,3753231.71,15805.17,5230662041.84,79470.66,763859.91,5892486409.15,33323680.07,682486658.74,14645808.9,693882.12,39409198.48,0,282560.69,391826715.38,18943203.98,779630.75,415279904.47,10947097.42,18827080.51,404349941.57,565775.12,46220770.04,182902610.27,26566757.4,367129652.35,40000,58834630.31,564642826.63,124680.78,445820035.75,17409855.54,9971907.7,6571945.18,9536258.47,7532262.48,130572840.37,80558956.1,713786.22,4478955911.37,19416777.36,7330581.42,1060421.21,175148182.15,32630310.17,2955667091,1717623.37,273315.19,1201946.47,134820476.73,24289320.9,101902179.16,386076.8,421257.82,20091182.18,14815940.64,2786859.92,24377624,44161564.93,953150.49,51597698,90889.46,7053140.81,11460923178.01,43219712.59,48049679.89,5521493.09,373083191.92,6299669.64,3361991.05,672654.45,7467173.06,2722089.31,111187.55,338644031.35,25227771.39,1241646040.93,112041985.61,37568298.59,2051498.52,655378.92,473011.37,733718530.65,532406.43,1951757.29,574029.62,147133415.68,0,30864.16,36992221.68,0,11010,48786.38,86696.82,0,0,0,0,0,0,0,0,2205413.68,40966.46,55123.24,0,0,0,0,0,0,0,0,0,0,131176.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",45239491.97,0,450912858.04,774068.15,0,0,3083,0,245885747.21,0,1282877856.14,6897,0,696539917.22,0,0,0,106179,51369408.82,11108,7984,0,1517826860.77,0,26028,0,1261337332.04,2806634.42,42538621.99,0,0,0,15895,11181035.5,46000,4956980013.16,30092,1000,3658468318.98,14236.23,0,2792347291.06,1140608.93,13594,0,0,65143,0,0,42025942.39,26829,0,966341839.81,29384,1905,1432211.07,14171.47,0,190341,3715,279533035.05,0,45383.91,139251.06,0,154349.08,0,0,0,76548.63,0,2847356,56471204.45,0,595629693.56,5197,6808.82,0,10281144899.43,31145,253202380,30574,0,0,1593.62,1008,0,0,0,683739.92,0,38840,0,0,0,21000,0,11602847.78,923894353.78,0,0,0,1107,0,0,8563,0,1067.86,0,0,280134.85,0,203791240.35,0,0,14439.39,0,7538616.73,19185.41,0,0,12265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",3384919.72,85216.26,2433,14129.46,110859.52,3777,0,0,23461,0,17872860.13,613314,0,2787446.66,3616678.79,892093.35,0,3909969.81,123170420.95,15421,176856.37,0,645693.31,0,0,0,16038269.22,17957091.56,765640.49,0,0,748546.2,22963,75555.07,0,40357677.22,112151,0,3667649.77,15702,0,569671.56,70906.19,0,0,9977,734513.15,0,8841.21,290793887.18,162683.07,0,278356.79,54628180.69,64350.59,366018.23,0,0,1587,196307089.31,25119.52,0,194017,0,0,0,0,0,49722,0,5699291.57,4444.24,16202,0,892816.07,3975,0,0,114327006.3,0,4212799,5806,0,25072.95,0,62594.39,0,261540.71,0,0,7944517.65,0,50161,0,50507,0,1070,0,136039.34,1451.92,64330.32,0,78657.73,0,0,0,0,0,0,9812878.53,8566.23,2037529.1,0,120074,25317.06,480638.37,0,0,1126,0,0,0,0,1374354.84,4263115.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",334865511.48,4837827.95,882962552.97,0,3918068.32,0,837796.34,0,1007205539.96,0,142842171,1251923860.01,0,1202493433.38,35477.55,7246706,0,24132293.6,4607134480.01,25239.93,146559.6,0,2964616883.47,3943.1,0,0,2510485312.51,1053514235.31,1387397074,0,0,0,0,45822210.66,1000,699212397.39,140678055.49,0,15758390952.28,0,0,9294944.61,36671579.43,0,0,0,2019,0,5029924,21792192.29,18553919,0,855483803.19,12002480.61,0,771617.82,0,0,0,21896957.11,981911105.47,2508,234033.42,69753024.21,0,399866.51,13085188.1,0,2029280.58,1099422.88,25475998.42,21910231.64,22889870.46,0,387467284.94,39214.29,307714.04,0,2908729775.51,0,58559208,0,0,1092610.55,0,0,133118.59,20161,101307.5,1654014,70385.54,18443850.96,17889886,2764309,0,0,0,3159058.1,4184999.6,7000,51532.04,0,40551,0,569834.54,0,0,0,187631.23,35739.04,182646,21197870.98,136673943.48,665458107.54,0,8046.73,13820477,96074863.06,0,110700,16898997.46,1481478.13,0,5961,0,0,11341,0,0,0,142373423,0,0,840715861,15146741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",1962282,729223.63,14065533.02,2116331.2,1875556,0,130723,122800,4237983.15,65563.37,28700056.9,5299668.17,370450.91,395410046.96,0,320522.6,154884.72,7218461.47,193243464.43,21600535,11307,1578,33701531.84,1234603.69,5664673.35,32158,85774933.72,173237034.56,3141454.71,0,3738,365358226.49,0,1560939.77,5520475.07,968674.56,7091259.93,3318631.82,59030191.09,8425,15193804.86,7763750.82,668406.39,650709.04,175789,74992.41,22952993.91,0,16737,27460439.95,129205.1,4153,30163987.15,5755532.61,5946931.95,128058.27,4175661,357564.68,12762475.48,6671335.64,1093057.35,12654,0,166203,0,1091166.1,141503.44,0,780551,1519312.22,1747835.32,10326158.66,4843983.02,1133,5579836.15,1377,1336,46448.68,1096800356.19,5689,3381243.78,0,0,24405,1051,9285538.38,0,0,0,768610.32,0,272848.52,0,0,0,0,3200,25806,49322597.06,181961,0,0,1628680.42,2549,71795,60883,1650,293803,0,1863473.66,1147,17640792.37,0,8564,7057,0,669180.64,122214.38,41799,0,18362.62,0,0,0,19510540.13,0,0,5626.98,0,0,9251,0,0,1274516,0,0,0,0,0,59591.11,0,0,33717,166892,0,0,0,15780,0,0,0,0,0,0,0,0,40026,0,0,0,18585,0,0,3191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40596,0,0,0,0,0,0,0
"NCL",2397,0,99844.56,82489.98,6855,0,0,0,978871,0,214848.16,218521.94,0,206790309.91,1696,9126.58,11909,9599,391622.03,10701,30218.73,1753,180380103.25,0,89264.66,406729.98,291666440.91,261524.69,3097.78,0,111912.83,3605200,0,1033,2000,9031946.84,210067.44,0,80589276.03,0,0,6675454,0,775726.74,0,0,160502,0,0,366788,1739366.58,1497,6920323.51,84305,1339364.64,220999.06,5985,5468,1098704,149362,0,0,74806.13,0,0,0,1569714.16,36751,0,1905,6692.06,495757.29,434140.02,10339.24,12711,210177,0,1514,60095159.04,0,76110421,472757.8,0,0,0,158046270.46,0,0,0,0,0,0,0,0,2567,0,3107,0,434900969.15,0,69956.06,0,11566,289419.11,0,0,0,0,8779,18786,0,234218.05,91446.43,46105,22355,0,0,10836,0,0,0,0,2850.78,2430.82,369955,0,23342.95,2384,0,4275,0,0,0,47717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69935,0,0,0,0,912326,0,0,0,0,0,12625,1071247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",47066.44,0,1771386.08,1280297.13,11122757,0,812920.57,2308424.24,83368338.29,603390.92,74696.37,428449.42,146538.39,530452144.79,14033,8329546.38,1019180.47,4764045.4,15095523.67,1344634.38,61636879.55,72142.66,5369141.76,629662.06,2125508.22,272295.72,12513978.98,4606150.33,446331.71,111881.61,31328,17834359.24,4287195.52,386917.32,0,159981329.2,3244518.24,20000,670324.5,3092350.38,183750.13,0,4517833.97,368135.4,101067.24,0,39499303.76,227056.74,118495.93,794648.47,53056986.56,4920398.33,38711916.46,0,0,18071592.04,0,1806854.65,0,13977211.12,215462,21514312.89,5197159.02,45171.34,98777.91,30563723.6,17844.4,5685195.57,1887869.13,1158617.6,7448936.89,19291,33606903.83,4252888.13,1502906.43,1351016.87,967888.48,619275.2,0,211713520.52,2994757,114098.37,258286.52,191219,48930,7234045.87,0,5056303.41,6568331.62,0,117834.21,151071.28,19500454,10111228.9,2948249.25,456269,279256.75,0,0,904456.54,612684.26,48188.34,0,451972.09,1589502.29,470557.64,248545.75,1996013.89,6186050.61,33319343.83,387084.14,999718.18,44984154.78,1021841.02,22941,198803,0,0,289345.8,375755.57,0,0,6820513.23,11066.55,0,0,29851.15,563884.44,27766.38,0,0,0,0,0,0,0,0,0,0,333906.43,0,0,0,0,0,0,0,0,0,0,85393,0,0,0,0,0,14372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHN",0,0,4117,193981.83,2358,0,0,0,22424,0,210000,5000,0,0,0,0,0,10783,17000,0,1946,0,346019.94,6696.29,0,0,23333,1163951.11,0,39486,0,0,0,0,0,14030,0,0,0,0,0,204988,0,0,0,0,14279,0,0,1962,105330,5110,2745,0,380999.75,0,0,0,0,1015.12,0,0,0,0,13787,262096.85,896724.27,0,21385.83,1070,81801.88,10536,197574.19,0,7212,54933,0,0,5315986.47,4821628,1862191.99,0,0,3662,0,77681,0,0,0,0,0,0,0,0,0,0,5255.47,0,3294214.96,0,0,0,0,0,0,0,0,0,0,1620,0,0,0,0,85767,0,0,4483,0,0,0,2400725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
