"","BEL","CHN","COL","DEU","DNK","ESP","FIN","FRA","GBR","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PHL","PRT","PRY","USA","ARE","AUS","AUT","BOL","BRA","BRB","CAN","CHE","CHL","CYP","ECU","EGY","GRC","GRL","HUN","IDN","IND","ISL","JPN","KOR","LKA","MEX","MLT","NOR","PAK","PER","POL","SAU","SGP","SWE","THA","TUR","ZWE","ARG","NGA","VEN","HND","MAC","TUN","AFG","BGD","BGR","BHR","BHS","CIV","COD","CRI","CSK","CUB","DJI","DOM","DZA","ETH","FJI","GHA","GLP","GUF","IRN","JAM","JOR","KEN","KWT","LBN","LBY","MAR","MDG","MMR","MOZ","MUS","NER","NPL","OMN","PAN","PNG","PRK","QAT","ROU","RWA","SDN","SEN","SOM","SUN","SYR","TTO","TZA","VNM","YUG","ZAF","ZMB","AGO","ALB","BEN","BMU","CMR","COG","GAB","GIB","GIN","GUY","HTI","IRQ","ISR","KHM","KNA","LBR","MRT","MWI","NIC","SLV","SUR","TGO","URY","ATF","BDI","BFA","BLZ","CAF","FLK","GMB","GNB","GNQ","KIR","LAO","MLI","MNG","NCL","SLE","SYC","TCD","UGA","WSM","SHN","SPM","ABW","TKL","TLS"
"SWE",2726240362,307781335,49152723,7967313787,3174016810,1318193727,2441428179,3012594309,4845364095,7130106,209591054,340339904,2246445611,380764272,2331958456,152677804,31196543,333050015,4205937,4241993069,68237191,491113209,771028955,17256218,197076936,1048997,626663935,1118607685,73806067,34435988,11062596,199849930,325595959,7933584,164678455,268900672,155198866,119255517,1153503372,453184568,18617002,321205450,7139162,3630283617,61500792,50817206,311070485,376809614,351917072,0,291516193,241662220,22747674,64043688,46451117,37587752,4146138,13584298,62882705,524591,3320177,31702041,25254661,6067747,6815081,6294690,7682499,125080432,33609928,664626,2875648,76376878,10912454,1260416,8782375,7553602,1584812,707200127,4932720,20226003,20166009,67336455,9325795,96956262,130792654,1200647,1877378,15228121,4075725,479894,640193,26084942,7690650,473111,3415277,12767710,34327523,743611,17936104,2663247,589858,377186364,46041655,2678438,23274180,7948666,144721396,31482239,14348616,10842138,4246229,151945,15973758,2418155,712990,706696,8067452,1492820,135292,599932,1359471,184095633,54428,166474,435649,723809,2197245,2536716,4955992,251039,1033899,6778761,0,415106,268484,55488,100130,54372,1751529,836261,8554,47790,312562,1209172,22191,1238166,941312,2700496,65771,3443285,4975,35283,0,0,0,49330
"THA",358001495,384240674,3038053,1593635820,118947149,394030162,71299739,856106468,935907198,2796637,1234550325,38573677,534170071,814083867,696079542,49305008,95606560,108086669,767764,5930497910,357082858,417378951,110595431,161465,26245960,1931379,394399779,255728388,22455244,11693334,657026,51784157,41247893,322705,12914651,253594813,63325124,4523208,4751729566,514604620,90139280,46024729,8337819,49972492,71523296,17566065,446505312,285529778,1979842186,156672988,0,20037322,5347565,9341195,75923679,3205332,240313,7164186,1881309,5418494,38834386,1284399,31401219,891045,10132581,19051254,1438624,3279900,15568427,28507026,5797849,6067275,710373,16089018,16499143,3317421,1654176,76309004,4033115,92962407,14247190,25587778,46418184,60615013,2322948,4535683,57894196,91217684,15129112,313884,15429501,26648800,163481780,14392385,21685022,10017284,7138015,332201,4441788,71107903,12843422,73207501,45114447,532687,23454554,22247156,11669685,46408466,1306437,8212647,6735,52442960,448861,6007611,31232311,16208895,1318048,0,479473,301963,10980278,51144819,4611038,0,3247673,8774066,408772,156334,410177,772354,47605482,674644,146328,1019283,558628,819396,278462,3146,16687245,13514433,0,0,76678111,5922908,414947,2416393,1464557,1139387,1605,971652,1935768,0,0,0,0,0
"TUR",254312638,44350546,1475363,3514205174,64009519,296918204,23547207,778272304,644404431,146580,31469962,38382850,952201953,25494852,396877191,5934569,8068117,60874585,190249,984567435,75324012,27853189,212787495,237740,22704853,95337,54660457,193802940,1649337,131000313,8157740,149789883,158438047,50323,38635416,34134103,47429810,2583938,282645737,297606905,21374109,17434672,15966225,46508987,78321101,361945,138757626,355817523,80212552,91507801,41434085,0,1291441,3280350,6389374,6654405,38937,9553,54205564,802553,3764043,76053054,3898128,832748,984370,0,124412,64139862,44231,440369,3794856,205859280,8589662,128020,4145596,1836017,1119274,486898148,588898,158357932,1037998,16376978,90390633,350836194,33718570,7963,0,2056,22326,197446,133043,2404616,4533691,0,8451565,4730105,105091117,0,19803413,702969,0,610544896,264199557,697271,1572490,0,83425351,58438926,227395,907883,21341598,178970,28634,886045,196989,181905,372000,104283,547525,328638,122397732,76819884,0,0,3087572,28967,0,129214,34427,13318,365613,913607,0,226817,55856,2129412,0,0,129563,0,0,0,483271,91708,101929,0,68035,0,1281715,4040804,0,0,0,0,0,0
"ZWE",28661519,41045157,0,219954751,14513641,38262642,2278641,23342093,156912980,0,5981968,4889502,67809185,2943320,56319955,2340208,10924372,26241940,0,86971285,402262,8990526,6806106,0,81000,0,3161247,13894552,6950,547251,0,35299905,11752790,52792,33080,16611276,3432960,18181,149396925,0,1067720,5455991,3048,6435574,3174980,0,1651678,106268,0,8929363,2184828,1690706,0,1239555,91299,0,0,0,4531440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10443681,0,0,3371476,5987807,36318,0,0,612420,0,0,955810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16516349,0,0,0,0,26905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27645,0,0,0,0,0,0,0,0
"ARG",231672497,273373319,80053776,1141274061,154264811,558909335,37153593,425490663,205217654,15517048,82026592,12894533,618337944,75831962,621667356,9793480,13586092,168484957,159017741,1263172106,2062745,45890918,21726692,100304576,1119586845,1509701,102185876,97922670,505866662,3557590,50527087,44036640,61898053,59044,2626320,96289597,22421764,380519,543963306,96949221,5785376,326469287,7636004,43116750,59439518,186485151,13010489,25820330,59457633,42981937,114721566,97672077,2108683,0,9324475,194323605,2416010,247459,30526567,0,33770774,0,0,0,0,0,10587824,0,0,0,0,4787987,0,5601,0,753366,305801,0,2179289,4886454,0,0,0,12038109,15669821,0,0,0,4632707,0,0,5126848,1583944,0,0,1080,38617209,0,0,936040,0,0,0,5586806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77870,0,0,59919089,0,0,0,0,0,175758,5616716,262363,22780,172495572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGA",156575685,5397269,83708,1093890397,429259,1611578504,54282969,622544383,392410440,0,762890,9033961,503294382,12387273,642944216,0,4434024,291217028,0,5012937897,124586,61511,269810311,1670,125594201,113015,411255658,42188222,181847137,19479,0,0,1657575,0,990504,1475409,2891367,0,7437500,1085265,216194,821881,20166,687932,91247,0,71487,398787,26331069,93424509,689708,2993059,225369,34436685,0,1766,13787,0,366514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,2470,0,35076,0,0,14265,12654737,0,0,0,0,0,0,10202,0,0,0,0,0,0,0,12670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266653,0,0,0,0,0,0,0,0,1774170,16101743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",165526554,5522866,312347771,745426563,4251038,168451843,14275865,208625239,159338163,75350487,22574564,2585604,124380339,3589447,85037013,310389,4070483,10893806,1417045,7937387654,5968,12314045,4113332,3648931,329398667,25488080,381951013,6464656,178374761,614,37685834,10697,282493,0,24303,3581824,76169,5398,424485125,28125121,2999838,126201992,0,24637618,6245614,89094294,11781817,650472,120311553,95253619,16769443,19453175,1276990,21129271,413085,0,45604057,0,0,0,0,0,0,0,0,0,104568720,0,0,0,0,0,0,0,0,14836634,1915558,0,83050618,0,0,0,0,3333338,9232877,0,0,0,0,0,0,9029,8722106,0,0,0,2789000,0,0,0,0,0,0,683136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146739,0,0,3522540,0,0,0,0,0,703940,32688367,1535942,1397,24137010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",18280195,253157,913969,69087390,3083459,24904851,7193601,11279592,13365559,9018336,180532,376065,24599801,0,10380041,198085,0,12431640,0,552586250,173177,17165,10973681,4010,0,960722,11901177,14783893,48710,0,18831,0,2348102,626,3981887,86119,0,205143,92634353,31221312,0,4993871,246026,3555303,2275,62334,199576,2297379,1716656,17434983,132414,2086261,0,410473,0,279394,0,0,0,0,0,0,0,0,0,0,5952865,0,0,0,0,0,0,0,0,1896137,467,0,493663,34500,0,0,0,251481,282136,0,0,0,0,0,0,0,249903,0,0,0,0,0,0,0,0,0,0,97668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4783,0,0,5303,0,0,0,0,0,2788405,10678758,736641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",7347259,156741016,0,216734982,17773153,20581048,11341142,171491117,63041831,2713,251149176,6440414,36254962,1106763,33029040,1475005,267655,7835156,0,550218757,11684,16009464,13138591,0,471036,2162,23521402,11835209,276978,54176,4978,0,1045204,26652,19568,0,0,766855,43811762,869559,0,1039543,76797,3974189,90942,0,0,885072,5439133,13255172,283420,84436,18372,381350,0,5618,0,0,2032,0,71995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260824,39818,0,896,0,0,0,0,0,0,0,0,0,366047,0,0,0,0,0,0,46531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",201676408,22072563,0,676382103,24337091,139791399,2095280,896339878,40344602,0,80986,4437140,596569591,279260,62184967,38308,0,4652077,3289,24122932,1500402,170954,22148579,0,4851390,6688,8103945,9813695,0,486530,0,4917971,30106047,20968,527518,19730286,67921140,1524843,26342450,6640133,1871394,0,1713331,5598228,0,0,578145,20970247,3427590,11688415,20951954,18616697,57407,0,18018,9169983,0,0,0,0,2424942,0,0,0,0,0,69014,0,0,0,0,56318254,0,15843,0,608038,114268,0,8321,2947686,0,0,0,105016452,31999407,0,0,0,0,0,0,935982,0,0,0,175846,479548,0,0,562015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550542,751743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",19152213,1366282,0,23229000,1480232,1592886,398877,3038263,8264151,0,10095,532325,4754535,11160,3251878,113534,0,0,0,4171565,148479,192533,1388051,18210,0,6523,188080,2758782,32605,269880,58610,38888,133202,7065,177628,0,0,2215,2663330,1286208,366090,3599124,18867,616440,4686701,3138,94925,3250606,289929,1274661,2871,395623,16627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",58836609,8376040,0,190251311,20714822,27568008,1647159,117257832,127587811,0,22892171,3420093,126979216,5659301,65823919,3004686,262106,733240,0,512342446,762907,17832197,7211189,0,7317216,1109,24785172,3754939,215826,303300,0,16316547,3050867,18475,1613812,2678298,1041922,77810,59601693,3034165,3488357,2363159,13864,13879014,34674548,0,3441856,6407422,48776666,14434566,3016271,15907122,1152827,1124773,0,0,340213,0,5352629,0,0,0,0,0,0,0,8775,0,0,0,0,1751323,0,22901,0,91682,15542,0,75210,301327,818914,0,0,743453,5146208,0,0,0,0,0,0,1202475,0,0,0,359214,0,0,0,0,0,0,0,27797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153008,0,0,0,21035,1129296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",34097712,84638248,1463297,290382758,9868168,22761301,9861021,89810547,57246064,834,2666604,1815486,152714801,5317431,31809419,170955,8989000,3360682,0,54557656,854368,3260107,46807963,147613,0,0,8699789,11289794,609371,6892936,292979,15503702,143414465,124700,25615701,2983265,0,214049,39623011,10565505,678653,2131699,405788,2371716,15422873,662566,31901034,18978789,7930341,13260168,29171163,127923663,848132,7729453,11433751,167888,2358,1232,8580991,0,0,0,0,0,0,0,4813,0,0,0,0,0,0,8030,0,68962,14857,0,0,0,0,0,0,3445451,7454818,0,0,0,0,0,0,54858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7735287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",26889922,251890,862,12876100,99319,2587759,1529377,14816773,54038670,48406,1261270,229318,17105863,6544127,2384287,228238,163375,268944,0,90028574,89017551,9572095,222697,0,0,541,1673762,25806068,0,132386,0,787457,402562,0,144668,22771749,0,0,405626063,93486797,3697277,1542277,1868398,1544392,246488885,24082,1057,92815165,181630413,8544635,5935866,12345361,0,13444,0,66125,0,0,2610168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,168491,0,0,0,0,0,0,0,17435526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",1940213,0,37323,8108400,3532908,3647361,11921,52790622,50302108,5529,71179,2656412,45796320,205989,5306653,916503,195542,566296,0,440456978,11791,2692705,2338051,46972,0,93597,30222525,35613627,2444821,40349,227435,0,40466333,1461,439133,12996,0,0,15934036,0,4833,2100481,1954,58163368,107944,15901,20208,91754,1908956,16490613,313923,2224004,14581,211519,0,401644,25202,0,11116,0,0,0,0,0,0,0,59180,0,0,0,0,0,0,0,0,9662,870,0,853,0,0,0,0,0,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497534,0,0,0,0,0,0,142928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",142130659,1427064,21119,286350383,10776555,131697623,3466576,513968070,70771431,0,306069,8585736,252636496,9706631,237285060,18053,598540,27164296,0,218595205,155579,1535266,24054035,4303,0,0,18778706,12850285,3518,2018711,17298,1068500,58565732,0,10081544,14870020,0,44582,18337475,12329399,0,525864,1581286,426828,0,5699,87716,4307501,3061391,3565228,46400816,7626450,55594,9391257,4875425,0,0,0,5186173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473051,99957,0,170448,0,0,0,0,3261690,17229435,0,0,0,0,0,0,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",708288456,4602215,115522,131863127,437173,15148313,7384718,40973110,7433030,0,117561,16896,89925957,2150450,18955017,0,130287,16588205,0,280008576,605604,557710,5235776,0,0,0,32005938,2103613,0,74877,0,4197128,5023586,0,322158,0,0,0,88165615,9980121,1770849,14189,5454,480395,716648,0,0,0,0,926480,2417144,7957728,381909,395133,15478,0,0,0,1598130,0,0,0,0,0,0,0,78419,0,0,0,0,0,0,0,0,0,4960,0,0,0,0,0,0,0,392398,0,0,0,0,0,0,11083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",11510452,3228342,4456990,250579188,12250487,12709517,18891748,34146272,34142441,39116246,1494885,2676059,105137485,2785073,55047972,143161,0,9575098,724,1131333790,2734763,1433248,32644587,129769,570896,778586,68013374,34974294,1509763,633,4284044,0,2614592,304014,8364549,0,0,919268,24966999,24977453,0,18589670,628187,15082349,23859,626908,1144209,37833,0,29047499,3603585,1351099,599,1351251,0,2808033,18706696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203076,0,0,3908017,137789,0,0,0,0,726132,0,0,0,0,0,0,1748507,27807455,0,0,187973,0,0,0,0,0,0,0,1104563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774782,0,0,0,0,0,45463019,23359039,46519,0,97972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSK",135266170,136277266,8608863,2830720201,78998703,98513987,82711971,346126897,200495609,926290,13187447,20526067,541612325,7223500,238720745,2957090,9157720,15282026,1604768,140518432,2667905,24412906,569067364,2421228,0,226121,51456053,108751491,7551870,25508082,5202066,95052978,107435740,132137,432234165,28800486,0,5950522,113451894,28634216,4152254,18504862,8508209,43856357,21172780,3160825,129875374,72080150,21851576,110173536,87017666,140253511,1519871,16348606,8043707,4366913,815981,10693,20305776,0,0,0,0,0,0,0,1244778,0,0,0,0,0,0,376358,0,932276,348205,0,1551835,0,0,0,0,2399619,19150537,0,0,0,0,0,0,1284467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14023272,0,0,0,0,0,0,441051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",3589974,180432053,173682,21417729,392184,81652531,17061997,54778165,28091670,0,183149,287576,42828362,609,35715932,7800926,0,16449920,30316,0,578189,325031,1024062,110227,0,42777,120161259,7112801,3216405,277891,331070,5685902,4073031,1756,1072213,101992,0,0,126724260,0,0,39953932,23473,42696,0,545443,37031,68387,0,5573624,48229,1163796,82999,610357,298823,16048236,129143,19342,10092114,0,0,0,0,0,0,0,27048,0,0,0,0,0,0,0,0,562512,87920,0,537,0,0,0,0,25472483,269240,0,0,0,0,0,0,7345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",260511,0,0,193021,0,20574,0,767471,187544,0,0,0,1579264,0,2038377,0,0,134198,0,48350,22203,0,0,0,0,0,0,646627,0,0,0,245752,358651,0,0,0,0,0,71955,0,0,45461,0,0,31286,0,2431,2019571,18710,105814,43006,0,942,0,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279475,0,0,0,0,0,0,0,0,0,0,11304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",11079072,0,929340,28725897,2080887,31159119,14845651,15751445,35010766,193656,229119,1052425,18846502,6287,7231976,45268,0,715662,0,1890292587,33360,141979,381468,22127,0,1157122,28823546,2658651,0,1069,3461,0,38042,0,8336,0,0,1240,19599320,216901,0,2072196,12618,132148,21608,6913,0,414304,0,1412654,592933,11204,0,252001,0,2433473,1195831,0,491813,0,0,0,0,0,0,0,542405,0,0,0,0,0,0,0,0,2172816,9525,0,2181503,0,0,0,0,0,2511954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31903,0,0,0,0,0,0,226728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",545572742,7592766,950,1033069935,11074934,930025902,9067910,1934768458,310335269,0,605,5249340,2697960589,8731,719117511,0,0,233637288,49503866,2050634560,572806,0,337361247,0,225332195,0,47731339,8984827,31866,30188321,24698,4788259,20788059,975,121249481,13651,1346140,0,110270733,0,0,57979,0,85649,9194057,0,759293,303162,3089041,48276662,2195050,46808544,3104,0,609,2889462,0,0,90132491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,2943,0,0,17887,0,0,0,7699253,50079255,0,0,0,0,0,0,42642,0,0,0,0,2909617,0,0,96707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",3846995,0,4270,46839426,311141,1814424,3203310,17843466,22647738,9072,779,14829,17719281,1187098,5748485,0,0,997433,0,13880007,1217,429345,1154791,0,0,0,4478297,1905415,6051,6023,0,0,150764,0,27649,551171,0,0,44376901,1768277,51450,1923432,32122,0,30702,0,9080,6445489,946216,343187,10342,9562,51113,11120,4425,0,0,0,190280,0,0,0,0,0,0,0,0,0,0,4756563,0,0,0,3301,0,247510,1550,0,158562,0,3228,0,0,0,9601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",194029,4874141,0,1967916,42498,83815,0,69118,128943552,0,3540806,15166,496756,23347023,749164,40444668,2108,4101,0,43203329,8966,62232901,8428,0,0,0,12901687,1813,0,0,0,0,0,0,121153,0,0,0,35494540,832925,0,21579,0,0,7501,1982,194245,31682,483925,11024,29367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",47451215,2669140,0,368516829,3331147,19329487,1203407,33648017,121744330,0,633513,21671556,32365487,546406,67344081,431579,78819,2882840,0,144390505,4484887,274600,6236216,5153,0,0,6303771,15839457,0,0,0,212818,1840751,0,1729329,3990496,0,16646,63227045,4524797,578491,179451,1712972,13098439,30621,0,16587,1755033,5715534,1779400,14319262,668851,9133,0,205771,0,0,0,21431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771123,985274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLP",44095,0,0,285952,29411,92424,2406,125971538,825635,0,0,6902,218553,30493,68116,0,0,6011,0,1639238,2425,666229,154012,1687,0,21502,9273,35581,0,0,0,4493,0,0,0,0,0,0,464375,39761,0,0,0,0,0,0,8205,0,0,79561,0,19547,0,0,0,45896,0,0,274237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28472,0,0,2483715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUF",397470,0,8277,645036,16128,5579836,0,22909921,3273015,18329,0,695,3761219,0,11498385,0,0,845170,0,521941,0,0,2635,0,0,0,31266,722520,15104,0,276785,0,0,0,0,0,0,0,160870,190724,0,0,0,0,1694,0,0,0,0,12914,9850,0,0,25992,0,25179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6980019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",1006492826,18377966,505984,818080772,9400240,665455642,22692146,1223698249,253651886,0,7375817,1015876,1494008168,14917101,1072326624,8991593,181115417,186198754,0,236784738,137870813,9493473,148979246,60758,0,35054,53574322,39816881,315536,2206438,2063669,52716,569907647,17239,35263462,116111396,0,60085,2538350262,933431103,131841786,15742472,334613,12110698,126914545,272427,371695383,343329,455216374,377407224,136139814,82933696,454007,780839,22130,594537,13438,43562,7813307,0,0,0,0,0,0,0,20952,0,0,0,0,0,0,98023,0,31444,3587,0,1613,0,0,0,0,38375,22324750,0,0,0,0,0,0,224326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",1578640,29771,147592,69188316,852146,3325491,183134,12903645,155563348,136141,1083492,313471,7997800,231216,22348452,3009714,0,28105,0,553949427,15609,433587,1897468,6653,12097510,14699705,123951252,1028477,6267,2868106,0,0,500803,2750,294583,0,0,42730,14926633,185548,2510,879983,42835,89225714,12940,58720,24179,37051,223859,24067609,8948,21810,0,14479,85356,8436011,96452,2884,1766,0,0,0,0,0,0,0,204740,0,0,0,0,0,0,460,0,493907,230301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40133,1814,0,0,0,0,0,0,0,0,0,0,26896614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986516,0,0,48372,0,0,0,0,0,11994,54349,1961466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",4631787,42880296,0,20838550,194396,4296111,3238,7006398,10607258,0,87598,14663,7326116,12441594,15018129,876421,4533167,326539,0,5919944,8999282,1363733,600991,11398,0,0,214147,112945,28317,352235,153605,159733,8891467,3611,42687,52495362,61106188,0,22291754,17589343,8011040,708,6317,0,10243524,8656,15137,10333250,7617428,225115,28802760,26485761,8201,0,154439,0,0,6053,5317571,0,5699191,0,0,0,0,0,5965,0,0,6119,0,608065,4581941,5333,0,0,0,0,0,0,0,0,0,10887121,1198503,0,0,0,0,0,0,1856222,0,0,0,13740927,2521532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
