"","AUS","AUT","BEL","BRA","CAN","CHE","COL","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","HKG","IDN","IRL","ISL","ITA","JPN","KOR","KWT","LKA","MAR","MLT","MYS","NCL","NLD","NOR","NPL","NZL","PAK","PER","PHL","POL","PRT","SAU","SGP","SWE","THA","TUR","USA","YUG","ARG","CMR","CUB","DZA","JAM","JOR","KEN","MAC","SEN","SLV","TTO","TUN","URY","ECU","EGY","ETH","HND","LBY","MDG","PAN","VEN","BHR","CYP","OMN","QAT","SYC","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHS","BLZ","BMU","BOL","BRB","CHL","CHN","CIV","COD","COG","CRI","CSK","DDR","DOM","GAB","GHA","GIB","GNB","GTM","GUF","GUY","HTI","HUN","IND","IRN","IRQ","ISR","KNA","LBN","LBR","MEX","MRT","MUS","MWI","NGA","NIC","PRK","PRY","ROU","SDN","SLE","SUN","SUR","SYR","TZA","VNM","ZAF","ZMB","ZWE","AFG","CAF","DJI","FJI","FLK","GIN","GMB","GRL","KHM","KIR","LAO","MLI","MMR","MOZ","NER","PNG","RWA","SHN","SOM","TGO","UGA","WSM","YMD","BDI","GNQ","MNG","SPM","TCD"
"MAR",1342000,6126000,139832000,54922000,9476000,27549000,616000,284501000,16470000,213880000,20210000,773884000,138198000,1287000,19594000,97000,35742000,6379000,745000,160872000,85072000,655000,2316000,6154000,0,347000,610000,870000,126538000,20856000,0,14000,152000,13000,89000,47725000,34890000,29181000,878000,29241000,179000,17408000,39030000,36573000,1000,3320000,4157000,47000,3000,1386000,1000,0,3272000,123000,203000,14585000,392000,19000,659000,0,48000,5631000,5000,0,6000,12000,124000,0,450000,1000,0,0,227000,335000,284000,10894000,16262000,0,0,61000,251000,5000,84000,13770000,10380000,862000,3546000,143000,15409000,10053000,0,3019000,15000,3147000,4000,0,163000,66000,1000,5450000,98433000,9406000,368000,0,7000,4125000,404000,35655000,3031000,512000,0,9477000,0,0,0,57281000,170000,296000,121063000,31000,2739000,0,0,0,0,0,0,261000,50000,25000,0,1624000,341000,2000,0,7000,0,177000,0,0,196000,0,0,0,0,713000,0,0,0,0,0,0,0,0
"MLT",1363000,2243000,26011000,0,1713000,1709000,39000,134616000,4413000,820000,2387000,16933000,93921000,7000,299000,28000,0,1248000,37000,34360000,1245000,0,1389000,6000,150000,0,17000,5000,25786000,1581000,0,154000,17000,59000,22000,12215000,197000,1671000,85000,15593000,99000,3446000,7966000,985000,134000,27000,0,695000,89000,122000,2000,0,16000,3000,9000,69000,15000,21000,169000,0,0,39096000,10000,1000,73000,109000,147000,261000,348000,0,0,0,1142000,0,3000,1000,336000,1000,0,46000,0,1000,135000,0,182000,0,0,2000,4287000,535000,3000,0,0,0,0,0,1000,4000,0,445000,50000,585000,73000,4645000,0,227000,0,25000,0,3000,5000,81000,0,0,3000,1000,9000,0,58000,0,72000,656000,0,287000,0,15000,0,4000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207000,0,124000,0,27000,0,0,0,0,0
"MYS",216663000,64928000,122322000,7431000,71245000,31124000,12360000,757312000,60823000,143684000,16103000,472436000,429683000,216000,14696000,211991000,35851000,23720000,228000,284955000,3470856000,471465000,14599000,11961000,6576000,1113000,0,625000,267048000,27404000,324000,44177000,164573000,301000,162104000,9040000,26409000,57875000,3326420000,71668000,165906000,18930000,2659747000,41276000,2829000,4550000,1688000,13872000,297000,2775000,16868000,160000,551000,36000,1454000,3237000,6468000,3752000,1465000,199000,75000,1819000,990000,245000,8081000,4249000,1824000,6983000,5268000,1174000,16000,0,36797000,0,61000,42548000,13309000,0,0,654000,55000,236000,3030000,216541000,2e+05,19000,0,143000,34222000,13215000,212000,0,9000,18000,0,231000,35000,29000,0,6524000,285319000,22527000,51052000,240000,2e+05,1134000,173000,7318000,0,6698000,811000,20961000,0,19765000,79000,16476000,7000,33000,289842000,0,6250000,1504000,66000,231000,162000,17000,817000,12000,0,1019000,0,0,0,1000,125000,0,0,0,19920000,8512000,0,2482000,0,0,39000,0,17000,20000,13099000,0,0,123000,0,0
"NCL",1240000,4792000,74000,0,223000,23000,105000,60398000,2000,1217000,9698000,242498000,625000,20000,4000,314000,30000,9000,0,17908000,139802000,237000,0,2000,39000,0,1000,659000,16000,0,0,158000,1000,0,0,0,992000,264000,8000,14056000,5000,0,54052000,0,0,0,0,2000,0,0,0,0,0,0,1000,0,0,0,0,563000,0,0,0,0,0,1000,0,0,0,10000,0,0,0,0,5000,0,0,0,0,0,0,0,103000,25000,61000,0,0,0,0,0,0,9000,0,0,0,0,6000,0,0,0,0,0,0,0,0,2000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,5000,33000,0,0,0,0,0,1071000,0,0,0,0,0,99000,0,0,0,0,0,17000,0,0,0,0,0,0
"NLD",222025000,658646000,11720872000,263322000,224750000,1470327000,42323000,18422717000,1369344000,732879000,395837000,7182555000,7676780000,41521000,407077000,164523000,115501000,315005000,91159000,4134602000,379501000,86764000,100155000,46748000,100166000,27110000,59130000,12234000,0,572418000,565000,61339000,99800000,25465000,118919000,135268000,266713000,780228000,243483000,1243464000,228332000,179049000,2033211000,240642000,232621000,51918000,41428000,295146000,18347000,49451000,61787000,690000,23220000,17200000,23142000,87823000,15103000,23333000,98936000,16414000,15598000,126959000,16001000,14300000,182970000,46303000,25244000,91022000,38796000,1434000,72985000,4122000,168869000,31249000,13755000,29535000,34820000,12220000,4926000,26552000,14761000,4706000,42832000,136507000,115907000,23212000,11799000,10524000,129184000,190814000,14780000,21844000,19098000,16239000,12973000,12078000,3414000,9142000,9397000,145191000,204780000,317006000,233326000,225904000,3600000,67631000,39368000,92518000,21969000,2588000,18465000,892135000,14408000,4939000,10072000,121941000,57066000,14450000,470141000,43438000,104041000,78318000,10747000,245670000,11818000,7989000,2044000,2894000,7355000,1284000,15000,2837000,6166000,15020000,286000,266000,655000,3323000,12444000,18704000,10140000,1671000,4229000,15000,7452000,42396000,10276000,314000,32182000,5818000,242000,69000,177000,159000
"NOR",46494000,82591000,599316000,92838000,68718000,136751000,7930000,2296031000,825080000,95568000,327935000,1268176000,3135012000,4733000,92503000,13636000,12769000,46711000,74978000,281013000,185752000,32471000,9490000,8154000,4748000,2056000,16928000,1125000,1070598000,0,8000,8419000,18057000,3986000,5509000,28381000,44568000,25277000,76475000,1739488000,32228000,22260000,2726808000,62439000,23613000,1507000,2051000,10052000,3949000,1733000,3780000,71000,3204000,70000,6977000,1231000,2125000,42202000,2818000,1525000,117000,6153000,4311000,1225000,20339000,5951000,2740000,1267000,24604000,70000,6499000,15000,13811000,4092000,157000,5230000,3902000,4892000,1256000,732000,695000,2499000,12035000,71488000,4030000,4567000,4633000,776000,26317000,21786000,5382000,1643000,3472000,118000,981000,812000,147000,279000,238000,19784000,28799000,21920000,34897000,19617000,1092000,12917000,6980000,33741000,96000,67000,1539000,189709000,31000,95000,191000,9287000,10927000,182000,112180000,459000,4438000,9997000,1670000,97444000,3919000,514000,231000,12000,177000,149000,0,3778000,779000,10759000,1490000,6000,30000,414000,21875000,5375000,183000,881000,361000,0,35000,196000,237000,5000,1153000,243000,28000,4000,8000,80000
"NPL",189000,71000,413000,0,1762000,508000,0,9068000,76000,1369000,11000,1341000,5235000,0,75000,927000,0,13000,0,1791000,8498000,275000,10000,423000,698000,0,390000,3000,167000,80000,0,58000,3940000,0,119000,3041000,5000,37000,3435000,161000,11000,0,5820000,31000,1000,214000,0,0,0,0,0,0,0,0,0,28000,12000,0,3494000,0,0,0,319000,0,0,0,3068000,12000,0,66000,0,0,9000,0,0,5292000,1913000,0,0,0,0,0,0,0,471000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31000,0,7000,0,0,0,0,4765000,0,0,0,0,0,0,1e+06,0,0,13266000,0,0,0,0,0,0,0,0,0,0,109000,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
"NZL",673899000,11968000,108588000,1151000,125638000,13262000,142000,161786000,19398000,30697000,11057000,169223000,963706000,6825000,48313000,90781000,75467000,18291000,4106000,121729000,828352000,75687000,8451000,7423000,3496000,5282000,107470000,47405000,35513000,9799000,721000,2993000,18022000,25818000,84691000,11223000,6958000,52849000,88264000,15731000,37651000,0,782279000,22103000,9905000,170000,0,1106000,4870000,7252000,3016000,7803000,6000,4342000,14284000,2672000,483000,1231000,3441000,34000,1000,1121000,0,7859000,14163000,7272000,6914000,7005000,3312000,246000,12000,0,15319000,6000,0,3022000,614000,808000,1000,31389000,0,5659000,1105000,159652000,1127000,7000,0,3254000,13358000,7768000,2641000,0,56000,201000,0,953000,356000,92000,163000,2490000,15409000,177081000,53861000,498000,723000,285000,6000,34967000,48000,11299000,1837000,10408000,35000,3000,0,363000,61000,15000,224197000,46000,2303000,176000,181000,13459000,6000,36000,9000,0,0,95661000,2000,0,12000,18000,10000,10277000,0,0,614000,779000,0,41987000,0,0,0,0,0,20422000,701000,0,0,0,13000,0
"PAK",20478000,9181000,34168000,10230000,13157000,24393000,232000,184398000,18845000,19690000,3375000,94447000,134834000,150000,6395000,170236000,14303000,4845000,140000,94540000,211570000,18908000,55937000,30053000,588000,2047000,9549000,123000,46035000,6178000,45000,2726000,5000,6789000,13893000,13126000,9899000,152939000,42783000,20998000,18564000,13036000,137528000,4907000,812000,10205000,0,1883000,152000,1016000,856000,4000,5987000,19000,54000,821000,69000,102000,1497000,811000,42000,3459000,838000,328000,238000,25293000,853000,2204000,8947000,863000,0,181000,122392000,523000,5492000,54607000,4864000,9000,0,711000,27000,1000,96000,221206000,1772000,306000,1551000,11000,10322000,1971000,40000,0,36000,14000,23000,87000,16000,60000,257000,21383000,70711000,199054000,31682000,0,6000,1254000,4501000,9739000,263000,8258000,310000,2056000,4000,402000,3000,8070000,15078000,70000,42644000,24000,9685000,1171000,6000,4973000,244000,0,22997000,6000,851000,230000,0,0,0,13000,2000,0,44000,18000,831000,0,94000,3000,37000,0,6413000,973000,39000,31000,21922000,22000,0,25000,0,1443000
"PER",2085000,2e+07,89930000,130436000,78052000,24565000,132279000,166612000,7245000,22088000,2198000,81161000,166900000,67000,151000,2951000,76000,924000,3000,168870000,475167000,53548000,3000,99000,39000,143000,1350000,71000,27875000,2358000,0,771000,273000,169000,1847000,2688000,7920000,268000,652000,44177000,8e+05,125000,1396554000,175661000,69564000,26000,25161000,1838000,158000,537000,85000,0,0,1772000,3658000,0,10774000,79048000,115000,0,725000,3000,619000,3354000,52742000,5000,0,0,17000,0,0,0,0,0,0,0,7310000,22510000,0,102000,78610000,46000,54906000,20191000,6090000,153000,493000,5804000,4027000,326000,540000,7000,41000,0,0,1037000,330000,25000,31000,4127000,2553000,18458000,1358000,1397000,64000,5000,64000,83185000,0,0,0,1233000,358000,0,358000,17335000,0,0,15769000,289000,334000,0,0,14225000,0,0,0,0,0,602000,0,39000,0,0,0,0,0,0,0,0,0,1012000,0,0,0,0,0,838000,0,0,0,0,0,0
"PHL",92704000,28136000,41695000,15999000,86711000,18082000,716000,410181000,22373000,53263000,12378000,205372000,228557000,266000,3990000,186300000,90065000,9717000,368000,88029000,1951424000,271484000,14052000,6189000,11219000,338000,106794000,687000,139916000,13875000,70000,6405000,5698000,73000,0,3695000,12601000,33475000,74873000,31254000,78415000,253000,1887697000,2561000,1832000,326000,82000,20838000,118000,167000,165000,357000,107000,9000,201000,143000,35000,105000,2542000,44000,221000,4750000,139000,591000,1442000,3220000,465000,1127000,2811000,99000,0,0,81000,196000,23000,12218000,0,774000,24000,1334000,3000,320000,1184000,44987000,83000,1624000,0,47000,0,4744000,205000,184000,0,6000,0,120000,25000,0,103000,16000,16198000,4811000,49122000,3122000,144000,2798000,12160000,17269000,0,3246000,2000,2517000,287000,4473000,8000,4176000,114000,21000,189289000,448000,260000,378000,5872000,651000,19000,0,0,4000,74000,1244000,0,0,0,1000,2949000,57000,0,0,39000,3347000,0,2857000,0,0,171000,383000,0,12000,0,0,0,0,0,0
"POL",19166000,240216000,191113000,83924000,61619000,143405000,17883000,1692827000,160552000,102969000,267700000,583671000,412800000,203000,73414000,8221000,23403000,61512000,4834000,574108000,61570000,2285000,23226000,1179000,52183000,10023000,21156000,86000,165039000,144438000,12000,3118000,36551000,28168000,6392000,0,16576000,37873000,21895000,277624000,12695000,31619000,454508000,301707000,22195000,2775000,12766000,50893000,372000,7728000,2468000,571000,2431000,34000,972000,2.2e+07,9988000,5353000,22454000,3119000,330000,39611000,426000,1420000,6581000,1830000,5256000,14173000,432000,1000,1365000,6659000,577000,109000,87000,4842000,72774000,0,14000,1948000,95000,1269000,0,26352000,4389000,118000,0,417000,283604000,343743000,65000,0,1981000,689000,0,371000,53000,0,0,29438000,23604000,61431000,6259000,0,147000,30573000,1437000,2410000,0,0,0,9543000,182000,11925000,116000,114173000,27184000,242000,1093910000,22000,11817000,5442000,17425000,5000,0,0,1110000,33000,0,106000,0,0,1286000,68000,0,0,32000,21000,256000,0,0,0,0,0,0,879000,29000,0,0,7000,0,1614000,0,0
"PRT",17977000,64776000,157573000,47542000,44188000,107145000,2009000,657079000,88086000,162750000,75128000,509970000,763379000,1789000,16523000,8321000,724000,33498000,24724000,298129000,54435000,1464000,1981000,99000,22466000,2549000,3681000,411000,211152000,98836000,715000,4032000,2599000,1232000,1061000,983000,0,17592000,5513000,228551000,4400000,6659000,274743000,9328000,6736000,2647000,8857000,8299000,249000,1890000,458000,2434000,1556000,247000,3020000,16206000,309000,2039000,1364000,1000,480000,2449000,0,506000,15860000,376000,5557000,15000,1375000,22000,177917000,31000,1643000,168000,148000,111000,5892000,189000,280000,2726000,5558000,550000,5397000,3072000,1478000,3890000,640000,604000,4446000,5622000,784000,289000,158000,891000,60615000,1432000,36000,2000,249000,5613000,7502000,652000,33936000,16064000,87000,8060000,1392000,3900000,10000,136000,911000,12327000,130000,0,3563000,13233000,62000,248000,51566000,218000,10064000,93000,0,26599000,575000,3486000,157000,612000,1000,48000,1000,483000,54000,149000,0,88000,0,90000,0,37278000,13000,54000,43000,0,93000,420000,9000,2000,1976000,159000,0,0,0,0
"SAU",939143000,458641000,4142171000,2176697000,2091131000,151451000,4000,5410656000,191273000,3225399000,785593000,8716894000,4139806000,35343000,779234000,9870000,964747000,248971000,0,6417224000,19538142000,3276618000,24204000,213464000,318560000,0,664667000,0,4359153000,237666000,0,310556000,513215000,0,825406000,0,286824000,0,2997616000,1697979000,932821000,76708000,13276862000,142000,338712000,307000,96000,27951000,0,407760000,454078000,1077000,5977000,1000,965155000,304583000,0,0,47179000,870000,0,125000,259000,266596000,6000,2009112000,12319000,462000,9295000,0,4000,0,36552000,8000,601000,124212000,0,160272000,0,0,0,0,9000,7430000,73475000,140000,0,7000,0,2000,0,0,29000,0,0,0,3000,2000,0,0,326826000,4672000,21926000,0,0,418571000,143381000,0,4000,0,2000,269000,0,222000,0,54471000,115387000,18000,0,0,11441000,2781000,12000,159000,87809000,0,70000,5000,579000,0,0,0,15000,0,0,0,5000,28000,28000,4016000,118000,13000,0,0,19555000,0,2000,0,64303000,0,0,19000,0,0
"SGP",595041000,25143000,72924000,92412000,127231000,52391000,7330000,541520000,27285000,32701000,13118000,330135000,402071000,621000,12718000,1117200000,936270000,13448000,644000,144048000,1492512000,159137000,61521000,92021000,2803000,4911000,1251814000,42565000,200426000,29567000,2190000,342692000,98141000,10698000,131941000,961000,8810000,330854000,0,60407000,596668000,18757000,1948062000,2969000,50739000,0,4948000,20821000,273000,6468000,16855000,653000,9000,312000,3717000,730000,3247000,3528000,47586000,5478000,231000,1640000,3007000,150000,3987000,38304000,3842000,40668000,18676000,7239000,0,0,283356000,0,18000,249562000,18179000,0,0,0,0,117000,13463000,307527000,4137000,0,0,1196000,6629000,5851000,159000,0,3816000,0,0,1037000,129000,0,0,10497000,449507000,93911000,61603000,11588000,1229000,15910000,211665000,43269000,0,13761000,1373000,271532000,24000,33280000,179000,30880000,10170000,0,236939000,0,8786000,6794000,49716000,0,3106000,0,16944000,89000,0,63047000,0,0,0,20000,35808000,0,18515000,0,66683000,4537000,0,134828000,0,0,0,0,785000,6842000,10038000,0,0,114000,3000,0
"SWE",351759000,443235000,1044262000,166222000,354754000,706987000,53393000,3961118000,2486038000,383079000,1883190000,2068174000,3363308000,2196000,182024000,70127000,52161000,178471000,71441000,1230217000,462603000,48561000,85112000,27137000,65703000,11719000,133493000,1853000,1395169000,2793847000,76000,66786000,30613000,87293000,70205000,114773000,211887000,542286000,229034000,0,101739000,57709000,1697233000,302106000,139882000,7886000,51884000,122374000,1375000,15960000,36198000,277000,2263000,3329000,13964000,37794000,7536000,18256000,94430000,10771000,3225000,82585000,11436000,6489000,68269000,9512000,14041000,11090000,13420000,196000,65515000,1831000,65980000,2652000,460000,18033000,39572000,387000,102000,2646000,16009000,615000,28194000,82568000,9481000,11178000,412000,12363000,110891000,157283000,2187000,939000,12034000,9530000,6667000,5470000,347000,706000,3111000,1000,105771000,188036000,362350000,74231000,504000,30532000,6529000,178224000,2289000,845000,6929000,120088000,410000,7644000,4964000,88667000,8354000,2360000,420234000,766000,60255000,35741000,51022000,182435000,27738000,1678000,2119000,284000,198000,1687000,44000,7008000,931000,2390000,23000,120000,1517000,778000,6915000,17142000,483000,7e+05,582000,25000,4330000,504000,1458000,68000,3834000,253000,5000,146000,0,36000
"THA",68867000,18620000,107181000,10932000,21113000,114648000,23000,608764000,41328000,29520000,10903000,231632000,120617000,53000,1706000,316384000,288073000,13843000,262000,150258000,1119489000,91064000,31105000,10036000,32142000,151000,319749000,488000,474026000,11777000,243000,11138000,12168000,10000,22010000,225000,10461000,116209000,476358000,29599000,0,3000,862144000,6971000,132000,174000,11364000,130000,80000,1677000,2398000,1566000,61982000,0,274000,1877000,162000,0,5883000,3364000,29000,12000,1195000,234000,201000,8855000,2276000,2895000,5041000,1228000,20111000,0,112284000,95000,5000,10804000,11000,97000,0,1078000,0,293000,2804000,123445000,696000,73000,1040000,68000,1458000,692000,22000,128000,93000,157000,0,357000,33000,9000,24000,110000,21119000,103351000,38292000,4644000,271000,3920000,1324000,309000,0,185000,3000,72644000,2000,876000,2000,15031000,356000,0,164175000,20000,9637000,9297000,12183000,970000,1000,116000,1064000,71000,4132000,1677000,0,0,2931000,7000,10291000,23000,41537000,16000,2682000,4206000,125000,1691000,186000,0,612000,802000,5000,26000,14619000,0,0,0,0,0
"TUR",4389000,60844000,74243000,689000,9628000,67737000,250000,600828000,14993000,42363000,11002000,213402000,106204000,156000,11836000,1172000,3507000,6347000,126000,281761000,39426000,14845000,44494000,1696000,6430000,785000,802000,65000,88651000,7138000,0,474000,6760000,0,619000,69572000,36453000,92482000,2105000,40205000,2171000,0,205472000,30915000,1742000,1373000,528000,7212000,21000,30241000,271000,0,355000,0,478000,30133000,11000,7000,16681000,173000,1000,53272000,44000,8000,473000,2705000,5000,123000,1662000,1000,0,9653000,0,0,13000,252000,12386000,0,0,10000,134000,19000,539000,2019000,0,0,0,5000,72054000,21274000,0,0,1000,0,0,9000,6000,0,0,41122000,3419000,84820000,134787000,7874000,0,72940000,142000,1503000,0,0,5000,351000,0,0,0,70953000,2376000,0,168963000,0,102920000,130000,0,299000,0,0,129000,2000,0,1000,0,0,0,39000,0,0,0,0,0,251000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",4308264000,825935000,5479873000,4630619000,40439732000,2446420000,1666891000,13523449000,1142191000,4405975000,908923000,10582539000,12142646000,78710000,484313000,2649121000,1409159000,973725000,93917000,6904583000,24447548000,4875450000,949841000,90347000,271415000,56594000,1611644000,137405000,6497522000,1347131000,5208000,765812000,751856000,944839000,1956545000,283739000,1015667000,6033379000,3383235000,2436635000,1571897000,428921000,0,1110139000,2379183000,84382000,0,749111000,371479000,205951000,164640000,22206000,45136000,244178000,850543000,206206000,161067000,861970000,937567000,55498000,421868000,426167000,32900000,488191000,5140526000,189224000,71551000,78012000,155921000,2457000,105146000,6777000,979420000,13347000,32324000,287172000,158342000,383572000,44266000,1484174000,157903000,174993000,1331104000,3744699000,180384000,147682000,19272000,545930000,181225000,475623000,638755000,30791000,119919000,3447000,20466000,520363000,19414000,88199000,293635000,662000,1667815000,21808000,716387000,1551114000,49483000,282154000,120247000,14879786000,19170000,19736000,14966000,1121748000,262942000,0,96197000,716340000,114886000,16797000,1505867000,126401000,233789000,75507000,994000,2481055000,95057000,15523000,9666000,2775000,10769000,38628000,0,29260000,3415000,9619000,25822000,2572000,99000,5026000,26222000,67318000,9046000,33604000,4447000,0,53831000,17262000,10843000,5414000,5226000,2443000,0,0,263000,1540000
"YUG",11707000,198564000,67936000,2038000,28189000,103626000,6597000,1579749000,22019000,20775000,20629000,278373000,98542000,161000,158874000,2723000,19351000,4268000,261000,891319000,40948000,4804000,27702000,7129000,23496000,2799000,11560000,164000,195747000,16244000,786000,1739000,24623000,709000,58000,81107000,15478000,4.4e+07,2597000,86622000,4457000,76333000,475225000,0,2630000,339000,8917000,65823000,914000,13273000,1684000,0,160000,26000,93000,23691000,113000,5626000,106170000,17231000,429000,81751000,334000,175000,3918000,271000,6175000,2466000,2484000,1000,30593000,62199000,0,75000,23000,15462000,108864000,0,0,217000,103000,51000,6753000,112446000,1998000,99000,17000,497000,474216000,356606000,238000,293000,8785000,0,1754000,57000,11000,0,2000,230927000,33289000,88675000,331809000,18624000,97000,29429000,395000,8591000,0,2324000,16000,115209000,25000,7923000,15000,155394000,18161000,47000,2694633000,2000,28720000,8526000,967000,7000,14178000,0,3171000,155000,253000,20000,0,1423000,819000,34000,92000,0,0,324000,9230000,4287000,44000,177000,99000,0,4607000,45000,12614000,0,324000,146000,0,2921000,0,0
"ARG",7668000,24132000,155426000,840693000,30903000,69544000,43651000,737723000,137890000,244041000,16772000,296231000,259548000,1730000,51992000,26857000,8845000,5169000,40000,496347000,287198000,12862000,4599000,11152000,5149000,2503000,8337000,193000,431926000,25081000,0,889000,29207000,105708000,1100000,78758000,57212000,30867000,6958000,54102000,7260000,6924000,787323000,23195000,0,589000,66316000,54543000,3253000,852000,75000,0,13271000,2226000,3317000,12915000,174063000,13086000,24611000,16000,2880000,1072000,2499000,2325000,85159000,0,4518000,133000,69000,0,26905000,1000,64000,1084000,90000,0,7610000,1082000,111000,2477000,133423000,1257000,217624000,188792000,3617000,3357000,336000,6628000,25116000,35425000,1220000,2484000,1069000,3000,710000,3197000,310000,371000,332000,5830000,22185000,86300000,11517000,49487000,237000,10142000,18000,121270000,52000,46000,23000,17524000,3494000,4680000,189393000,23300000,19770000,1045000,1614166000,107000,8388000,1000,2714000,15569000,34000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",2000,7896000,36643000,0,591000,12204000,66000,187308000,4643000,52596000,1808000,398158000,22753000,785000,10031000,895000,123000,336000,0,124146000,43833000,410000,0,0,2088000,1224000,53000,57000,213469000,73000,0,667000,5000,66000,0,302000,6600000,6000,0,1011000,1487000,5000,636231000,20418000,520000,0,0,0,157000,0,3000,0,6061000,0,0,1081000,0,0,2671000,0,0,0,9000,0,0,0,0,0,0,0,9000,0,0,59000,959000,0,0,0,0,0,0,0,0,1522000,14689000,176000,0,0,0,127000,0,0,262000,0,0,0,19000,0,0,0,0,0,0,467000,0,397000,14000,1179000,8000,0,0,4817000,0,0,0,0,0,0,5006000,0,0,0,0,0,5000,0,0,0,0,0,0,853000,0,0,0,0,0,29000,0,0,2000,0,0,0,0,255000,0,0,0,10000,810000,0,0,11718000
"CUB",496000,5225000,39300000,0,134502000,7205000,936000,80460000,3116000,86281000,52888000,66235000,60851000,69000,449000,412000,39906000,2999000,0,47416000,187412000,0,163000,0,0,53000,8471000,184000,71965000,551000,0,1000,0,0,0,45663000,22379000,2851000,2474000,1319000,0,18000,0,7269000,302000,4000,0,116575000,905000,126000,0,4000,5000,0,266000,9487000,0,166000,28461000,809000,0,35134000,4000,133000,6938000,51000,124000,0,0,0,46344000,0,0,0,0,0,147571000,0,0,1249000,0,3268000,0,161453000,0,0,0,74000,93798000,24042000,2000,0,0,0,0,0,903000,0,0,6746000,1659000,0,151683000,0,1177000,0,0,1024000,0,0,0,0,177000,2370000,0,16105000,0,0,3007479000,0,58421000,0,0,0,0,0,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,143078000,207638000,83277000,10325000,40250000,0,2327538000,2912000,549471000,8242000,1719923000,251459000,70000,1839000,255000,3000,5530000,1000,7.09e+08,451466000,0,3000,0,0,11000,2000,648000,402931000,692000,0,0,3000,0,0,3730000,16972000,91000,1000,11298000,20586000,299000,6859271000,117703000,5994000,136000,423000,0,0,7000,0,0,16675000,0,1000,5870000,0,0,10000,0,0,1809000,6000,678000,1000,0,928000,0,0,0,0,3324000,0,7011000,113000,0,1854000,0,0,0,0,0,0,0,58404000,0,0,2000,3147000,69145000,0,0,0,0,185000,0,26000,0,0,6689000,11000,0,154000,0,0,141000,542000,0,55000,0,0,0,1000,2743000,39986000,114036000,1000,0,93961000,0,590000,0,0,0,0,0,0,43000,0,0,0,0,0,4000,0,0,0,1557000,0,7976000,3000,0,0,0,0,0,0,0,551000,0,0,0,0,0
"JAM",2750000,474000,2165000,2000,42669000,460000,76000,8287000,325000,58355000,393000,2444000,222231000,2794000,60000,18000,0,455000,19000,674000,6639000,2000,14000,39000,3112000,145000,187000,2000,2794000,88789000,740000,3173000,0,10000,1000,0,40000,155000,22000,20903000,11000,36000,415415000,1153000,3000,0,288000,0,80000,0,24000,3000,0,50000,38214000,5000,1152000,198000,6000,0,1408000,0,277000,658000,13840000,18138000,21000,16000,1000,0,0,0,3000,0,9000,0,0,1477000,1657000,11925000,0,10569000,0,0,0,6000,0,91000,11000,0,1413000,0,43334000,2000,0,157000,321000,3603000,919000,0,0,0,0,0,3404000,13000,29000,243000,0,0,7000,1000,2000,0,611000,0,0,0,49856000,1744000,5000,1000,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0
"JOR",910000,6000,4586000,0,15000,22000,0,3508000,20000,512000,40000,437000,14302000,0,133000,2000,6533000,8000,0,10554000,21751000,63000,42347000,10000,2000,0,4518000,1000,383000,0,0,0,8121000,0,2043000,10554000,11000,122084000,70000,16000,6000,19878000,2469000,17610000,0,0,0,490000,8000,0,1000,0,0,0,0,1000,0,0,530000,0,0,34000,0,5000,0,150000,2000,342000,7906000,0,0,0,5690000,0,0,4702000,3757000,0,0,0,0,0,0,7068000,0,0,0,0,2834000,0,0,0,0,0,0,0,0,0,0,0,26870000,138000,94787000,0,0,7297000,0,0,0,0,0,12000,0,0,0,15795000,1428000,0,0,0,45530000,2462000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,864000,0,0,0,0,0
