"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JPN","KEN","KOR","KWT","LBN","LKA","MAR","MLI","MRT","MYS","NER","NLD","NOR","NZL","PAK","PHL","POL","PRT","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUR","TZA","USA","VEN","YUG","ZMB","ARG","CHL","COD","COG","COL","LBR","MLT","MUS","MWI","NGA","PAN","SEN","TTO","ETH","HND","LBY","NIC","PER","JOR","SDN","AGO","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CIV","CMR","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIB","GIN","GLP","GMB","GUF","GUY","HTI","JAM","KHM","KIR","KNA","MDG","MEX","MOZ","NCL","PNG","PRY","QAT","SLE","SLV","SUR","TUN","UGA","URY","VNM","ZAF","AFG","ALB","ARE","BEN","CAF","CUB","FJI","FLK","GAB","LAO","MAC","MMR","MNG","NPL","OMN","PRK","RWA","SOM","SYC","TCD","TGO","WSM","YMD","ZWE","GNB","SPM","GNQ","SHN","GRL"
"AUS",6510000,12660000,66791000,91000,13622000,65000,9029000,195353000,12535000,44223000,10808000,294969000,7805000,81057000,35163000,20559000,238233000,702911000,39710000,95000,99603000,3950000,51303000,44313000,9283000,44072000,2230000,184000,6931000,168491000,2205163000,10276000,47335000,22226000,4901000,13651000,3579000,0,6000,124855000,5000,28402000,21101000,333966000,6543000,66873000,35945000,4922000,5919000,17414000,138350000,99155000,25950000,158000,47148000,9842000,6898000,671911000,2554000,28651000,12469000,7465000,23875000,76000,33000,1880000,395000,7448000,8455000,2819000,2211000,2155000,31000,7542000,749000,16000,2569000,243000,10031000,418000,7816000,992000,17000,3000,5588000,136000,467000,1425000,2673000,245000,55000,72000,446000,15340000,76000,109000,3055000,466000,6782000,3000,5000,195000,7000,54000,1403000,12000,9127000,2516000,17078000,1786000,260000,8167000,8089000,27121000,162678000,4000,2062000,124000,44000,28000,41000,930000,289000,1638000,92500000,179000,0,6577000,230000,1000,3772000,38878000,1000,18000,107000,43000,4487000,0,59000,3047000,3411000,42000,85000,506000,2000,10000,3122000,831000,1442000,0,0,0,0,0
"AUT",14700000,0,44950000,23553000,1047000,119000,27983000,46338000,437738000,13936000,68953000,855720000,82521000,2945000,36843000,53643000,104942000,313103000,33991000,1071000,4585000,86454000,3979000,3659000,6948000,29765000,10924000,1132000,13120000,351973000,26436000,2479000,6249000,3845000,11889000,306000,3358000,64000,28000,2172000,55000,78324000,53678000,2330000,1641000,863000,78963000,30186000,51485000,6356000,5077000,92548000,161647000,8635000,9736000,17579000,869000,175381000,5114000,143675000,2516000,6885000,1421000,2846000,449000,2620000,499000,1316000,1293000,1298000,12113000,1166000,308000,341000,1793000,420000,6430000,463000,2183000,1869000,1372000,1737000,47000,61000,0,0,5000,1177000,127000,862000,618000,1106000,2444000,43876000,75000,240000,7248000,1022000,827000,29000,156000,40000,22000,1000,232000,250000,386000,43000,0,0,131000,2427000,4533000,896000,125000,4e+05,838000,237000,150000,141000,8069000,431000,440000,188000,28933000,104000,845000,2067000,290000,154000,1091000,85000,0,18000,24000,3000,339000,372000,157000,168000,2485000,14000,253000,0,120000,77000,6000,154000,0,26000,5000,0,0,0
"BEL",34414000,95672000,0,11399000,2668000,598000,71125000,89943000,284697000,12330000,40130000,3962386000,152638000,4634000,160056000,60807000,3060616000,670799000,85821000,3705000,50102000,20745000,9465000,59361000,31063000,61146000,23190000,6320000,122348000,770781000,122347000,10011000,24208000,9836000,20641000,2781000,17598000,1202000,2909000,13171000,574000,2610343000,128057000,8347000,9451000,9076000,56482000,53721000,22550000,26489000,14256000,91116000,255611000,12865000,10046000,33919000,3720000,978012000,46273000,44807000,7654000,49476000,19990000,133242000,3032000,9168000,2689000,5105000,1355000,496000,28875000,3676000,4974000,3564000,2103000,3979000,20052000,1139000,17272000,3483000,3393000,12210000,4554000,392000,0,4733000,409000,1771000,445000,11727000,6318000,3098000,8e+06,26279000,250000,3131000,70927000,3608000,1454000,1278000,9554000,3840000,293000,422000,1192000,2066000,4471000,108000,103000,8699000,2191000,35480000,5929000,4175000,309000,495000,2370000,1506000,5531000,2206000,11012000,1636000,2865000,1267000,55072000,315000,653000,2922000,1995000,340000,8918000,62000,0,2531000,23000,5000,2789000,0,98000,3415000,281000,4558000,386000,44000,699000,2314000,27000,713000,40000,417000,38000,86000,10000,0
"BGR",773000,15779000,7373000,0,113000,1000,4727000,1680000,4993000,0,0,72725000,3342000,11454000,6822000,4536000,22677000,17153000,12771000,3000,0,0,386000,8704000,272000,4090000,11926000,60000,2235000,62734000,13358000,0,0,2257000,9297000,161000,2228000,17000,0,142000,2000,8336000,3503000,37000,2269000,0,0,0,0,0,448000,0,3681000,0,199000,4244000,0,0,26000,42100000,87000,297000,204000,4000,0,865000,30000,969000,16000,0,1297000,21000,20000,7000,59000,3000,9137000,0,1000,1114000,969000,0,0,3000,0,0,0,4000,0,102000,22000,24000,0,0,0,0,0,299000,196000,0,0,0,13000,0,0,0,0,59000,0,0,41000,4000,0,0,0,3000,0,132000,0,0,1098000,2000,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,117000,0,0,0,0,0,82000,0,11000,7000,0,0,0,0,0,0,0,0
"BHR",3.3e+07,1000,753000,0,0,0,670000,5316000,34096000,18000,0,1485000,656000,6000,2102000,0,207000,21558000,1000,0,8896000,0,5000,447000,114000,2759000,1000,0,0,115000,26188000,3000,6797000,242000,646000,1000,0,0,0,3160000,0,2373000,624000,8985000,251000,456000,0,12996000,0,37672000,27712000,0,6119000,0,12000,878000,3598000,100875000,0,0,1000,0,0,20000,0,0,0,0,460000,0,3000,0,0,0,274000,0,0,0,0,2000,10000,0,0,0,0,1095000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,2962000,0,306000,68000,0,0,413000,0,3034000,0,0,0,0,68000,0,3e+05,16000,1000,0,11375000,0,0,0,0,0,0,0,3000,161000,10000,0,2197000,0,0,0,0,0,0,0,508000,3000,0,0,0,0,0
"BMU",1000,53000,245000,0,1000,0,206000,350000,0,0,0,561000,175000,171000,994000,0,1502000,14700000,23000,0,25000,0,0,0,11000,0,0,70000,2000,1755000,53000,52000,0,0,0,0,0,0,0,0,0,4841000,0,0,2312000,87000,0,0,0,0,0,0,0,0,1000,62000,0,0,0,0,3000,67000,0,0,0,0,0,1000,0,0,0,0,1000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,7000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,3561000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",10119000,50099000,86629000,12404000,44000,54000,0,62312000,47545000,70051000,14526000,487840000,71356000,1819000,164724000,30525000,204799000,207733000,13305000,925000,14734000,14985000,1061000,1857000,8114000,12939000,13055000,2185000,13523000,257514000,249403000,83000,836000,1080000,4368000,12871000,20040000,0,8000,2982000,0,216705000,53554000,2935000,37004000,2601000,45361000,53405000,6003000,192000,7214000,79415000,82557000,6255000,7428000,9263000,11000,931266000,20611000,22380000,7e+05,175010000,38880000,684000,46000,11232000,119000,994000,18000,19000,1716000,2398000,1921000,7012000,607000,3e+05,188000,843000,12264000,4418000,4267000,1806000,0,12000,0,9148000,530000,13152000,524000,301000,168000,560000,1156000,41484000,2000,578000,11586000,3651000,1278000,41000,0,91000,10000,494000,346000,53000,4313000,8000,2000,188000,630000,30490000,1407000,3000,29000,10769000,2000,30000,1568000,822000,11098000,17000,35715000,12447000,28964000,114000,0,17000,59000,0,0,74000,0,1000,0,0,18000,0,0,1000,3576000,1000,1641000,7000,3000,1000,1000,0,0,10000,0,0,0,0
"CAN",152193000,21004000,145818000,613000,138000,12913000,98309000,0,47258000,261172000,4498000,428448000,29469000,2168000,78333000,13962000,224959000,1463222000,18862000,5044000,22603000,5301000,9705000,107289000,25836000,10429000,2704000,692000,27300000,243030000,1148852000,3929000,35989000,6732000,12888000,5911000,6741000,851000,580000,16498000,645000,134876000,154610000,45166000,6138000,28832000,31132000,17306000,13246000,6998000,11814000,285525000,51985000,7848000,14264000,14288000,6113000,14115958000,71857000,15086000,2361000,61401000,12064000,1231000,166000,34024000,1049000,1112000,365000,758000,13974000,6744000,1563000,27564000,164000,3994000,879000,2638000,31797000,468000,1462000,753000,0,218000,0,13703000,1755000,1949000,14202000,5865000,1028000,7771000,1393000,9696000,0,9311000,28057000,5689000,7819000,23000,66000,491000,123000,45000,7319000,5119000,40175000,3000,0,11257000,552000,74582000,1190000,681000,2987000,145000,233000,144000,3776000,1948000,8978000,8e+05,2829000,1282000,43980000,53000,4347000,793000,1051000,0,58411000,1101000,2000,716000,15000,0,2664000,0,0,0,6716000,0,120000,8716000,9000,1769000,160000,28000,17000,349000,6727000,0,0,3407000
"CHE",79952000,378192000,178819000,17168000,2565000,1083000,100504000,102681000,0,19552000,44780000,1093609000,124353000,18640000,160851000,83336000,609123000,631336000,44541000,4923000,114478000,33470000,10192000,12609000,15471000,55517000,10467000,5645000,72904000,415940000,229616000,5182000,3618000,10750000,17384000,3798000,7763000,225000,260000,8293000,319000,182171000,91488000,14412000,6809000,8150000,54615000,85635000,36860000,15989000,31070000,69379000,215128000,10073000,23798000,73180000,3385000,605399000,43649000,130514000,4565000,51120000,16193000,10564000,745000,20825000,2846000,1430000,897000,456000,22096000,2939000,2060000,1615000,3314000,1465000,19133000,2522000,22703000,1840000,3520000,5551000,157000,149000,0,2457000,159000,2630000,681000,3097000,1562000,4402000,2727000,28698000,393000,1627000,19058000,6122000,3912000,910000,1217000,634000,23000,97000,376000,1035000,2893000,526000,50000,356000,1988000,66310000,5836000,543000,682000,365000,0,1208000,3199000,697000,3808000,2268000,3403000,6044000,88374000,1586000,1291000,0,737000,235000,13628000,938000,0,309000,121000,23000,352000,188000,144000,0,609000,212000,305000,0,213000,573000,4000,479000,3245000,0,0,32000,188000,0
"CHN",53707000,8403000,23255000,0,15034000,94000,226000,48854000,19715000,0,0,97737000,11233000,25819000,15235000,9351000,104895000,82634000,265000,72000,688493000,0,39010000,0,3311000,17156000,19857000,231000,79000,84442000,491116000,3404000,0,25702000,11968000,15632000,18402000,6322000,3849000,69017000,1167000,45822000,5177000,7303000,26827000,2305000,0,462000,0,0,141530000,0,20964000,0,15000,691000,70881000,0,4481000,3507000,13757000,427000,3160000,398000,4175000,49000,4610000,976000,2635000,0,26351000,98000,7136000,1919000,3093000,177000,25635000,0,306000,5589000,25976000,0,0,1154000,0,0,0,27000,393000,0,2934000,49000,0,0,0,0,0,346000,3542000,0,0,25000,2013000,5000,328000,0,0,7342000,0,0,0,237000,0,0,2198000,574000,0,4667000,13000,0,432000,684000,0,0,0,2486000,0,0,2505000,0,0,896000,0,0,1000,0,12710000,0,0,0,0,0,4378000,0,811000,1813000,119000,0,0,0,0,0,0,0
"CSK",10557000,86208000,35200000,0,278000,17000,19608000,34537000,45085000,0,0,265659000,25082000,29786000,11701000,14573000,62587000,79716000,21987000,395000,3056000,0,922000,19023000,7642000,24976000,49611000,2966000,286000,90847000,13119000,4088000,0,4921000,18089000,1872000,4208000,108000,37000,1543000,61000,48539000,15597000,2024000,3712000,20000,0,2803000,0,0,3130000,0,34204000,0,2575000,12319000,321000,0,5589000,150364000,2755000,2562000,1850000,1670000,174000,2142000,787000,760000,119000,480000,10479000,444000,553000,527000,5123000,857000,8180000,247000,2507000,2393000,3605000,0,0,57000,0,0,0,1560000,124000,374000,322000,585000,0,0,0,263000,0,1021000,1470000,0,0,0,126000,0,160000,0,0,86000,0,0,34000,3997000,0,0,177000,178000,0,2083000,36000,0,2019000,503000,0,0,0,534000,0,0,146000,0,0,152000,0,0,8000,0,4086000,0,0,0,0,0,244000,0,390000,333000,5000,0,0,0,0,0,0,0
"DEU",337959000,2209714000,3813215000,96020000,10673000,2239000,669856000,522050000,2548499000,153608000,368713000,0,969293000,97089000,837031000,548424000,6069354000,2135768000,495952000,29616000,134547000,255570000,117577000,220357000,161818000,479409000,58557000,34216000,228189000,3962167000,693166000,46788000,66916000,68707000,97553000,20954000,58884000,5324000,4448000,72868000,5322000,4634603000,622765000,60170000,60365000,66454000,442009000,329810000,291210000,80474000,132146000,696027000,1565322000,40307000,110783000,284882000,28815000,4244658000,228141000,704359000,30215000,246580000,89231000,77790000,7505000,88509000,20890000,11004000,6957000,3872000,205677000,10961000,17299000,10140000,20222000,10010000,100728000,16036000,94642000,26508000,24027000,41720000,2428000,2865000,17293000,2846000,1669000,17982000,4604000,32658000,24386000,26758000,37439000,0,665000,16224000,219268000,35738000,37170000,974000,4173000,11411000,1085000,851000,4090000,3509000,18118000,2998000,777000,2664000,19375000,264898000,35418000,12205000,5357000,10751000,7436000,13087000,21581000,6938000,39982000,9789000,15873000,12907000,542140000,10179000,3883000,13180000,6557000,2239000,19295000,1566000,4000,10875000,474000,79000,15360000,173000,3205000,4718000,7512000,1985000,3533000,701000,1976000,9282000,184000,3560000,1876000,1463000,115000,141000,4000,0
"DNK",16622000,68377000,60680000,2888000,3014000,1544000,32997000,48807000,120085000,8689000,16780000,534475000,0,5527000,54206000,93171000,126934000,872559000,13812000,920000,15685000,16266000,6083000,4006000,19231000,14245000,4600000,24044000,8815000,134843000,45565000,4128000,5119000,9769000,7095000,1722000,6702000,157000,42000,6870000,51000,112084000,299321000,4879000,2031000,4970000,41700000,26425000,11212000,8279000,12066000,26799000,654289000,3068000,7182000,5277000,2447000,352514000,6274000,13352000,3587000,3589000,5775000,5415000,318000,4651000,2843000,2400000,439000,974000,14479000,3049000,649000,1559000,2134000,894000,4867000,444000,3794000,2806000,2014000,5836000,154000,75000,0,2181000,499000,1228000,1492000,1484000,670000,1210000,5179000,24542000,392000,811000,11200000,579000,3542000,1282000,466000,1112000,246000,69000,470000,640000,1501000,3664000,90000,2142000,373000,5376000,1344000,0,416000,133000,1139000,1682000,1205000,755000,2321000,1264000,392000,1095000,16108000,279000,93000,3048000,654000,184000,5798000,204000,12000,176000,70000,31000,1679000,56000,84000,701000,84000,133000,1e+05,309000,168000,240000,29000,1724000,36000,0,0,28000,19000,0
"EGY",128000,5934000,7588000,17634000,71000,16000,279000,408000,6325000,25306000,48350000,72858000,3078000,0,23465000,2569000,24531000,26708000,6771000,0,58000,17085000,26000,43108000,1e+05,29000,9182000,21000,0,47088000,33203000,116000,1816000,2571000,5540000,12860000,2023000,1263000,670000,495000,2000,6896000,1598000,2000,3000,37000,40114000,1949000,21509000,4422000,78000,289879000,2621000,8051000,20000,6129000,130000,12866000,2152000,12513000,131000,0,0,129000,24000,1000,192000,15000,6000,0,3106000,107000,952000,54000,137000,1000,12801000,2000,0,6844000,14408000,0,0,79000,0,0,0,0,41000,117000,4000,1000,437000,35530000,473000,0,153000,1000,1654000,0,367000,10000,22000,2000,153000,0,0,0,0,0,0,1000,0,0,0,0,203000,1215000,0,0,1069000,22000,0,0,0,0,141000,0,228000,20000,910000,0,0,0,0,0,0,0,0,375000,1190000,0,65000,0,45000,83000,0,696000,0,0,0,0,0,0
"ESP",23472000,24653000,108947000,9039000,403000,455000,72532000,51203000,83513000,538000,9861000,543303000,44198000,9428000,0,20895000,531771000,406507000,18544000,6590000,4008000,9809000,561000,1773000,20520000,21952000,11688000,742000,9959000,209052000,55627000,760000,76000,4650000,15904000,97000,31022000,59000,3570000,1010000,227000,159044000,33107000,2271000,1069000,1695000,31451000,110856000,12946000,3683000,2604000,30326000,74767000,4303000,1693000,15437000,487000,620503000,37087000,4631000,1363000,29362000,34635000,10801000,1512000,42505000,1496000,2004000,118000,124000,12858000,6995000,799000,1044000,527000,1814000,12389000,1220000,10408000,2290000,363000,5372000,132000,171000,11000,0,0,2899000,406000,3407000,2882000,5512000,15516000,17587000,171000,6331000,73242000,4274000,4680000,0,583000,802000,211000,24000,1148000,882000,2858000,3000,0,0,176000,58558000,2600000,874000,49000,943000,187000,1058000,1413000,0,5569000,124000,6307000,216000,23358000,19000,112000,967000,573000,6664000,18662000,65000,0,0,7000,13000,36000,0,0,0,24000,0,152000,0,432000,513000,0,66000,0,0,42000,18567000,0,0
"FIN",23945000,28337000,62737000,3287000,148000,34000,25025000,19449000,56223000,16958000,14217000,327095000,143706000,7439000,38656000,0,133129000,614041000,20184000,206000,3172000,9058000,786000,3262000,26060000,23841000,2083000,5411000,20920000,54863000,15764000,2811000,18000,782000,5782000,432000,4055000,94000,1000,975000,19000,111795000,130116000,1176000,1289000,544000,28016000,8160000,13441000,1726000,1075000,363959000,471843000,1699000,2279000,4239000,520000,142074000,3139000,1584000,1261000,17834000,2470000,341000,39000,6826000,315000,409000,146000,539000,4236000,496000,726000,620000,120000,118000,1447000,597000,3417000,210000,714000,307000,12000,2000,215000,0,20000,558000,134000,621000,876000,531000,2351000,16826000,18000,123000,4570000,1056000,503000,19000,68000,91000,8000,5000,234000,217000,687000,3000,1000,333000,1000,6807000,543000,46000,102000,48000,37000,249000,224000,139000,2315000,338000,315000,220000,1.4e+07,3000,24000,114000,5000,3000,1673000,156000,0,22000,13000,0,29000,53000,25000,70000,2000,4000,3000,2000,0,13000,0,3000,1000,0,4000,0,0,0
"FRA",81126000,207152000,3007983000,28564000,3644000,2491000,184264000,253459000,1146562000,59590000,64062000,5631241000,228488000,65468000,656460000,115154000,1575000,1484375000,191705000,5638000,57112000,90436000,20695000,45992000,70833000,122245000,44558000,5774000,95131000,3036122000,300730000,20040000,47789000,33479000,78205000,11822000,237996000,31821000,37278000,22968000,30619000,1351660000,159727000,14988000,10851000,31281000,151903000,141193000,135240000,42981000,39988000,340447000,352871000,33192000,23970000,102627000,12886000,1382579000,89127000,150375000,10411000,77662000,40583000,72952000,48070000,29366000,4486000,8190000,8147000,1087000,88752000,6530000,137112000,6363000,7130000,1976000,73593000,2763000,16990000,6396000,14955000,21332000,3027000,32840000,0,5083000,525000,1925000,1837000,213425000,142217000,5646000,21585000,139444000,13861000,3036000,472047000,4493000,15179000,1856000,25372000,229989000,902000,29740000,1642000,4984000,6898000,9203000,4127000,7575000,111848000,83584000,29007000,136541000,955000,1531000,9377000,7818000,2543000,3141000,163821000,3445000,4827000,48836000,183956000,1260000,894000,5168000,37349000,20278000,26533000,1123000,6000,76348000,1717000,10000,2503000,34000,182000,10789000,12186000,1696000,814000,271000,29619000,30039000,183000,714000,487000,1810000,3479000,1838000,14000,0
"GBR",896179000,316218000,990889000,21053000,48302000,22123000,215107000,958284000,619125000,73161000,57998000,1405595000,621121000,35255000,513273000,375198000,1318197000,0,163756000,13368000,257249000,55702000,63737000,281597000,1069424000,298475000,69110000,34561000,365398000,676550000,500825000,141370000,73862000,80833000,67013000,36870000,34225000,2235000,5731000,202008000,1675000,881907000,507927000,396404000,62441000,51827000,175750000,289316000,9.1e+07,110442000,225535000,215644000,1053274000,24607000,77881000,166503000,64395000,2928234000,113861000,1.64e+08,132766000,129381000,54328000,39038000,1617000,49447000,16400000,54542000,24680000,39162000,443794000,9849000,3797000,97812000,17878000,6722000,90925000,7326000,33975000,24280000,52795000,32543000,564000,846000,0,20854000,9243000,6821000,38007000,9294000,9974000,19448000,78488000,36921000,3260000,8735000,83049000,19528000,45191000,16865000,2891000,2515000,7377000,656000,43501000,3126000,100066000,2145000,3968000,43969000,3495000,92844000,38312000,5423000,13273000,6687000,31125000,27983000,8735000,6696000,15410000,38197000,11037000,5700000,747430000,5639000,114000,70016000,5335000,227000,41667000,29317000,662000,4486000,377000,143000,17189000,73000,1209000,40317000,1040000,865000,4538000,8782000,1050000,7627000,1147000,10442000,1467000,4065000,191000,1322000,2308000,3448000
"GRC",4487000,11559000,26668000,8082000,59000,21000,728000,7744000,10683000,787000,17885000,285647000,3658000,10180000,28172000,3421000,83504000,41431000,0,9000,82000,11226000,7000,16000,727000,3404000,2827000,20000,4270000,96559000,22750000,346000,848000,3655000,4822000,14000,510000,9000,11000,95000,3000,36839000,4222000,120000,209000,91000,16442000,3879000,13116000,2205000,843000,35729000,16031000,2937000,819000,4761000,680000,84993000,248000,36722000,335000,1182000,56000,1876000,14000,9000,66000,1766000,63000,8000,4032000,115000,176000,28000,540000,3000,19356000,4000,195000,720000,839000,95000,385000,5000,0,0,0,4000,27000,75000,109000,4000,15776000,14952000,28000,187000,3355000,1000,192000,14000,1e+05,5000,0,2000,6000,2000,0,0,0,0,12000,29000,77000,0,29000,9000,61000,1e+05,3000,16000,1328000,678000,70000,125000,1255000,3000,380000,0,3000,43000,0,2000,0,22000,0,0,1000,0,0,184000,0,0,6000,0,8000,10000,0,6000,0,0,0,0,0,0
"GTM",10000,2279000,5725000,0,357000,2000,44000,6863000,8202000,0,0,37478000,3843000,0,8316000,7745000,2450000,3830000,15000,0,891000,983000,0,1000,20000,10000,0,81000,81000,13376000,34379000,0,1000,908000,151000,0,2453000,0,0,0,0,7557000,2341000,0,0,0,3396000,854000,0,98000,0,0,3645000,0,1227000,0,0,96050000,91000,267000,0,0,0,0,0,8000,0,0,0,0,0,2636000,0,46000,0,9351000,108000,20951000,13000,642000,0,0,0,0,0,6000,0,102000,0,1000,0,28248000,0,0,6000,968000,0,269000,0,0,0,133000,0,0,2000,125000,471000,0,2000,0,0,1550000,0,0,0,3000,0,0,47649000,3000,427000,5000,0,0,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000,0,0,15000,0,0,0,0,0,0,0,0,0,0,0
"HKG",86206000,18236000,3.5e+07,4000,5783000,1095000,6894000,106017000,39245000,3854000,109000,302207000,26185000,155000,11369000,5036000,23407000,456253000,3781000,864000,0,106000,24952000,2971000,4642000,4148000,16000,924000,2587000,26649000,119405000,4743000,35934000,13175000,4598000,1647000,2029000,121000,16000,32157000,26000,55708000,17980000,24702000,3914000,13691000,211000,1268000,8000,8103000,86113000,1072000,54886000,820000,20027000,454000,2814000,1097896000,13518000,645000,11532000,709000,726000,10243000,325000,119000,3334000,1274000,3308000,1892000,27092000,4576000,792000,3903000,1383000,753000,18193000,545000,2010000,881000,843000,290000,0,125000,0,408000,871000,727000,1206000,1960000,1651000,605000,1181000,449000,621000,1246000,597000,701000,1308000,459000,2000,193000,374000,17000,1507000,748000,4099000,1509000,425000,826000,779000,4550000,1460000,2833000,7040000,165000,936000,3620000,553000,0,82000,1161000,55000,4002000,18056000,567000,0,9701000,1221000,220000,312000,4563000,0,129000,1875000,7922000,1470000,0,75000,268000,11000,263000,907000,360000,49000,437000,394000,1595000,0,13000,0,24000,0,0
"HUN",2490000,85405000,15665000,0,87000,75000,4631000,11721000,30091000,0,0,204451000,12750000,10628000,22189000,12042000,50228000,29266000,11138000,39000,902000,0,627000,17051000,1177000,13410000,7439000,172000,4572000,205162000,9799000,1716000,0,6628000,5966000,1559000,897000,1000,3000,51000,133000,43673000,7774000,252000,1594000,0,0,127000,0,0,443000,0,26298000,0,531000,6545000,191000,0,580000,70881000,247000,1019000,26000,368000,59000,598000,342000,572000,111000,19000,1877000,148000,105000,190000,723000,426000,5477000,36000,268000,1168000,2862000,0,0,3000,0,0,0,77000,113000,811000,74000,291000,0,0,0,48000,0,2503000,280000,0,0,99000,403000,0,14000,0,0,15000,0,0,11000,555000,0,0,52000,47000,0,1083000,9000,0,1437000,302000,0,0,0,4000,0,0,2e+05,0,0,16000,0,0,0,0,44000,0,0,0,0,0,26000,0,5000,111000,1000,0,0,0,0,0,0,0
"IDN",13990000,2362000,41197000,1000,41000,0,1000,2368000,13266000,0,367000,87547000,16739000,850000,11631000,854000,29091000,23243000,908000,5000,27322000,0,0,322000,1342000,181000,3873000,5000,133000,36660000,1197519000,91000,64038000,194000,5000,3535000,734000,0,0,54443000,0,53824000,1340000,2059000,531000,9433000,3795000,1345000,0,60000,402000,6744000,3825000,187000,3535000,40000,18000,291601000,896000,206000,47000,15000,644000,4000,0,317000,3993000,55000,73000,20000,53000,4000,37000,75576000,18000,10000,13000,0,1158000,428000,1000,2000,0,0,1000,0,0,2000,14000,3000,7000,8000,0,1414000,0,2000,113000,474000,27000,0,0,30000,0,0,1000,0,0,320000,0,0,336000,2000,0,0,8000,0,0,1000,0,12000,25000,10000,0,2393000,0,1000,0,0,0,0,0,34000,0,0,393000,0,169000,0,0,6003000,1000,0,2000,0,1000,0,2000,2000,0,0,0,0,0,0
"IND",40044000,3515000,40431000,23726000,6458000,64000,483000,44841000,14016000,0,58211000,105877000,9363000,29440000,9246000,1953000,71956000,252690000,1439000,38000,22910000,18099000,5981000,0,12467000,41974000,16780000,340000,514000,50749000,407574000,11353000,4298000,23083000,3604000,22507000,846000,1000,4000,19248000,16000,24525000,4432000,16375000,52000,2088000,50631000,381000,20281000,18322000,26209000,367787000,21004000,3851000,9902000,3508000,5885000,369625000,601000,26075000,8100000,5932000,1205000,201000,83000,194000,598000,319000,3146000,2652000,16515000,478000,105000,1386000,2798000,11000,4084000,26000,1927000,3906000,56695000,0,29000,77000,77502000,47000,30000,195000,336000,275000,418000,91000,2428000,19116000,0,485000,381000,124000,1037000,20000,115000,73000,144000,1000,1397000,139000,250000,203000,16000,431000,278000,2018000,7331000,7000,403000,240000,4670000,2226000,11000,77000,4197000,5526000,186000,1534000,4448000,11699000,0,11487000,1700000,0,8000,2595000,29000,7000,19000,3000,10456000,1000,36469000,3395000,1104000,39000,703000,491000,78000,140000,125000,3903000,0,24000,0,46000,0,0
"IRL",7880000,2507000,45872000,1197000,53000,449000,1744000,16833000,15918000,8000,1260000,84393000,4e+06,2000,23029000,2038000,69087000,1057151000,3008000,218000,584000,101000,165000,13000,0,145000,5e+05,179000,1407000,21130000,17392000,128000,91000,636000,1433000,221000,97000,40000,12000,73000,3000,39776000,4765000,869000,9000,333000,3598000,1977000,413000,839000,1334000,584000,11800000,405000,1000,682000,47000,162575000,209000,263000,58000,729000,95000,303000,7000,126000,9000,836000,270000,30000,3816000,24000,8000,1323000,40000,16000,1085000,14000,98000,65000,40000,0,3000,1000,0,342000,32000,147000,540000,44000,121000,28000,1253000,482000,1000,12000,1413000,26000,188000,181000,1000,32000,11000,0,125000,5000,3135000,7000,1000,0,9000,4524000,39000,21000,12000,2000,38000,421000,7000,44000,527000,20000,165000,458000,5993000,3000,0,134000,0,0,13000,19000,1000,1000,1000,0,17000,0,43000,23000,30000,1000,12000,20000,1000,24000,4000,24000,0,9000,0,0,1000,0
"IRN",20501000,2.9e+07,114040000,230000,4371000,7000,3204000,72370000,16777000,31914000,22018000,370407000,40370000,673000,66287000,60359000,188817000,308300000,7879000,2000,11549000,13608000,245000,5953000,11151000,0,9000,30000,2256000,373908000,1489668000,39324000,4027000,11405000,3944000,1257000,76000,79000,13000,818000,389000,327033000,422000,14637000,8076000,25866000,4008000,8167000,6984000,4581000,94746000,106443000,12825000,537000,1936000,14600000,23171000,41921000,597000,34638000,17765000,538000,7475000,13659000,0,1001000,1171000,6000,7940000,6017000,377000,0,26000,2618000,11172000,37000,468000,0,247000,328000,75000,0,0,59000,0,0,0,95000,0,31000,219000,7000,283000,144000,351000,5000,30000,65000,0,0,0,35000,0,0,20000,0,0,56000,0,0,1872000,44000,0,0,1173000,86000,1858000,10000,0,0,4588000,387000,0,232000,7179000,6878000,0,6648000,356000,0,0,5316000,0,0,0,110000,596000,11000,0,4375000,1000,0,1214000,0,39000,250000,358000,2691000,1000,0,0,0,0,0
