"","ARG","AUT","BHS","BOL","BRA","CAN","CHE","CHL","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","HKG","HND","IND","IRL","ISR","ITA","JAM","KEN","KHM","KOR","LBN","LKA","MAC","MEX","MNG","MYS","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","ROU","RUS","SLV","SVK","SVN","SWE","THA","TTO","TUR","URY","USA","ZAF","ZMB","ALB","AUS","AZE","BFA","BGD","BGR","BHR","BIH","BLR","DZA","ETH","FJI","GAB","HRV","HUN","IRN","JOR","JPN","KAZ","KGZ","LTU","LVA","MAR","MDG","MKD","MLI","MLT","MOZ","MUS","NCL","NIC","OMN","SAU","SEN","SGP","TGO","TLS","TUN","UGA","ZWE","CIV","MDA","MWI","NER","VNM","AFG","ARE","CMR","EGY","GEO","GHA","GIB","IDN","ISL","KIR","KWT","LBR","LBY","MMR","PHL","PNG","PRK","QAT","SDN","SLE","SYC","SYR","TKL","TKM","TZA","UKR","VEN","YUG","ARM","ABW","AGO","BDI","BEN","BLZ","BRB","CAF","COD","COG","DJI","DOM","ERI","GIN","GMB","GNB","GNQ","GRL","GUY","HTI","IRQ","KNA","LAO","MHL","MNP","MRT","NGA","NPL","PSE","RWA","SOM","SUR","TCD","TJK","UZB","ASM","ATA","BMU","FLK","FSM","GUM","PLW","SHN","SPM","WSM","ATF","SGS","SMR","VAT","HMD","UMI"
"KIR",0,3908,0,0,0,9952.82,0,0,0,0,0,0,0,94977,417611.06,104384.48,0,0,0,0,22025.17,10108.13,0,0,89222.92,0,0,0,0,0,0,0,5270,70619.11,14000,0,0,0,0,65818.79,0,0,178874.7,43456.08,0,0,15985.41,0,0,0,42039,0,0,14388,6957,936721.36,0,0,0,975246.31,0,0,0,182544.43,0,0,1062384.87,0,0,8854,0,0,0,10915.84,0,0,0,0,0,5086121.9,0,0,0,0,0,2879.81,18779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",4891278.83,194056.96,0,0,20384254.54,88682.39,39067762.7,8913.84,700213216.86,0,0,0,1910240.43,363379.57,67516157.33,134201.92,0,86799811,0,47432.35,428502446.28,722248953,16125839.8,0,382067881.76,125019,228473563,88926,0,46641345.18,0,11385197.99,0,3466949065.19,18088563.79,11065605.52,27539.62,588149.41,10433.6,63039334.74,1005906942.75,64102,13967938.37,925748365.56,0,0,13333.22,36391310,0,348090.93,164374,0,4965,1464974.98,15094276.16,283777633.66,0,24248195.31,0,3052246621.15,53241780,11102.05,24350.74,3202422.1,24381.21,156165.89,362386046.15,316474.86,33811375.85,4500.01,0,5517561,368435.63,0,24094.57,168396,957000,77472740.16,26933646.4,5191360182.23,3871,0,0,0,20270233.28,5783950.84,6918,338074.86,1047720,54875.37,7297938.04,0,0,7582930.07,196184266.58,5684663.47,2874486831.43,3855464.34,0,17089515.72,2923362.13,40130628.93,2873481.6,0,341170.45,1817983.2,236171566.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,0,0,0,0,0,0,0,0,0,0,0,0,23999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",25490,75285.1,11240,0,101482.89,6291257.88,962789,9063.17,13695179.9,4508,0,0,0,9001577.46,178889302.84,280317829.94,0,214816.71,0,0,11961927.89,9836741.05,75372262.37,0,49720.56,33124,5061480.48,1852860.25,0,6789909.26,0,0,0,24805466.69,10924.53,18553.82,0,0,0,87393.85,5472766.6,25274655.74,21825,0,0,0,138736438.81,151329.6,0,145153.68,691065.2,0,0,5378611.15,6945.02,468540.46,0,22993807.45,0,85563408.81,1358505,1818.3,25663,1023,0,1333,6965696.4,2358201.8,0,0,482847.25,231359,0,0,0,0,0,0,0,79851.84,39514,0,5066552.24,162671,523592.09,40725.58,0,0,0,0,0,12382.66,0,0,6107.98,0,228851,101908.8,0,0,194380,0,5231967.74,0,1643,46066.66,5310575.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519232.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0,257833205.26,0,0,52032237.69,59373338.34,579688942.45,0,374490068.47,6393717.4,0,0,0,61038284.76,3190177774.25,0,0,2282780734.39,0,1380,1176442301.58,329866541.69,328574802.32,0,130750.92,47257,8981404.74,24136257.09,0,7141275496.71,0,58917.74,0,9379179.93,20075110.07,0,0,5985938.81,0,10429099.23,73828598.36,0,0,410544.62,0,0,1057835.17,401476314.18,0,2710.02,340256.53,0,0,399872.91,128224,3847,0,1373980320.15,0,310212043.44,120683,0,0,0,0,4792,0,100204.63,1407.66,26250,2832.05,3779210,0,0,0,28667210.81,0,17903,1748351.65,7491302.84,0,0,0,0,42242420.98,0,0,18540,9806077.76,52049,0,0,0,0,288907.84,314386.36,10335,7170,0,387047681.57,16608.64,0,0,0,0,363353.72,70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",4525148.66,13136911.18,0,0,119852.28,18923433.58,1245715.99,33874,191910378.71,17870.74,3147.97,1200,17667,3487896.45,129354059.11,13496922.75,0,47148421.25,446738.12,541982.96,91523767,157837451.66,1732733.05,0,39912293.52,0,377602094.55,2187159,93013.55,59254244.71,0,0,216372.15,29059715.67,430838.6,1950593.36,65220.33,5300992.36,0,100545961.99,27019673.72,1671777.85,460962,19669079.51,0,65506.21,3983354.43,719734.38,2132,175298,1631719.77,0,522544.07,1424374.15,3656365.5,1225642057.2,55697.99,2719366.12,93085.92,0,199987,0,1416,11973351.95,0,0,52259538.59,105684,374570.36,37462,1000,1009,6228,9610.69,0,801308.39,125958.25,5673.21,81278.25,177777697.89,0,0,0,36236,159055.63,11541.09,0,2019.88,11596,0,542412.7,29387.18,0,646899.48,661528.13,419392.23,69370657.59,11742.07,11500,61047.25,0,0,0,13713,9117.3,0,18391794.68,0,0,0,0,0,0,0,0,406244,0,0,0,0,0,0,33296.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",20570136.02,188838727.23,10828.9,444220.01,208770372.98,730403122.43,74024794.16,14363093.2,9031788023.6,15651754.71,10214101.58,1373567.68,2173605.33,300256203.38,2495877653.18,69397311.59,6581132.81,210909324.93,14447953.97,82430273.5,508022138.86,1293875169.61,22024853.64,1534940.87,4488838184.46,4127368.81,177194343.13,135914130.15,43977174.06,200273384.67,3107954.98,322375.62,4369373.32,2099090480.74,8485468.49,6655338.13,7301815.77,864336947.45,2044882.11,2789543963.77,2631732935.83,37687795.96,74785525.09,11487426.37,0,6365076.53,106258595.52,15892441.04,533097.41,44483137.89,48466668.73,4206191.9,16067200.7,8091243.86,34267009.01,1539846962.7,997014.5,111643994.82,1129264.76,9175599856.04,73164150,261374.05,252548.45,501676818.32,82625.14,11691,12352434.9,5593348.74,8312651.71,887053.71,2072761.35,4645896,1135738,1272480.19,6811,7135236.83,94606030.04,14306264.77,3756278.77,7888385270.1,1796648.88,52253.27,2390939.42,420353.71,7165949.66,347420.29,676401.63,22133.47,27061892.74,16985.5,12538197.41,5297388.11,584139.45,3087224.77,64500216.71,52059.14,4189633253.44,0,78661.67,2213743.61,106932.56,35822.24,779710.7,261693.74,12183,15976,178556478.23,0,0,0,0,0,0,0,0,1641244.49,0,0,0,0,0,0,5275108.09,0,0,0,0,0,0,0,0,0,0,0,0,11690.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",12941,1634104.67,0,0,17473,1637157.36,17161929.04,1196,285402530.31,58538.55,0,4528,0,110796.92,233572663.5,1113655.23,0,21549437.22,0,587460.04,9537735.59,110829174.57,5594385.82,25561,19435160.56,40489,62882095.53,1004737.06,95996,39386875.43,0,431120.91,9028,84084364.84,3000,1599090.01,9560.65,104778,0,20097026.81,26256632.79,163802,24262224.03,156675.97,1816,1713,1932400.39,400494.78,0,11707.92,14729737.27,0,128391.42,50246,395223.28,29915531.05,0,0,0,84929033.88,1392414.88,0,5009,1256281363.98,0,0,520968.03,46333.11,0,0,0,0,0,2957188.45,0,37397.56,0,67042,0,281276670.23,0,0,0,0,710441,0,0,94549,282603.2,0,0,1267736.05,0,0,7792,1013,64721237.06,11067.73,1882,58193.81,0,0,0,47815,0,234748,18328539.1,0,2027,0,0,0,0,0,19185299,8561.79,299280,0,0,0,0,57685264,0,372060,0,0,0,0,0,0,0,0,15445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3842686,0,0,0,0,82794,0,0,68162,6827,0,0,5613,0,0,0,0,738745,0,0,0,801567,0,0,0,325316,0,0,0,0,242853,0,0,0,0,0,0
"PRK",24464,1294253.98,0,674931.35,69317844.18,10814,1004027.2,586666.62,560114978.49,13003205.28,3170865.94,13096377.06,335833.81,10292399.49,21758157.11,2157599.24,0,6614690.14,624623.44,15699,26845110.12,657339.88,2690881.24,2456581.12,19989212.92,2559266.16,1462375.46,8943272.22,1000,3889536.13,402775.07,2895523.58,1109786.88,0,7592210.96,48076.32,7660,46348872.35,12107.57,12103.63,8029940.84,0,0,9488137.67,0,1726291.5,6913106.99,82931.47,8267847.87,1393883.9,4668126.26,4906414.77,449740.67,7384706.75,214719.91,88572901.28,1189134.65,4995134.26,464105.46,1500879,735666,65468.98,697817.96,6363971.1,151996.58,926394.51,8348091.49,2947664.84,0,494621.09,1827314.8,9839247,122477.42,226975.66,559118.16,625301,404000,0,219166,160991291.17,0,17533.79,80623,0,0,250124.77,272584.76,199958.44,0,40509.62,1306042,61501,8691193.49,6689,0,279626.5,1567666.67,238443.22,0,977983.41,241756.47,568275.01,277880.46,24698.78,238381,39279.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22184.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,225746.55,0,1762.96,13272,26373139.2,79288255.68,289790.86,310586041.79,83392.56,53319.74,0,1660100.78,873562.65,32683241.98,48408.94,94622.46,645595820.91,0,85147.23,12493514.04,148293680.86,64207863.78,0,23933211.69,85529,481521415.99,919385.18,1667320.54,49792480.56,0,12500094.77,0,3280799958.28,20430628.25,13974454.58,0,381267.62,0,18484353.39,5949276.53,194418.47,78399650.22,162130477.34,0,2036983.34,8466.85,18146369.73,0,1597,4362,0,609933.84,42875.97,1195989.51,633286697.52,19434,16876795.22,0,320928636.84,106367954,0,0,66819187.89,7128.24,59962.56,14277331.38,0,25143657.77,12815,0,12139793,1584905.82,0,10800.34,33021,49157.97,62561934.82,5151102.44,7086294902.55,8061,0,0,89488.99,21754135.65,521110.73,0,133508.49,0,2382748.44,0,0,0,9919525.41,179552033.97,1445280.95,1825414789.91,14831.48,0,6424095.95,1267389.4,2315450.76,1379224.41,0,3839166.51,0,22923747.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93051.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDN",135382.35,559550.29,0,0,187108.53,11541718.48,219775.5,28276.42,1533835219.42,6949.4,0,24271.7,674800.82,996936.9,38214022.8,452805.27,16439.43,2467528.17,13945.27,1633839.72,26139359.16,25301413.51,9453562.13,0,7179823.48,1594,21359756.09,4355.2,0,24795110.77,0,2232981.34,0,162647489.68,18379865.04,71734.72,0,14763768.12,0,316793,8375239.66,803585.48,195376.55,13037148.85,0,10847.61,4510281.82,1241935.1,2725,12233.13,644419.29,0,16403.05,174981.19,1197096.08,12698311.77,14802.87,11312727.26,1743.95,3781873.09,878180,74430.21,92260.7,41889.47,0,0,17643990.82,1060930.94,163530.17,104120,20939.35,1684332,8925382.46,14537,16129,222952.63,251997.98,0,17129148.37,1157669055.53,0,0,0,0,1747,48175.53,100301.21,11991.06,0,25215,0,0,0,17985.19,190635924.68,0,35340011.7,0,10472.45,9543335.99,164624.88,0,0,0,32499,0,406851.03,0,0,0,0,0,0,0,0,321532.86,0,0,0,0,0,0,18858.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,112462.34,0,1253,15245,2842374.19,17242.5,0,1498140.37,1245,0,0,66510.93,6386146.85,21390664.84,248410.26,0,292664.13,212767.35,35801.06,24791036.72,3414076.25,30097.57,0,910007,12627.77,2775670.22,346669.74,3000,2434221.4,0,491877.48,0,57485.38,227005.89,58189,0,32951,0,265092.71,516358.56,0,0,2810,0,4664.26,3209882.86,6443,0,2886,1643244,0,66899.51,281335.94,353662.57,324424.68,0,12975.09,0,11058810.46,2293212.15,70917,35117.1,169208.91,0,116896.06,11612936.52,0,0,88633.29,0,1254,274868.22,0,2458,13883.3,239599.73,0,0,153727.19,0,0,0,2648,228816.33,0,3491,0,0,0,9230,0,0,0,29137.55,35353.09,0,0,0,20546.81,0,0,507478.09,0,0,0,486747.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18063.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYC",0,921122.53,0,0,5760,3095505.74,60680.38,0,26193.85,50124.05,0,0,332153.77,121166.16,22062901.55,739121.74,0,48268230.46,141992,493785.91,70764677.5,104650029.25,565247.33,0,913313.94,0,457402.83,56560.78,8806.72,29957916.84,0,42758,0,24151.14,12000,1326956,0,2990244.33,0,21720.13,3273754.2,90913.13,1092,0,0,16857,186970.2,0,0,42581,467533.61,0,94444,47880.08,0,5741404.4,0,2128472.27,0,5118414.61,4294449,12901,25845,692699.66,61871.27,0,4188,10620,0,279616.23,0,1151,63709.39,0,0,20804,6210321.76,105558.42,0,33167579.18,35484.4,0,0,0,80570.62,2171244.09,48896.57,0,460716.12,375378.53,6400777.57,25333.08,0,0,0,1821.61,625846.93,0,0,3887564.88,350000,7269616.38,0,0,1030263.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43813.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYR",1183257.17,39978012.52,0,85105.37,5021097.34,17229448.69,3506348.47,278218.86,26563346.42,722999.57,68953.81,8628,65957084.92,70839933.5,1003597124.6,3364197.5,1494621.71,252880996.52,30213,147007.48,379351839.93,82974888.08,20545421.89,29983.27,972989.64,105738.81,4127833.47,2723603.66,7000,853467135.94,6675.66,35376,34161,10811475.11,226664975.51,45769.42,1172,1615982.16,0,360573.01,26199503.79,7278517.19,80647.63,21884953.77,0,495167.75,4853671.02,34639052.97,947167.77,6619794.38,17105245.32,68622.39,388619.54,1916864.01,1581808.71,1550891.87,132818.97,328663353.17,6398.96,268500516.34,556626,46840.02,835528.73,1170712.13,502695.77,208529.01,7346895.26,9538651.81,3819848.88,1030107.89,508847.38,52794408,880681.55,2380.58,88276.54,130199970.7,2758769.66,4839878.11,197329330.99,15683647.16,291168.14,115265.69,85463.14,66840.5,8763056.91,0,436795.89,91276,144135.35,53131,49190.19,2944,0,4904023.49,397480786.42,2485351.25,53449397.19,38607.08,0,11954350.28,143779.95,167196.7,1949885.11,167105.69,0,318675.06,1134193.95,0,0,0,0,0,0,0,0,6886,0,0,0,0,0,0,179535,0,0,0,0,0,0,0,0,0,0,0,0,1018918.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TKL",0,7974,0,0,2509,0,9147,0,0,0,1507.13,11571,0,18767,641125.37,353739.13,3441,519632,1207,0,3382212.7,1144312.95,0,0,0,0,0,101881,0,64904.15,0,550209.78,0,278666.85,7000,0,0,0,0,27726.88,0,0,1323,124996.97,0,30485.41,147166.1,0,0,1361,0,0,52409.47,0,340475,648690.67,28014.08,3071,0,4108869.17,2775273,3350,28923,0,0,0,3582993.16,0,0,1522.12,0,0,342620.94,0,0,1176.08,0,0,0,101876.45,0,0,0,0,0,1452,0,0,6267,13301.71,0,0,0,0,0,0,0,0,0,0,3317,12274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TKM",0,12538898.46,0,0,1816679.81,3392768.87,140428.57,48085.68,13400683.56,0,8940.76,0,10679,1435043.04,40409736.75,0,0,33824836.7,1416799.37,138872,4736278.06,9682652.55,30617098.24,0,0,0,9445736.85,1460,1530258.6,162094083.86,0,0,0,158225.21,8591289.14,0,0,105530,0,343603,23643,178845,0,8936147.53,0,2601,93374339.96,6744309.92,0,134373917.69,40139875.55,0,177046003.59,232892.17,1228,0,0,169360814.2,0,84611481.09,0,0,1972981.55,166506.97,105388290.09,0,8719271.54,1370916.5,0,58620.77,426070.38,0,0,0,6054,73924.03,55419198.44,134423565.46,0,56155.36,67651733.71,1279624.9,592006.72,239300.02,21853,0,0,0,0,0,0,2631,3620,0,24480.35,0,0,0,0,6372,0,0,0,36115,0,0,0,0,0,0,0,0,0,0,0,15614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97873.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA",0,1306871.7,0,0,13136,10344745.46,8322396.77,111943.55,63839307.27,11636.57,0,176566.13,222146.2,4507235.89,51222137.57,682649.76,0,101370429.83,2320,1163512.21,31762477.65,62219593.72,7451939.38,0,20031000.16,1282,126945924.06,101681.69,1973279.82,16782116,1137,24547339.15,0,1273101.12,32950.27,79626.69,6713,2267935.39,0,10759403.64,73579501.48,4802423.14,617791.85,18428249.38,0,2049,3285404.53,15029045.13,236239.91,1824605.77,13209718.85,0,113998.84,418355.41,1711965.17,26008722.31,33756.59,10394218.45,0,24765419.93,32070142.1,28255498.13,0,2399929.08,0,0,1003334.02,138985.05,30742.37,4489.13,3301.93,813269,1796277.71,0,0,220937.3,2462401.42,45677,57306.18,76681161.26,246917.86,0,35089.29,129986.11,540651.48,3389834.42,194385.94,305449.81,51257.84,3398410.97,2806776.77,0,0,1133758.96,2080128.28,461219.15,12990113.04,13730,0,91454.68,14613181.56,880326.05,121435.07,0,20374467.77,0,3623364.15,0,0,0,0,0,0,0,0,98715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKR",16822870.58,243292044.98,0,60647.34,183652168.14,112914300.01,43986860.11,56069420.19,964069375.59,49303427.24,12747304.43,8055978.46,81410307.95,497881059.34,1160298895.69,129212253.57,39940057.66,450377726.01,124780100.96,35329626.14,245778469.52,179481531.96,185399329.35,168456.45,16640227,15738133.53,334103564.45,4047061.94,161277623.51,1960899571.02,693046.76,12364077.59,12483.98,536165586.58,134014086.62,1423357.39,3844354.76,174976650.48,14611256.51,42685633.14,278898697.85,51631862.43,2654168.03,90220199.98,0,17817822.8,945450237.39,46977452.2,106406.85,806087455.05,5896550638.32,29282447.98,366058500.01,41849405.33,25577603.87,302339427.3,4338047.09,2291858142.44,1136972.52,861265695.209999,48560050.38,5614,52779121.1,8767849.22,164408807.13,0,37473262.33,534251889.52,1789649.97,37446433.34,519779571.59,438519729,29058826.15,21380.17,1075291.19,62423448.45,510219818.12,278576652.14,227331212.9,128742666.71,698421489.4,22681685.27,175909418.1,202568496.34,212475782.01,0,57576208.81,4193995.1,2827958.48,1495152.91,304019.83,203238.2,13417180.88,29277943.59,232478711.54,58689756.54,395162028.84,11267452.75,0,165451244.9,1202113.98,155737.1,11670586.22,400688728.05,70548.78,239716.58,223582035.56,0,0,0,0,0,0,0,0,1467463.14,0,0,0,0,0,0,104276.46,0,0,0,0,0,0,0,0,0,0,0,0,48041326.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",32229514.87,2032079.69,44100770.98,9659994.15,181765821.3,917777198.94,4505152.47,158896288.53,657711194.71,1002511036.43,303274566.21,1048615809.93,1091,324163.15,313670154.52,114990902.54,523816362.5,386496203.38,0,198828.46,228381041.36,340877695.43,23717949.93,33794151.84,14733596.13,83123254.63,3989041.61,566404.81,9541466.88,273362141.32,135173242.95,11176.27,0,84915266.14,7331342.59,46818.02,1443,853498129.44,0,2325616.69,186310150.96,14618199.39,5182209.92,644385.09,0,637907896.6,17964491.55,18449469.9,4987191.68,19322709.46,38688569.47,223337362.56,2335133.17,128239.12,138031136.92,8241680.53,141747940.59,35865546.33,1805575.02,23809641269.01,4492568,131709,130347.93,1175805.48,1382,0,4616.8,6784151.71,1836.86,212388.96,199786.26,1545078,6888.35,0,12371,932929.44,82029.75,2929726.69,0,223295276.92,8557,0,3311825.51,340988.72,15094772.45,17716,0,0,0,0,2163.06,51050.15,251112106.42,0,932001.03,1529055.05,86927082.98,183198.17,0,1117641.79,12566.5,0,68183141.83,16244.99,0,349394.09,726600.89,0,0,0,0,0,0,0,0,917227.99,0,0,0,0,0,0,16219.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YUG",356968.34,111390262.71,0,2960.23,512527.77,7575409.4,16668692.26,0,11445639.18,0,0,49905.21,3472987.81,43829991.33,381395693.44,6508529.67,153240.42,27901705.14,1107381.96,3816523.19,127573539.08,64733090,155154111.11,0,131850.7,459307.57,5256640.95,1826959.81,4522488.19,684908905.43,0,59294.85,0,403600.36,1872451.79,0,0,7478739.12,69316,3650373.08,54882240.89,3283906.3,226593.81,372761.86,0,58231,27614641.02,847806.97,16987,54506635.28,163359795.96,0,22557161.91,139073552.26,22082872.23,59507.4,8120564.52,81600767.2,10186.48,91545585.8,1527181,0,15403410.53,1397713.5,0,59446,7119346.87,49360704.95,74938.84,591882311.8,7691849.73,0,1526621.61,0,2059,135063298.66,99939187.95,2750441.78,204695.35,1964981.13,1529421.51,354937.04,829312.17,4310524.15,1015479.52,397199.3,228437256.66,0,1222288.5,2689.85,9606.57,88157.54,0,0,248479784.72,769979.85,0,18634,0,2103402.44,91907.69,0,2093204.95,2832312.64,1236,78802.49,0,0,0,0,0,0,0,0,0,171896.89,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,520504.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",2050,2509424.15,319247,0,17749,9261945.23,43843935.14,0,22689054.99,60466.51,0,0,120451.32,1555210.8,94819394.28,22837.13,0,7608541.43,154028.76,372461,2823834.92,1258741.21,818186.06,0,4447132.72,1669794.67,938711,31944,98010092.86,28280108.49,0,0,0,651155,480047.21,40000,0,97894,11957.58,5479.47,41909553.1,0,11827,75901.82,192441,0,997578.81,2142.4,0,428823.15,78580750.82,0,382883.63,23394,120528.94,433134.88,22659,1199533,0,76548964.94,83009,0,0,345828.1,0,0,31753,5142441.5,2405,0,2071872.86,0,0,0,0,17071.11,698502.45,39281193.93,10057,577619.41,2517225.95,23292.07,154351.24,958546.99,0,0,3151.76,18801.06,18386,31573.41,5617,0,0,0,588909.19,171696.21,7124,0,0,0,29718.47,0,0,211316.24,0,0,22564.33,0,8809737,18000,23118,25165419,0,6980,0,1970809,0,8106,0,0,0,0,0,0,0,192535,0,0,717687,0,417266,160400,10386730,0,40503,0,0,0,0,0,10961174,0,0,0,51787,0,0,0,0,0,0,0,0,0,0,224640,0,0,0,0,0,0,0,0,0,0,0,0,0,833391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABW",20168359.56,1700,10595,15870.35,92868994.7,31219210.77,8338541.12,0,58296.49,1787906.69,57722462.73,0,0,0,5023411.75,94975,56797.59,37929879.83,0,0,105111763.35,24869552.59,0,13607674.32,619804,3697766.73,16123.78,0,0,21178126,868087.78,2732,37510.44,48167.84,97842.31,3190,1807,67342735.62,14000,0,15956374.4,0,0,0,0,595534.07,13460.76,1032,0,0,0,5071020.57,0,15087.39,17052,126545.14,47767913.81,47474.36,370734.81,1707716112.75,2183,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
