"","AUS","AUT","BEL","BGR","BHR","BOL","CAN","CHE","CHN","CIV","CMR","COL","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KOR","LBN","LBY","LKA","MDG","MLT","MWI","MYS","NLD","NOR","PAK","PHL","POL","PRT","SAU","SGP","SUN","SWE","SYR","TTO","USA","YUG","ARG","BRA","COG","GAB","IDN","ISR","NGA","NZL","PAN","SEN","THA","VNM","GTM","TUR","VEN","MMR","SDN","AGO","ALB","BEN","BHS","BMU","BRB","CAF","CHL","COD","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIN","GLP","GUF","GUY","HND","HTI","ISL","JAM","JOR","KEN","KHM","KIR","KWT","LAO","LBR","MAR","MEX","MLI","MOZ","MUS","NCL","NIC","OMN","PER","PNG","PRK","PRY","QAT","ROU","SLE","SLV","SOM","SUR","TGO","TUN","TZA","UGA","URY","ZAF","ZMB","AFG","BDI","CUB","ETH","FJI","GMB","GNB","MNG","MRT","NER","NPL","RWA","TCD","WSM","YMD","ZWE","BFA","GNQ","SPM","BLZ","KNA","GIB","MAC","ARE","GRL","SYC"
"AUS",0,7353000,69098000,157000,1800000,63000,89065000,10290000,119007000,25000,47000,2860000,8095000,166451000,4645000,5554000,17602000,6951000,163248000,567778000,6188000,58948000,1645000,37479000,8951000,12828000,1560000,137675000,1243484000,14300000,7105000,1768000,17487000,172000,4457000,1259000,78049000,36664000,10514000,8591000,60808000,21225000,5555000,13761000,78833000,45148000,13657000,169000,3617000,587859000,25799000,5920000,1402000,7000,8000,19725000,3700000,1034000,177597000,479000,51000,36014000,1829000,63000,7358000,860000,3451000,309000,206000,0,258000,97000,159000,861000,0,7361000,88000,32000,353000,1350000,62000,35000,1782000,511000,2566000,83000,44000,10000,920000,10000,0,124000,5664000,171000,4842000,896000,2e+07,10511000,414000,86000,41000,17733000,1000,2083000,3813000,17571000,30000,4892000,19699000,113162000,1008000,7000,912000,748000,266000,8000,34000,33000,6000,89000,1411000,635000,113000,56917000,4660000,131000,10000,76000,691000,22108000,8000,20000,0,1000,3000,38000,21000,2000,1670000,3069000,3522000,0,0,0,0,0,0,0,0,0,0
"AUT",9245000,0,29526000,26627000,354000,674000,35959000,221819000,3925000,491000,97000,1261000,54472000,578680000,51099000,1661000,21099000,25976000,63254000,153842000,25394000,3041000,53565000,3310000,2970000,14771000,4557000,231062000,14567000,152000,6796000,2180000,7e+05,154000,996000,125000,1686000,51403000,30870000,1208000,566000,42044000,21012000,1094000,3798000,68629000,102945000,5475000,185000,114981000,101929000,5686000,4386000,38000,7000,1394000,11067000,3264000,1191000,181000,551000,8762000,301000,973000,10387000,3335000,331000,2485000,1079000,618000,129000,0,176000,72000,28000,1418000,1141000,570000,1218000,23526000,49000,469000,4410000,1062000,938000,499000,32000,1000,43000,738000,167000,266000,565000,1073000,1633000,48000,53000,1608000,21000,479000,2899000,2791000,26000,1881000,171000,446000,35000,3782000,2054000,37000,240000,417000,254000,42922000,84000,149000,24000,111000,30000,4041000,331000,429000,506000,18851000,1234000,817000,28000,468000,976000,60000,3000,0,23000,54000,68000,64000,4000,34000,7000,201000,84000,24000,1000,2000,0,0,0,0,0,0,0
"BEL",24622000,44989000,0,4458000,918000,1939000,56365000,183060000,16348000,8436000,5132000,5988000,18065000,2261328000,107848000,2981000,98902000,40850000,1977893000,447334000,53282000,43365000,11817000,10980000,18307000,30692000,11409000,442517000,61243000,8207000,12131000,9291000,4003000,3787000,3629000,253000,7332000,1887283000,74167000,10316000,11282000,24030000,38383000,18240000,7261000,51011000,188802000,6483000,2186000,682688000,21978000,19973000,36148000,1691000,1909000,4874000,48129000,8997000,4767000,2962000,3241000,12189000,6875000,3734000,14840000,15957000,1750000,6015000,11436000,21000,2081000,0,1265000,218000,621000,10359000,89461000,4201000,3961000,15095000,411000,2814000,27917000,6645000,2426000,509000,2178000,328000,805000,2661000,1017000,1998000,3217000,3949000,4948000,887000,269000,7051000,13000,2459000,16062000,24309000,656000,4446000,799000,2410000,3853000,3080000,14268000,0,55000,781000,721000,23737000,1302000,6893000,144000,1873000,865000,3490000,2917000,1053000,3365000,37117000,3532000,101000,2947000,3748000,1929000,98000,86000,283000,0,1479000,672000,115000,2492000,463000,9000,516000,138000,966000,72000,14000,0,0,0,0,0,0,0
"BGR",627000,10630000,4975000,0,0,1000,1217000,3753000,0,11000,20000,113000,0,52959000,2028000,9109000,2936000,1476000,17504000,17597000,10851000,8000,0,11705000,226000,3983000,0,49797000,8697000,0,7103000,6201000,165000,27000,942000,0,164000,5276000,682000,6548000,0,0,16000,164000,706000,0,2809000,0,31000,1598000,23008000,298000,9446000,0,0,451000,1624000,947000,11000,11000,7000,148000,0,6000,3933000,16000,765000,453000,0,0,42000,0,0,3000,1000,274000,0,1000,0,0,0,0,0,4000,483000,0,0,0,0,2000,0,18000,0,0,0,59000,0,0,0,0,0,2000,28000,0,0,0,0,0,327000,0,0,5000,0,0,0,2000,0,0,26000,1286000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",14698000,0,986000,0,0,0,0,17055000,0,0,0,0,0,1790000,2673000,13000,1000,0,127000,4968000,0,5797000,0,478000,0,0,0,84000,6544000,0,0,0,9e+05,123000,0,16000,2531000,6311000,5711000,12000,128000,0,13081000,9705000,9098000,0,10714000,0,0,9399000,0,0,4439000,0,0,0,0,0,1910000,0,0,1613000,884000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,91000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",8000,240000,7838000,0,0,0,129000,117000,0,0,0,1000,0,13902000,48000,0,3937000,7000,2220000,82110000,0,0,0,1794000,1000,9000,0,171000,12080000,0,1000,0,0,0,0,0,0,394000,10000,1000,0,0,9000,0,0,0,75000,0,0,22748000,1000,11706000,715000,0,0,0,99000,0,11000,0,0,0,0,1000,0,6000,0,0,0,0,0,0,0,1000,0,1441000,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344000,0,0,0,0,1000,0,160000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",157111000,12130000,104209000,98000,80000,2893000,0,42215000,113239000,1470000,639000,18510000,3622000,304666000,19900000,1971000,59106000,7694000,158745000,1207423000,13677000,17064000,2782000,103657000,21621000,3472000,2625000,151004000,669455000,22313000,2586000,596000,5863000,57000,1532000,692000,9634000,91767000,111906000,21678000,27466000,6179000,7813000,1e+06,6250000,9096000,50514000,869000,21645000,10383609000,3407000,56548000,38689000,502000,871000,1788000,10049000,2687000,42238000,4964000,1208000,9683000,1345000,3548000,7768000,64872000,566000,314000,364000,3380000,173000,14281000,8814000,10759000,104000,10191000,1298000,2610000,455000,1774000,0,5777000,3626000,3063000,6454000,224000,597000,15000,8067000,1277000,3511000,297000,47813000,596000,2521000,416000,66000,1606000,32000,1346000,1359000,40061000,3000,2796000,185000,686000,1268000,3893000,14422000,0,264000,191000,144000,1127000,498000,4453000,34000,1305000,380000,4093000,6e+05,786000,3159000,74147000,1584000,23000,0,37893000,268000,946000,136000,3e+05,0,562000,37000,0,0,1000,139000,21000,1000,30000,0,4836000,0,0,0,0,0,0,0
"CHE",58310000,215268000,130499000,14591000,25388000,2986000,77547000,0,14454000,1485000,937000,12856000,33504000,748593000,105068000,14987000,98579000,49728000,412859000,417168000,27381000,68058000,19341000,14974000,13308000,26301000,7817000,297511000,149232000,2849000,10245000,9051000,1744000,1620000,1171000,479000,4500000,128907000,61162000,17540000,9733000,23460000,48027000,4907000,20122000,35735000,152268000,6845000,915000,451610000,77438000,30992000,54566000,163000,289000,8611000,50768000,8151000,10167000,1850000,1497000,17181000,7529000,6057000,34685000,24238000,483000,2780000,3707000,1407000,303000,0,2458000,513000,468000,17431000,6588000,3103000,1517000,21153000,384000,2151000,7976000,3839000,4047000,978000,548000,72000,212000,1408000,713000,5125000,2340000,1703000,3669000,431000,32000,10112000,336000,2517000,10864000,33334000,1304000,2472000,494000,530000,683000,0,12066000,0,279000,1208000,0,24412000,691000,1692000,2e+05,389000,530000,2238000,1547000,1606000,4267000,59730000,3218000,1454000,93000,9472000,1904000,773000,22000,0,95000,22000,226000,143000,134000,128000,4000,1447000,1533000,115000,18000,0,0,0,0,0,0,0,0
"CHN",34741000,9389000,12394000,0,0,168000,25366000,18102000,0,760000,1399000,98000,0,86969000,9135000,12902000,1112000,7420000,74987000,90540000,396000,445496000,0,0,2697000,1658000,0,64173000,234560000,0,10935000,15089000,47391000,0,1736000,0,79448000,27763000,5939000,26475000,0,0,265000,23000,136715000,0,18569000,0,1290000,25000,952000,761000,49000,1517000,333000,42885000,20000,15327000,5646000,17000,6429000,0,0,0,2e+05,2543000,377000,14002000,0,0,1284000,0,0,54000,8000,206000,0,24000,0,0,0,0,0,374000,4261000,0,19000,0,0,48000,0,139000,0,0,0,7711000,0,0,232000,0,0,3000,3300000,0,0,0,0,0,4069000,0,0,461000,0,0,0,3000,0,0,1569000,19000,0,0,0,0,0,10484000,0,0,0,559000,0,0,0,0,1354000,0,0,642000,60000,0,0,120000,0,0,0,0,0,0,0,0,0
"CIV",260000,1463000,12927000,238000,122000,0,4357000,4569000,0,0,931000,28000,15000,89074000,3164000,504000,16392000,360000,183302000,24256000,2130000,32000,1234000,446000,1114000,103000,0,62552000,11182000,0,773000,383000,0,605000,139000,0,1000,23530000,288000,34000,2000,2433000,90000,43000,0,1793000,836000,203000,0,53584000,452000,15000,0,296000,266000,0,2159000,1240000,123000,4000,9982000,1188000,0,0,2000,0,0,0,11000,0,1600000,0,33000,7000,95000,0,115000,0,104000,13000,0,0,3154000,0,441000,6000,251000,27000,0,8000,0,4000,0,0,6000,6000,0,356000,0,499000,4545000,0,3331000,41000,7000,61000,0,23000,26000,0,0,0,450000,0,145000,0,1000,0,508000,1152000,2000,0,0,0,128000,0,1000,0,3000,0,11000,0,0,273000,2169000,0,1000,143000,0,0,0,6739000,8000,0,0,0,0,0,0,0,0
"CMR",1000,157000,5438000,0,0,0,4000,1562000,0,1559000,0,0,1000,35416000,577000,444000,7342000,2000,84466000,5390000,147000,135000,1149000,0,43000,2000,0,5579000,3162000,0,0,105000,0,10000,0,43000,13000,46156000,70000,0,0,1599000,4000,2000,0,10150000,239000,2000,0,16075000,435000,0,0,2779000,4790000,0,4000,77000,63000,0,77000,801000,0,0,0,0,0,2000,0,0,171000,0,0,20000,3434000,0,101000,0,0,0,0,0,1200000,0,1000,336000,64000,1000,0,0,0,2000,0,0,1000,0,0,4000,0,3000,217000,605000,3000,1000,0,0,0,0,0,0,0,0,0,246000,0,0,0,0,40000,3000,0,0,0,6000,0,0,0,0,0,0,0,0,0,4000,40000,0,0,1578000,0,0,0,12000,573000,0,0,0,0,0,0,0,0
"COL",139000,3069000,15372000,1057000,0,495000,13471000,13550000,1000,1000,4000,0,2104000,92714000,7443000,0,29557000,17591000,10256000,17945000,1372000,430000,2656000,2068000,1654000,1000,0,4766000,15605000,0,5000,41000,0,1000,0,0,2000,31873000,7520000,9000,140000,7113000,2386000,68000,236000,4343000,25425000,0,6484000,240409000,4070000,9386000,1947000,0,0,0,574000,7000,2278000,2843000,3000,9000,0,1086000,3000,6222000,0,0,2000,0,0,12000,3000,149000,0,6990000,0,1933000,0,8639000,0,737000,178000,8273000,3000,0,2547000,293000,105000,559000,84000,6000,964000,0,1000,0,0,0,0,0,54000,617000,0,0,0,0,807000,0,13079000,0,0,49000,0,0,0,763000,0,104000,0,158000,630000,0,112000,182000,0,11000,0,0,1000,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,7000,11000,0,0,0,0,0
"CSK",8785000,61361000,18080000,0,0,1006000,27796000,29442000,0,698000,468000,2161000,0,177110000,20495000,20517000,10372000,11545000,34051000,51587000,13542000,3255000,0,36073000,3327000,16601000,0,70419000,10707000,0,11040000,4400000,2240000,333000,761000,215000,1985000,30657000,12267000,19463000,0,0,2776000,3271000,3401000,0,29581000,0,546000,24064000,119858000,1996000,8545000,53000,39000,1798000,893000,8048000,2425000,371000,370000,2696000,0,6000,12353000,4810000,11532000,3030000,0,0,181000,0,0,90000,21000,1625000,0,451000,0,0,0,0,0,1664000,3618000,0,30000,2000,0,411000,0,1498000,0,0,0,1833000,0,0,1522000,0,0,3655000,62000,0,0,0,96000,0,1073000,0,0,342000,0,0,0,79000,0,0,208000,2613000,0,0,0,0,0,463000,0,0,0,71000,0,0,0,0,50000,0,0,49000,16000,0,0,90000,0,0,0,0,0,0,0,0,0
"DEU",253069000,1184023000,2353578000,61790000,3444000,20612000,331326000,1547893000,156022000,29511000,21126000,68265000,205211000,0,745227000,72492000,568984000,345024000,3921768000,1145656000,314549000,91434000,88342000,146439000,103938000,309200000,17561000,2366132000,476269000,78962000,60753000,60865000,41126000,16798000,5911000,2597000,52877000,2891809000,449440000,122409000,93928000,154476000,205239000,59414000,74617000,398489000,1163137000,30363000,6233000,2611382000,466205000,173884000,299852000,6632000,6597000,63843000,155363000,74145000,40912000,8803000,22584000,113649000,18271000,25669000,150434000,144346000,24180000,17888000,33313000,1832000,3584000,0,9131000,2301000,2632000,93381000,40216000,19718000,15639000,0,1028000,11736000,84325000,29748000,37410000,2104000,7735000,1183000,2828000,11714000,1983000,21257000,10814000,15878000,24474000,6433000,1023000,56122000,1571000,21388000,53606000,158127000,1353000,24376000,2084000,9509000,12281000,12996000,68211000,0,27521000,11293000,4330000,185133000,4295000,14716000,3624000,5660000,4015000,20779000,12700000,7784000,21310000,414580000,18490000,6856000,1862000,23216000,15198000,1077000,390000,1167000,166000,1575000,3187000,760000,1304000,1734000,96000,4746000,1223000,2956000,178000,79000,0,0,0,0,0,0,0
"DNK",10731000,43575000,41632000,2481000,2193000,1518000,29970000,68564000,1294000,541000,475000,4061000,13004000,394190000,0,1619000,26791000,62270000,77606000,590549000,12082000,8123000,6207000,6270000,12128000,12204000,3383000,106872000,27735000,774000,4793000,3867000,1887000,109000,2065000,398000,6618000,69566000,191641000,2704000,2956000,33806000,15132000,1681000,9264000,17922000,452133000,2530000,1442000,260126000,8372000,6145000,47141000,218000,87000,3400000,7180000,5560000,2347000,2070000,444000,7144000,636000,1347000,3359000,22063000,2487000,1860000,2281000,587000,265000,1918000,1164000,1e+06,325000,7102000,1943000,496000,3465000,21710000,267000,1016000,3156000,2040000,3063000,132000,921000,55000,474000,1202000,318000,11869000,906000,1427000,2555000,303000,84000,6257000,483000,7262000,2006000,4088000,143000,1449000,169000,764000,412000,2198000,3644000,216000,12000,85000,0,6317000,745000,1212000,275000,544000,235000,1515000,2794000,1136000,586000,12167000,1379000,174000,98000,4084000,1406000,92000,58000,0,2000,214000,75000,79000,73000,138000,9000,2061000,27000,36000,192000,0,0,0,0,0,0,0,0
"EGY",4735000,2895000,7196000,10207000,114000,0,1060000,5912000,13962000,4749000,32000,0,35130000,73565000,1774000,0,17343000,3630000,19474000,22165000,6005000,13000,10404000,32291000,150000,0,9853000,51525000,40868000,0,6099000,3309000,4838000,2673000,141000,0,208000,14465000,920000,315000,161000,28275000,2915000,5638000,999000,246170000,2148000,5052000,2000,38037000,29712000,1000,3202000,18000,8000,2425000,0,6405000,1000,0,139000,4000,45000,1000,6226000,236000,0,11050000,0,201000,376000,0,0,31000,0,4000,86000,1000,601000,33519000,79000,60000,6375000,0,2236000,260000,19000,4000,0,0,23000,16000,18000,3662000,54000,0,0,2976000,0,147000,281000,5000,1179000,0,142000,0,0,957000,0,0,1123000,0,515000,13868000,1180000,0,339000,0,639000,1122000,1869000,36000,0,1000,56000,3000,13000,5207000,59000,0,152000,0,0,852000,107000,0,0,2000,0,1769000,0,154000,1000,0,0,0,0,0,0,0,0
"ESP",12690000,7905000,55309000,7842000,1999000,1820000,26611000,49135000,813000,1765000,2590000,45656000,8997000,285174000,27767000,30610000,0,7672000,225231000,275220000,13317000,1729000,10104000,738000,10371000,2129000,2376000,99484000,19556000,473000,5797000,3420000,198000,116000,1501000,42000,570000,58003000,19341000,1186000,1898000,11020000,55542000,575000,1534000,4548000,54667000,8209000,671000,306628000,17958000,38537000,22785000,1004000,504000,85000,3613000,5543000,946000,1411000,406000,1030000,885000,3244000,6930000,19918000,58000,396000,3965000,2000,290000,0,1623000,261000,127000,16081000,6301000,2140000,1264000,5861000,65000,3467000,25331000,1660000,2501000,30000,163000,13000,132000,521000,96000,745000,295000,566000,581000,30000,32000,1968000,11000,1334000,18893000,29625000,84000,776000,177000,2e+05,703000,0,8023000,0,14000,1045000,0,11904000,1008000,740000,45000,0,562000,2896000,199000,114000,12505000,11389000,776000,15000,65000,39292000,340000,19000,80000,0,0,1630000,173000,0,0,165000,0,814000,0,193000,7942000,3000,0,0,0,0,0,0,0
"FIN",18557000,11888000,55543000,1347000,72000,278000,11661000,29600000,5696000,366000,78000,6045000,11339000,256703000,106077000,3229000,25580000,0,99962000,416559000,15792000,1838000,8124000,1614000,19117000,10621000,1619000,60910000,7464000,2000,2328000,932000,714000,116000,478000,301000,621000,92995000,52927000,1107000,814000,31926000,5354000,51000,1163000,275363000,271161000,1909000,709000,119453000,2042000,22237000,11819000,3000,21000,390000,10914000,3401000,1060000,182000,438000,2460000,181000,441000,3126000,3607000,523000,524000,211000,39000,3000,0,168000,71000,0,1368000,146000,484000,1454000,13094000,27000,92000,3315000,1155000,864000,160000,1000,13000,160000,59000,93000,3315000,634000,490000,1657000,35000,3000,293000,1000,324000,2137000,4833000,6000,453000,0,38000,78000,143000,3428000,0,0,12000,0,4125000,591000,86000,20000,74000,73000,165000,403000,144000,352000,14719000,361000,4000,4000,735000,92000,3000,2000,0,54000,9000,56000,5000,32000,0,0,27000,0,1000,1000,0,0,0,0,0,0,0,0
"FRA",68453000,98699000,1588916000,24801000,1967000,2375000,142187000,637626000,44939000,154748000,101452000,8721000,44768000,3169599000,160891000,65595000,401335000,72288000,0,770732000,108835000,28556000,40347000,35683000,40168000,85587000,18290000,1546553000,149483000,36421000,41805000,33637000,11756000,92705000,5302000,1038000,17299000,814277000,110654000,38697000,22711000,81739000,93091000,23959000,24997000,265111000,253203000,22056000,3237000,842167000,72072000,51345000,67140000,44832000,45460000,10531000,51844000,22427000,8780000,2914000,80537000,23538000,33932000,3569000,25126000,47996000,4367000,9625000,14443000,976000,21204000,0,9499000,1484000,19233000,27914000,35611000,2203000,10377000,26717000,13359000,2609000,454840000,4758000,8278000,9954000,163122000,37001000,1257000,994000,2490000,2388000,5421000,4391000,11121000,26793000,2040000,20891000,6985000,10572000,181332000,86140000,15080000,10898000,3799000,92525000,429000,4473000,12845000,0,8248000,1480000,2600000,71790000,4335000,2581000,1386000,1510000,18035000,86511000,5388000,2834000,3681000,139058000,7753000,1199000,1211000,46401000,4034000,318000,397000,930000,4000,16409000,23707000,433000,828000,16372000,168000,2575000,201000,24423000,113000,3034000,0,0,0,0,0,0,0
"GBR",869486000,186876000,695062000,11836000,29527000,8339000,731654000,424365000,124284000,8598000,8927000,30646000,42246000,998383000,522238000,27757000,318351000,270314000,773625000,0,142248000,198110000,30566000,147243000,743207000,187257000,48895000,499841000,330409000,32027000,38529000,83349000,74834000,3287000,62494000,21788000,151887000,586986000,391863000,127032000,55236000,129946000,179756000,65177000,137616000,231350000,815307000,17094000,66853000,2120395000,119386000,92786000,89919000,1670000,2693000,27085000,245586000,241767000,301926000,7556000,1929000,97582000,10024000,9940000,91315000,78961000,15923000,48663000,26631000,269000,2360000,32261000,23544000,28071000,1504000,47995000,26943000,15159000,61511000,29040000,4871000,6799000,20916000,11485000,93137000,2729000,1976000,459000,31574000,4713000,1940000,15644000,84446000,27501000,118019000,3987000,5704000,92401000,2894000,32767000,30259000,64924000,458000,27805000,11535000,4183000,6712000,78310000,26239000,7407000,720000,6611000,13471000,68656000,32162000,5431000,2338000,6408000,6888000,7809000,43076000,24116000,11300000,688320000,86973000,5224000,476000,31321000,11189000,17731000,6033000,1791000,30000,4126000,877000,1252000,785000,1691000,758000,15695000,1940000,841000,924000,169000,0,0,0,0,0,0,0
"GRC",4120000,8394000,20123000,12183000,31000,1000,4013000,7014000,20000,62000,19000,7000,12282000,164293000,2198000,4915000,16669000,2261000,42250000,39684000,0,22000,7204000,11000,629000,772000,2122000,59839000,8222000,22000,6566000,6105000,6000,15000,1071000,1000,144000,19766000,3703000,7000,40000,14506000,3117000,221000,83000,30020000,12330000,518000,8000,57464000,33364000,1619000,455000,2000,8000,1854000,3133000,818000,20000,107000,33000,42000,55000,70000,398000,150000,0,611000,13000,0,1000,0,21000,0,1000,38000,283000,3000,6667000,7555000,9000,6000,852000,3000,333000,0,1000,0,0,2000,1000,7000,0,627000,87000,0,0,854000,12000,145000,362000,20000,0,29000,0,0,3000,80000,75000,0,0,15000,37000,5932000,3000,0,8000,6000,8000,603000,6000,0,8000,426000,96000,18000,20000,1000,241000,4000,0,0,0,0,0,0,0,1000,0,65000,0,0,0,0,0,0,0,0,0,0,0
"HKG",51217000,8237000,27423000,28000,3357000,656000,67467000,23820000,1122000,2687000,709000,99000,16000,146782000,18592000,54000,6450000,3308000,10602000,300856000,2086000,0,777000,970000,4039000,2788000,153000,11996000,68142000,19676000,2590000,5941000,2630000,1034000,738000,986000,28977000,28282000,12858000,4598000,14417000,17000,1311000,5776000,54198000,421000,40890000,458000,3238000,814414000,26000,1859000,1500000,181000,133000,26878000,1949000,6609000,18333000,3302000,369000,19741000,6555000,694000,186000,8526000,5037000,1017000,573000,0,1018000,579000,598000,723000,252000,455000,3165000,619000,989000,0,193000,826000,53000,617000,4408000,4000,83000,31000,1413000,239000,463000,375000,2959000,636000,4012000,2739000,314000,8364000,1805000,1619000,689000,2875000,22000,1389000,1104000,0,354000,4082000,1719000,4244000,101000,186000,590000,4000,2163000,423000,261000,0,450000,155000,3198000,1063000,71000,18447000,4991000,936000,213000,0,1182000,3218000,269000,59000,0,4000,52000,126000,0,112000,324000,3971000,0,499000,3306000,0,0,0,0,0,0,0,0
"HUN",1883000,48214000,11964000,0,0,120000,8496000,24316000,0,693000,643000,377000,0,103775000,10603000,11085000,6811000,6753000,30360000,22529000,9039000,352000,0,25477000,627000,9085000,0,99740000,4976000,0,5833000,4091000,1908000,39000,427000,0,188000,24596000,5791000,6802000,0,0,311000,390000,955000,0,18241000,0,185000,4076000,43796000,1629000,3131000,64000,96000,796000,4850000,2335000,138000,129000,10000,305000,0,7000,19568000,199000,261000,4062000,0,0,183000,0,0,112000,30000,117000,0,145000,0,0,0,0,0,133000,1877000,0,21000,4000,0,219000,0,1078000,0,0,0,0,0,0,0,0,0,287000,19000,0,0,0,0,0,63000,0,0,111000,0,0,0,4000,0,0,173000,1689000,0,0,0,0,0,3000,0,0,0,1000,0,0,0,0,138000,0,0,411000,5000,0,0,41000,0,0,0,0,0,0,0,0,0
"IND",33348000,2940000,42836000,13688000,4322000,508000,37834000,15183000,0,172000,89000,64000,41115000,86424000,6493000,37042000,6818000,1112000,46398000,256698000,996000,15218000,10898000,0,9327000,41803000,11099000,28919000,321196000,13436000,2331000,2048000,35975000,331000,780000,761000,15494000,17095000,2939000,5000,3361000,29668000,407000,20707000,18772000,221230000,8740000,3147000,1162000,344027000,34780000,547000,459000,36000,19000,7382000,548000,4938000,10889000,532000,155000,12313000,1589000,22000,1733000,676000,19426000,26025000,2000,0,59000,83000,17000,292000,69000,546000,52000,38000,1090000,25693000,0,124000,329000,305000,1701000,9000,5000,6000,391000,101000,102000,170000,257000,4053000,10074000,1499000,57000,22386000,168000,474000,1330000,1049000,8000,288000,1398000,5000,44000,1504000,607000,136000,415000,181000,10773000,8989000,1696000,8000,1036000,104000,136000,2967000,5303000,3445000,547000,658000,2017000,11580000,8000,12000,2852000,1665000,104000,1000,0,2000,9000,36610000,40000,28000,72000,9747000,0,36000,409000,0,0,0,0,0,0,0,0
"IRL",4492000,1036000,31627000,26000,55000,28000,10267000,7537000,0,28000,25000,108000,315000,32665000,1089000,485000,9676000,737000,35456000,704708000,2808000,194000,515000,10000,0,36000,108000,9845000,7835000,0,664000,491000,9000,1000,376000,34000,529000,11825000,1402000,7000,431000,2714000,1084000,10000,799000,538000,6412000,183000,1765000,123297000,77000,609000,538000,1000,0,78000,715000,1628000,448000,4000,5000,1000,118000,203000,515000,1084000,1000,6000,423000,0,11000,304000,238000,362000,0,279000,0,11000,844000,176000,0,5000,904000,209000,85000,4000,1000,121000,230000,3000,0,38000,826000,61000,162000,0,2000,454000,2000,7000,1669000,1156000,3000,3000,141000,0,3000,76000,526000,2000,0,2000,13000,167000,138000,1000,0,31000,1000,546000,112000,21000,338000,2403000,140000,1000,0,3000,10000,14000,2000,1000,0,0,1000,6000,0,0,4000,20000,0,1000,0,0,0,0,0,0,0,0,0
"IRN",14660000,4963000,115846000,4050000,0,27000,27913000,9948000,536000,5000,214000,414000,11332000,183895000,14057000,6955000,20791000,41107000,78909000,176964000,27000,20118000,11380000,58003000,12918000,0,2823000,62922000,817646000,26189000,1853000,132000,6795000,941000,1000,3176000,778000,93675000,822000,24551000,30435000,4193000,2692000,807000,57979000,57515000,32652000,669000,13000,86660000,17904000,4000,14112000,386000,158000,10000,2727000,1731000,13422000,636000,35000,14664000,408000,17000,1165000,312000,545000,292000,0,0,44000,0,0,2000,2465000,1000,0,8000,22000,314000,26000,5000,4000,91000,130000,0,0,0,0,19000,0,17000,0,141000,47000,0,0,7986000,1000,2000,0,89000,2000,570000,0,0,0,2765000,955000,0,4000,0,523000,7476000,0,1000,0,0,50000,29000,2000,0,0,1077000,165456000,3605000,0,0,118000,3050000,0,0,0,0,19000,0,0,8000,59000,243000,0,0,0,0,0,0,0,0,3804000,0,0
"IRQ",10608000,4222000,28498000,0,0,13000,8175000,2000,0,11000,0,4000,0,38652000,1513000,6822000,50255000,24000,240723000,74668000,28371000,0,0,5043000,7198000,783000,0,307344000,3556000,0,24106000,0,1987000,0,0,1000,20000,13096000,4000,1573000,0,0,36735000,1853000,3948000,0,4291000,0,13000,3278000,18722000,0,44451000,0,0,4000,0,207000,137000,0,89000,10200000,0,0,25210000,22000,0,507000,0,0,518000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,2000,0,0,16000,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378000,2688000,0,0,0,0,0,1000,0,0,0,8000,0,0,0,0,431000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
