"","BRB","CHN","DEU","DNK","ESP","FRA","GBR","GLP","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PRT","USA","ARG","AUS","AUT","BEL","BRA","CAN","CHE","CYP","EGY","FIN","GRC","GRL","IDN","IND","ISL","JPN","KOR","LBY","LKA","MEX","MLT","NOR","SAU","SGP","SWE","THA","TUR","URY","YUG","CHL","COL","JAM","PHL","TGO","BOL","CRI","DZA","ECU","FJI","GUF","SLV","TUN","VEN","JOR","KWT","MAR","OMN","PAK","PER","PNG","QAT","AFG","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHR","BHS","BLZ","BMU","CAF","CIV","CMR","COD","COG","CSK","CUB","DDR","DOM","ETH","GAB","GHA","GIB","GIN","GNQ","GUY","HND","HTI","HUN","IRN","IRQ","ISR","KEN","KHM","KNA","LAO","LBN","LBR","MAC","MDG","MLI","MMR","MNG","MOZ","MRT","MUS","NCL","NGA","NIC","PAN","POL","PRK","PRY","ROU","RWA","SDN","SEN","SOM","SUN","SUR","SYR","TTO","TZA","VNM","YMD","ZAF","ZWE","ATF","BDI","DJI","FLK","GMB","KIR","MWI","NER","NPL","SLE","SYC","TCD","UGA","WSM","ZMB","GNB","SHN","SPM","ABW","TKL","TLS"
"JAM",15211724,0,48776695,530648,1477269,13007010,220696283,297289,41815,1507768,639599,5730892,181778,30694595,2887194,18826,551767310,1075,448362,804892,1308957,12527427,121549400,483527,16681,0,203591,520230,2349,0,0,58240,11006722,332002,38533,0,759013,27653,121396679,2067387,333060,25634704,31889,3340,0,46246,28702,600261,0,14077,0,20000,752961,0,0,1628,96642,4714,13721,774452,0,0,0,5624,0,13606,7166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7355,0,0,0,0,4042,0,0,0,0,0,0,1649,0,0,0,0,0,0,0,0,0,0,149525,0,0,11287,0,0,0,0,0,0,1391163,0,24293425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",117506,80586081,520230488,24505561,60253488,240668205,350235106,853892,412216,343244836,16604206,106021117,146236018,151338143,12772538,13376729,3270105493,1584239,90218430,39012152,66825229,1608637,156205104,29808387,1084870,4951458,21759325,4742424,28090,55325196,2327175,743461,1970076371,247153381,8690105,4685257,5334799,403730,11130907,47831877,288092757,29347221,102352368,4588458,394986,5232802,5183477,113248,1195122,0,422200,19114,17594,2380205,13593,999233,42704,110946,424791,885933,911000,5503946,49884,1367003,621080,756615,3114924,1198080,0,2309875,0,44183013,0,0,1037328,530740,2271058,408804,847453,136214,0,21218,51200,887,0,425988,0,276478,264514,722,0,48482,198989,121795,0,0,75250,306150,1132333,2066020,1798,2782701,1645,1691355,0,0,812133,566381,1449788,0,1802,54635,0,6572798,0,757842,127201,2890188,0,37834172,269877,0,713359,1236924,887,1947,216356,0,15195794,0,18932,247138,34902,8944305,231622,595160,148439,0,0,0,0,100436,0,0,0,35241,0,184292,0,0,0,4479,220211,0,0,0,0,0
"TGO",0,1499568,7100136,3672040,22117309,26096786,2392192,456,0,193263,18213,16989651,1958461,5088407,0,14128373,4119740,0,3492233,167398,7161057,0,26630281,9457649,0,827,2689,1404657,0,447249,14146892,0,520523,796890,0,0,6469408,0,16636,0,0,844562,1024563,354780,0,3337310,14766,0,0,6966501,0,0,0,282944,0,0,0,0,1282005,0,0,0,2646926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,0,0,0,0,0,308914,0,0,0,0,0,0,0,0,0,2399372,0,0,0,0,0,17714,0,0,0,0,0,0,0,0,0,0,0,0,17808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,18656541,93811,6523799,46293963,19849472,22518,93244,2537,180219,19662364,8770624,5791563,4318,1432083,189809613,217168281,275916,6498713,11272045,24138759,17432432,376946,22001,4326174,29955,153055,0,1283,158277,0,17873721,1603848,0,892,4172731,437908,33980,593177,0,136446,0,0,351711,379261,19473415,5559921,0,0,0,0,817674,0,193971,0,0,0,676,2580692,0,0,47312,341986,0,40676167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",873994,13625,235612290,11248044,9608280,25583688,27597798,154829,34798026,1096378,3113885,88933412,179270,56773740,193868,6167950,997061405,212613,773506,37376514,12878079,1367146,44272351,30912131,0,0,29621044,2398113,328536,0,0,975226,20843788,5861089,17547,0,31948305,881741,14629118,0,0,33568835,4311459,901489,20525,4586144,480125,2077745,3584016,432908,0,38423,0,2229797,3719663,0,0,24574012,9622,758012,0,0,539281,756121,0,385151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109014,0,0,0,0,0,0,0,0,0,0,9811207,0,0,0,0,574414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15256585,25996781,0,0,20181,0,0,0,1280,0,0,208401,0,985469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,7242928,922637496,4025394,783334911,1768291448,419289361,10972,0,1533,4469936,2309528498,58352,932072801,0,288218527,2568847463,0,4238852,310656377,491208419,165751954,48818859,14639458,29536851,7866464,16578511,40483198,2667,8575,0,0,133487087,66892462,6131546,0,15594,0,1110799,1423920,10128,42727538,0,264067688,0,20588126,804597,0,0,66670,0,0,0,0,12261,0,12259,0,102822314,0,0,0,34698778,172568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95543,0,0,0,0,0,0,0,0,0,0,0,68429398,0,0,0,38646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",11617,2220973,113049197,1182099,90010633,44044444,21307729,45341,568913,1251665,11641034,52994004,280078,10474455,24667603,9027877,1405562324,15882712,1960956,10830772,8805734,2761685,114323746,7718279,37387,77134,10319339,9659090,0,329775,0,2812,100823213,23273121,0,0,9578528,454915,358963,2511259,558189,6247691,4859903,6932999,433721,39808437,72987794,41736950,4320548,0,0,792720,13667088,3825640,0,0,7720,457742,1321090,3756097,0,0,157790,0,0,128326329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783656,0,0,0,0,0,0,0,0,0,0,179587,0,0,0,0,679006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20358913,131895430,0,0,227575,4802566,0,0,0,0,0,0,0,49406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,56358,1252762,0,0,554411,100193058,0,0,3352854,56166,910279,25352980,3619478,64816703,0,34516267,0,65597988,3216,396168,0,8807801,25228,1048,0,0,0,0,0,0,0,27876746,1255915,0,19702,47579,627,0,0,461291,14585,1551,0,0,54891,0,0,0,12756,0,0,0,0,0,0,0,0,7541,0,0,0,0,0,0,0,647178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035304,0,0,0,0,0,0,0,1830450,0,0,0,0,0,0,0
"GUF",0,0,22338001,0,7178343,27776489,1235427,8345777,0,0,0,3401036,19091,2732731,0,2634198,2367671,0,0,7429,156640,0,27539,10661,0,0,0,0,0,0,0,0,40199,0,0,606,113950,0,0,0,0,11340,0,0,4194,0,61721,0,0,0,0,0,33728,0,0,0,0,0,0,3546,0,0,397063,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",2612274,7395,96904039,2096411,4875654,8642890,1908955,6231,73106635,493724,11056,2974696,27785,15661369,6881,23351,228531988,157093,325819,3494412,2318382,1143053,14409283,1744839,1853,0,487374,14708,0,0,0,42095,6189266,62222,1920,0,2976600,382262,448119,92524,0,889889,0,11931,168730,712521,338817,482504,173346,0,0,52747,45095520,1900348,10538,1445,9091,0,0,157072,0,0,5560,0,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10214914,0,0,0,0,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4814783,3676009,0,0,81202,0,0,0,0,0,0,21672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",19166,25174688,536003601,15435940,94247925,878337408,65867243,1012396,0,1438947,4829208,722133789,104732,64779668,33753,6979427,30435973,0,150746,23012211,209259995,6868999,2124101,8649350,419271,3886655,3028510,21796562,17624,23480546,35166099,2836823,17435273,20033720,112350743,0,5389,895225,4077485,4842361,2463492,15564313,9341604,26692985,587425,9108480,28573,9396,2747,0,1627527,0,35833,81538540,0,5005,98882,0,0,6041212,3096294,189021,24483099,363992,0,0,0,202989,0,0,0,0,0,0,2081687,0,0,0,0,0,0,0,8804879,0,0,1216631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2066164,0,0,724223,0,0,0,559786,0,0,0,0,0,21582,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",25366256,25430069,811399687,655299,179041975,210956589,162845324,16398124,109174432,36899723,1879832,201249237,864186,92979706,191264,6805086,9106500946,7142964,6203603,6909086,183217072,226879375,449191137,17925675,4047,3393584,22774639,6232742,0,6758937,1821839,12437,576088486,18314126,30254,37839,124436441,2744,38422058,4902955,81837400,120972984,52346550,25521969,6777373,254762,173350822,292563255,88632187,1540319,687851,2101862,153330733,9414027,28049101,0,2406437,25860747,0,0,0,0,3527720,18598,365845,50595680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3083893,0,0,0,0,0,0,0,0,0,0,49475811,0,0,0,0,1963692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43836266,16286975,0,0,987681,3090593,0,0,64538,0,0,576846,86332,57088796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,31197108,24033684,122453,2049351,10936807,22020053,0,4502,341743,148771,9481011,17499761,8249048,880736,123515,10817923,0,2442002,4773605,7650576,0,443879,303763,297067,8282032,126041,9160361,0,48629544,70886472,542,24284370,24602661,1343388,5831380,0,23789,232223,78035443,20224621,565871,21162872,30524887,0,16730730,1402,1199,0,4967165,0,14580,0,19620,135742,6899,0,0,3286406,0,0,10226757,359250,1765117,13227935,0,62738,5578117,0,0,0,68593,0,0,5052694,0,0,0,0,0,0,0,0,0,0,3476733,0,0,0,4886670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002514,0,0,0,0,0,0,8807557,0,0,0,0,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,38234469,99404232,243245493,71396876,97916117,176999700,0,0,7612321,91401,275505327,28358800,992370033,0,7177233,574218404,0,73182053,293403,15251926,0,1238956,2400510,68496,5763393,3972,62018344,0,20194721,2155280,0,1629396062,453389187,0,2397876,28377,558,185918,68408425,423469148,4884988,103450622,48212144,0,416788,17016,54431,0,190097325,0,499,0,67189,0,0,0,0,11612481,0,9636541,0,48139278,7073887,964036,0,8888,196790,0,0,0,15293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103602,0,0,0,0,0,0,0,191879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",4965,14823038,466885534,16112444,386352004,1721960797,170480351,1262952,0,1920589,27287269,318008436,4041314,86778294,9076005,38545383,105017892,784497,7606438,14833980,197174574,21258954,30196346,16631779,119752,783258,19298460,24652683,124049,46240286,126868580,421823,210833668,4443431,109474110,2311,25483335,131057,32612253,109510778,14636706,37348247,175613,87399810,0,20906289,6602,0,0,9844612,1115704,21327,90030,51709790,0,41486,424823,61771,43106499,1349336,486193,141470,0,44471,253847,899,0,89948,0,0,0,0,0,0,4247387,0,0,0,0,0,0,0,4166149,0,0,13374506,0,0,0,0,0,0,0,0,0,0,32092,0,0,0,0,0,0,0,0,0,0,0,0,250308,693616,0,0,0,0,1439098,0,0,0,0,24496202,0,0,21981300,0,0,2561019,0,0,0,82807,674025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",0,115194407,14085133,363574,342904,9373460,106990284,0,0,6670819,41523,5314156,334177,2172464,66408485,58824,292241012,7582,37247360,21208,1541421,0,217914,149758,96001,6657114,98890167,828552,0,217061,2375651,0,1761323880,1269518973,2328,502868,0,0,29133,32098762,352855332,91065341,117807533,0,0,231076,11820406,0,0,14930780,0,0,0,0,0,0,0,0,0,0,1342,191928,0,0,377558,0,3122,2088741,0,0,0,2251148,0,0,21586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK",32839,81854956,413559326,42481441,108449128,228842994,378288855,582154,32490,258570874,14772438,261820082,37004777,96717784,14162255,52191475,591085696,392135,55857183,36591431,67816615,2965727,73856482,36535411,11709448,1462387,13474477,27430796,82546,56829825,36313086,404090,487562799,154945493,3487782,45974711,1287489,1237931,29946398,91592649,76967675,59099846,74488913,75734023,68126,11456230,1468482,234089,724846,46184901,2322882,79095,284010,1325111,182261,764996,100571,1996,3653830,406931,622939,3367133,4055059,15940422,0,102914,118694,1669822,0,0,0,17282,0,0,59477494,0,0,0,0,0,0,0,5037448,0,0,7320411,0,0,0,342477,0,0,0,0,0,0,6650,0,0,0,0,0,2272414,0,0,0,0,0,88636,11478,8873,0,0,0,0,23133594,0,0,0,14650,239831,0,67596,0,0,0,5682372,0,0,0,999138,0,0,0,0,0,51424,0,0,90110,0,0,0,103761,0,132620,0,0,0,0,0,0,0,0,0,0,0,0
"PER",316056,76055386,238123052,10041636,45423345,117321199,155162305,5731,2541787,21031607,1400409,204405365,2124835,48980995,1795067,14830375,769917250,10466731,7401851,18448221,79160915,100596422,96724874,18921680,55701,0,2478728,1778866,13182,3038567,13265754,22884,524106587,83624045,0,41820,53541305,116208,2110872,388402,1380297,14022068,1042439,20757904,3327256,48256794,45625832,91643068,1229167,17126235,0,20103147,10326248,9094092,26504935,0,44569,2154327,583815,53004370,36057,0,2541531,25956,3614364,0,0,0,0,0,0,0,0,0,40078,0,0,0,0,0,0,0,1187384,0,0,4361429,0,0,0,0,0,0,0,0,0,0,796498,0,0,0,0,802526,0,0,0,0,0,0,53999,39774,616499,0,0,0,0,0,0,0,638311,5448673,0,0,499263,4201242,0,0,423459,0,0,0,0,129967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",0,4656025,187499704,284862,519157,5652162,55491217,16250,0,2279524,311847,2499079,1742769,5510067,4646383,275042,22364271,49992,264462621,3105974,3272270,0,81048,47450,0,0,32376507,30069,0,864222,1662552,0,303700916,106519718,0,219559,29280,0,1132993,0,7141761,4669883,1691613,0,0,8904,0,199114,0,53351644,0,1921,5593,0,0,816228,0,0,0,0,0,0,0,0,186365,2600286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,19006152,33001218,44401,849631,21868615,5543858,0,0,5676348,39016,2370869,10101255,1303159,708043,7983150,52166504,0,12309902,328178,507380,2010678,813827,481330,3899,401107,0,905449,0,3862318,17279109,0,1953596208,177365111,0,1879907,165399,0,1614,47564960,98225967,50751,56141896,621260,0,16846,0,69600,0,62379050,0,0,0,4887,0,0,0,0,13492,0,1422,58810,0,9426249,13893271,0,0,0,0,0,0,18494,0,0,2737991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,173736,23842624,1145919,1490648,3623221,14758022,3433,2876,10104,309318,4862708,576,8910383,122924,0,4643980,11457,192049,1840406,19208524,0,556172,5613461,169104,241271,324602,80453,2327,41247,0,4240,1981213,6150,7377,18186,1856456,1155,493869,3529870,81377,1212098,2353,823961,21769,119813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,770838,230279834,81028,51523489,478453508,8283352,12605,0,15254,0,50977708,3410,167367873,0,81271884,1939460879,30706,2909,41355,293593835,74283153,44668997,360209,4778,0,0,0,0,0,0,0,52360674,0,0,0,290494,732478,480,0,0,0,745727,0,1383,212919118,29106172,14977,6414,0,1985000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,14140636,21182913,73324,3237891,6353005,656489,0,2515,0,20076,40033459,1943,3924439,2039,164454,2197900,19387,4490,11733065,1555671,0,6151,2672523,0,6177344,1322287,11244753,0,30820,0,670,8680480,0,0,0,3159,111604,35737,142717,0,3290760,113062,1295057,171167,21751661,29589,0,0,0,0,83907,508,386774,15535,10108,3534,35203,680,38928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,33881364,178354276,4314107,197536638,398620806,240823555,1729,100786,58116560,3288892,351083288,67638366,241936913,83908126,74240820,871577981,0,340424435,1907023,177612581,0,44607293,35306552,704591,0,20819912,688099,619,1224916,0,0,8208742628,1034733199,4558787,13455396,7141849,44884,20092472,148209085,1365838657,4849097,279669574,177489371,9347354,380385,2037,6756,0,392336223,0,703,0,551976,0,2778,0,0,387224,32446,0,0,338487835,572289776,0,24259,46697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,675543,10971,11403379,1309922,854351,0,0,186499,9684,9352885,788383,2921726,0,19165249,20959777,2157,0,335025,2063436,0,0,256171,0,0,2109,0,0,713851,0,0,55617,1787778,11091,0,1768703,0,0,0,0,1174325,2185702,0,0,0,2251,0,0,0,0,0,0,0,40876,0,0,0,25240,0,0,0,9125063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",0,0,336579,627785,4928745,50691198,1487797,889,0,0,0,11750801,1568368,234779,0,12849013,1053333,0,0,15928,769874,0,4069,179565,1660,0,1548,18061,0,2014160,0,0,8701658,4382393,69189,0,2956,0,0,0,0,55404,4725009,821296,0,0,0,0,0,0,0,2361,0,414813,0,0,0,0,7744458,0,0,0,2634309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",9940,16005056,114758904,14152841,15809559,87996667,116131779,74583,0,12414577,2314685,133456010,1939287,44534881,3373697,1602388,534245995,2167892,18135095,4011857,54725095,10891731,28114705,2992094,255987,16752486,1814085,2791274,7192,882088,4394648,36699,64572609,2272812,348149,8010471,597221,92515,12449710,2236040,41422186,19985479,902483,17618814,2116325,7167240,246533,0,92498,1602772,605022,31432,0,1924789,0,13379,16404,0,1073264,0,517546,566791,4777065,881260,20633976,0,688773,664701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852788,0,0,519512,0,0,0,70522,0,0,0,0,0,0,15450,0,0,0,0,0,1088752,0,0,0,0,0,0,28562,0,0,0,0,0,0,0,0,136082,0,921714,0,0,743354,0,0,0,0,0,0,6672166,0,0,0,0,0,64522,0,0,0,0,0,0,0,0,5187787,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,96167604,219522734,5281861,35278096,75383660,52374298,61548,596,166495,1235643,131294202,4871478,26174408,328009,3854397,47363537,2846843,2618508,44575144,20377708,0,7190848,12943588,6101047,38310267,13328519,101438422,109054,5745385,0,208345,31764973,0,4342441,394691,1539456,533472,28016030,24128851,10752480,10281314,18609473,29170873,66935,146288705,306348,5136635,0,1609576,0,26930,9449,19820328,78335,4149,7080,3928,11692864,75727,0,0,6411549,134201,0,1217632,5224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4922628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",4765,659,7020886,31338,10196538,11310334,57293958,0,0,1745010,576972,6312647,14547633,5860720,106807,449649,80946868,5211,9298201,90263,22701746,0,6987303,24946274,1088534,3396120,3013202,248389,0,8254474,0,0,345476563,68473637,11541,9770009,114716,976833,2000327,96654948,239474069,11699413,2578806,7422962,0,0,1443,9172,0,3700671,0,0,0,120544,0,0,0,0,8014987,0,0,0,1738338,21932974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",10319,14037,86987630,53643406,4151660,21689797,18001259,0,10891,32106,3486373,17877537,11223,3505533,578904,50128,476966873,113079,3823792,976466,2073917,0,45596364,9777646,30063,0,8593273,3755851,0,237953,0,0,13359116,1643585,0,0,4375253,6879,103606231,0,793476,62805477,196585,2333337,430402,175624,1680366,27478,113543,331645,0,0,32314,25528,122488,0,0,153763,0,462312,0,0,6399,0,0,20675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",967355,7725,1022495,0,0,589349,36620321,0,264108,577631,62794,18592,1243314,474777,0,0,44292771,0,0,0,17574,0,8221462,1513,0,0,0,0,0,0,0,0,1627112,0,0,0,8168395,0,0,0,0,38980,5307195,0,0,14080,3751,10910,4475287,0,0,0,3436,0,0,0,0,126238,8041,920,0,0,0,0,0,0,6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",254086,47744,612497,1110,71320,5699,17740552,2350,13351,129805,122243,2813019,142662,46081,1483,3392,11211084,28933,518211,172086,37654,0,1559444,589817164,1046,0,9675,0,0,0,0,58152,1987903,0,0,0,1865272,0,16038712,0,4404283,358776,7830,2073301,0,304771,0,1784168,9538,0,0,12748,274013,2306,190156,0,1579,6593,61166,423664,0,0,0,0,0,420234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40383,0,0,0,0,0,0,4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,669941,3819141,31311,17362415,10167675,92270,113856,0,0,131362,6033038,173909,549536,0,361320,2017301,131087,18811,360008,67742901,0,33194,771862,52758,0,0,1375572,0,420456,0,0,1351,1369033,0,0,535,0,621,0,0,740,1406,211536,0,56584,0,63155,0,0,0,0,0,0,0,3582,1204,0,508461,0,0,0,391407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
